,Unnamed: 0,Year,Month,Year_Month,Geographic Location,Location,Latitude,Longitude,Drought / No Drought,MYD13A3_061__1_km_monthly_EVI,MYD13A3_061__1_km_monthly_NDVI,MYD13A3_061__1_km_monthly_VI_Quality_VI_Usefulness_Description,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,IPO_TPI,SAMI,P_acc_3M
0,0,2014,March,2014-03,Cobar,Cobar,-31.498,145.8383,1,0.1664,0.3052,['Highest quality'],2.349609375,157.6796875,70.8671875,0.265625,0.5,57,0.54,-0.051,-0.138,1.34,145.5
1,1,2014,February,2014-02,Cobar,Cobar,-31.498,145.8383,1,0.1311,0.2351,['Highest quality'],1.896484375,203.6796875,28.4140625,0.146484375,2.3515625,84.1015625,-0.37,-0.009,-0.147,0.36,119.5
2,2,2014,January,2014-01,Cobar,Cobar,-31.498,145.8383,1,0.1385,0.2365,['Highest quality'],2.130859375,273.5703125,30.03125,0.08203125,0.078125,4.3984375,-1.26,-0.036,-0.157,-0.13,37
3,3,2014,March,2014-03,Walgett,Walgett,-30.0167,148.1167,1,0.2209,0.3371,['Lower quality'],0.298828125,176.7578125,27.703125,0.08203125,0.0546875,34,0.54,-0.051,-0.138,1.34,68.203125
4,4,2014,February,2014-02,Walgett,Walgett,-30.0167,148.1167,1,0.2091,0.3028,['Highest quality'],0.271484375,203.7890625,7.8203125,0.0234375,0.015625,27,-0.37,-0.009,-0.147,0.36,41
5,5,2014,January,2014-01,Walgett,Walgett,-30.0167,148.1167,1,0.1905,0.3146,['Lower quality'],0.30078125,275.5546875,14.703125,0.017578125,0,7.203125,-1.26,-0.036,-0.157,-0.13,44.703125
6,6,2014,March,2014-03,Coonamble,Coonamble,-30.95,148.4,1,0.288,0.4564,['Highest quality'],0.100585938,164.6171875,64.7109375,0.169921875,0.3515625,76.6015625,0.54,-0.051,-0.138,1.34,155.5078125
7,7,2014,February,2014-02,Coonamble,Coonamble,-30.95,148.4,1,0.1216,0.2116,['Lower quality'],0.090820313,196.9375,21.8125,0.073242188,0.2421875,60.703125,-0.37,-0.009,-0.147,0.36,89.8046875
8,8,2014,January,2014-01,Coonamble,Coonamble,-30.95,148.4,1,0.1194,0.2061,['Highest quality'],0.100585938,265.6171875,15.890625,0.030273438,0.015625,18.203125,-1.26,-0.036,-0.157,-0.13,36.1015625
9,9,2014,March,2014-03,Warren,Warren,-31.7,147.833,1,0.3006,0.4987,['Highest quality'],0.32421875,156.2578125,74.3828125,0.184570313,0.2109375,72,0.54,-0.051,-0.138,1.34,149.6015625
10,10,2014,February,2014-02,Warren,Warren,-31.7,147.833,1,0.2125,0.333,['Highest quality'],0.29296875,195.71875,27.328125,0.095703125,0.5546875,59.8984375,-0.37,-0.009,-0.147,0.36,101.5
11,11,2014,January,2014-01,Warren,Warren,-31.7,147.833,1,0.1982,0.3159,['Highest quality'],0.325195313,268.5,20.84375,0.068359375,0.0390625,17.703125,-1.26,-0.036,-0.157,-0.13,41.6015625
12,12,2014,March,2014-03,Nyngan,Nyngan,-31.563,147.1962,1,0.2589,0.4301,['Highest quality'],0.831054688,155.9453125,73.7734375,0.224609375,0.453125,98.296875,0.54,-0.051,-0.138,1.34,155.09375
13,13,2014,February,2014-02,Nyngan,Nyngan,-31.563,147.1962,1,0.1833,0.315,['Lower quality'],0.75,193.6796875,25.609375,0.064453125,0.03125,37.5,-0.37,-0.009,-0.147,0.36,86.6953125
14,14,2014,January,2014-01,Nyngan,Nyngan,-31.563,147.1962,1,0.1692,0.2798,['Highest quality'],0.8359375,269.8984375,25.453125,0.086914063,0.015625,19.296875,-1.26,-0.036,-0.157,-0.13,52.9921875
15,15,2014,March,2014-03,Gilgandra,Gilgandra,-31.7,148.6667,1,0.3624,0.5546,['Highest quality'],1.362304688,148.125,78.234375,0.252929688,0.1796875,76.6015625,0.54,-0.051,-0.138,1.34,182.1015625
16,16,2014,February,2014-02,Gilgandra,Gilgandra,-31.7,148.6667,1,0.3872,0.5521,['Lower quality'],1.213867188,188.0625,22.9375,0.122070313,0.6484375,92.6015625,-0.37,-0.009,-0.147,0.36,124.6015625
17,17,2014,January,2014-01,Gilgandra,Gilgandra,-31.7,148.6667,1,0.2052,0.323,['Highest quality'],1.360351563,259.875,19.0390625,0.037109375,0,12.8984375,-1.26,-0.036,-0.157,-0.13,41.203125
18,18,2014,March,2014-03,Narrabri,Narrabri,-30.3167,149.7667,1,0.2548,0.3915,['Highest quality'],0.477539063,166.1953125,32.78125,0.184570313,1.59375,173.703125,0.54,-0.051,-0.138,1.34,209.6015625
19,19,2014,February,2014-02,Narrabri,Narrabri,-30.3167,149.7667,1,0.2397,0.3631,['Lower quality'],0.43359375,199.171875,13.0546875,0.030273438,0.015625,28.8984375,-0.37,-0.009,-0.147,0.36,50.8984375
20,20,2014,January,2014-01,Narrabri,Narrabri,-30.3167,149.7667,1,0.2649,0.3835,['Highest quality'],0.482421875,270.03125,14.1796875,0.014648438,0,7,-1.26,-0.036,-0.157,-0.13,109.796875
21,21,2014,March,2014-03,Tamworth,Tamworth,-31.083,150.917,1,0.5145,0.7508,['Highest quality'],0.928710938,147.953125,45.6171875,0.15625,0.0703125,96.1015625,0.54,-0.051,-0.138,1.34,134.3046875
22,22,2014,February,2014-02,Tamworth,Tamworth,-31.083,150.917,1,0.2087,0.3007,['Highest quality'],0.844726563,182.15625,14.515625,0.05078125,0.03125,36.5,-0.37,-0.009,-0.147,0.36,82.3046875
23,23,2014,January,2014-01,Tamworth,Tamworth,-31.083,150.917,1,0.2543,0.3985,['Highest quality'],0.9453125,250.7421875,22.0625,0.025390625,0,1.703125,-1.26,-0.036,-0.157,-0.13,152.203125
24,24,2014,March,2014-03,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2027,0.4371,['Highest quality'],2.568359375,142.609375,74.1640625,0.288085938,3.46875,119.703125,0.54,-0.051,-0.138,1.34,217.1015625
25,25,2014,February,2014-02,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2193,0.3738,['Highest quality'],2.299804688,184.3671875,32.1015625,0.115234375,2.9609375,91.796875,-0.37,-0.009,-0.147,0.36,117
26,26,2014,January,2014-01,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.1918,0.3364,['Highest quality'],2.646484375,251.140625,50.6328125,0.048828125,1.7109375,5.6015625,-1.26,-0.036,-0.157,-0.13,57.3046875
27,27,2014,April,2014-04,Walgett,Walgett,-30.0167,148.1167,1,0.2048,0.3705,['Highest quality'],0.2890625,127.5390625,34.2890625,0.104492188,0.015625,20.5,-0.17,0.017,-0.13,1.18,81.5
28,28,2014,April,2014-04,Coonamble,Coonamble,-30.95,148.4,1,0.3584,0.5532,['Highest quality'],0.09765625,117.140625,57.875,0.166992188,0.0859375,24,-0.17,0.017,-0.13,1.18,161.3046875
29,29,2014,April,2014-04,Narrabri,Narrabri,-30.3167,149.7667,1,0.3763,0.5563,['Highest quality'],0.470703125,118.328125,61.40625,0.54296875,0.234375,4.203125,-0.17,0.017,-0.13,1.18,206.8046875
30,30,2014,March,2014-03,Mittagong,Mittagong,-34.4508,150.4464,0,0.3811,0.627,['Highest quality'],2.821289063,108.6171875,85.2734375,0.290039063,6.6484375,217.6015625,0.54,-0.051,-0.138,1.34,284.3984375
31,31,2014,April,2014-04,Mittagong,Mittagong,-34.4508,150.4464,0,0.359,0.6223,['Highest quality'],2.903320313,74.6015625,59.4453125,0.56640625,4.59375,55.296875,-0.17,0.017,-0.13,1.18,316.8984375
32,32,2014,March,2014-03,Bowral,Bowral,-34.4792,150.4181,0,0.3462,0.5768,['Highest quality'],1.48828125,109.84375,74.234375,0.217773438,0.84375,177.5,0.54,-0.051,-0.138,1.34,233.6015625
33,33,2014,April,2014-04,Bowral,Bowral,-34.4792,150.4181,0,0.3192,0.5817,['Highest quality'],1.458984375,74.328125,53.546875,0.479492188,0.171875,44.5,-0.17,0.017,-0.13,1.18,259.8984375
34,34,2014,March,2014-03,Bundanoon,Bundanoon,-34.65,150.3,0,0.4262,0.7058,['Highest quality'],2.8984375,110.1484375,88.0625,0.29296875,8.6015625,210,0.54,-0.051,-0.138,1.34,293.1953125
35,35,2014,April,2014-04,Bundanoon,Bundanoon,-34.65,150.3,0,0.4022,0.7195,['Highest quality'],2.9765625,74.8515625,59.484375,0.556640625,4.875,47.703125,-0.17,0.017,-0.13,1.18,321
36,36,2014,March,2014-03,Robertson,Robertson,-34.5833,150.5833,0,0.4404,0.7119,['Highest quality'],1.3203125,107.7265625,105.53125,0.711914063,170.84375,433.5,0.54,-0.051,-0.138,1.34,550.1953125
37,37,2014,April,2014-04,Robertson,Robertson,-34.5833,150.5833,0,0.4633,0.741,['Highest quality'],1.362304688,73.3359375,64.7109375,0.827148438,74.2890625,89.1015625,-0.17,0.017,-0.13,1.18,595.5
38,38,2014,March,2014-03,Moss Vale,Moss Vale,-34.55,150.3833,0,0.4374,0.6751,['Highest quality'],1.92578125,108.59375,81.15625,0.26171875,3.171875,213,0.54,-0.051,-0.138,1.34,279
39,39,2014,April,2014-04,Moss Vale,Moss Vale,-34.55,150.3833,0,0.5152,0.7515,['Highest quality'],1.93359375,73.1640625,57.0078125,0.580078125,1.5234375,52.1015625,-0.17,0.017,-0.13,1.18,309.3984375
40,40,2014,May,2014-05,Walgett,Walgett,-30.0167,148.1167,1,0.2173,0.3453,['Lower quality'],0.297851563,94.9921875,15.859375,0.046875,0,8.796875,0.09,-0.012,-0.121,-1.62,63.296875
41,41,2014,May,2014-05,Coonabarabran,Coonabarabran,-31.25,149.2667,1,0.2752,0.5406,['Highest quality'],2.560546875,74.0546875,32.4609375,0.1953125,1.6328125,17.203125,0.09,-0.012,-0.121,-1.62,153.203125
42,42,2014,May,2014-05,Coonamble,Coonamble,-30.95,148.4,1,0.2725,0.403,['Lower quality'],0.100585938,86.3984375,21.578125,0.088867188,0.015625,15,0.09,-0.012,-0.121,-1.62,115.6015625
43,43,2014,May,2014-05,Pilliga,Pilliga,-30.3518,148.8847,1,0.293,0.5047,['Lower quality'],0.645507813,88.015625,36.3828125,0.190429688,0.0078125,12.5,0.09,-0.012,-0.121,-1.62,144.6015625
44,44,2014,June,2014-06,Pilliga,Pilliga,-30.3518,148.8847,1,0.2815,0.4898,['Highest quality'],0.620117188,66.6484375,29.2890625,0.23828125,0.21875,48.3984375,0.37,0.086,-0.113,-0.21,69.6015625
45,45,2014,June,2014-06,Tamworth,Tamworth,-31.083,150.917,1,0.2667,0.5045,['Lower quality'],0.885742188,55.0078125,26.0859375,0.180664063,0.0390625,51.8984375,0.37,0.086,-0.113,-0.21,96.1015625
46,46,2014,June,2014-06,Cobargo,Cobargo,-36.3667,149.9,1,0.3792,0.8059,['Lower quality'],9.516601563,48.375,39.6640625,0.5,11.4609375,96.1015625,0.37,0.086,-0.113,-0.21,218.8984375
47,47,2014,June,2014-06,Bega,Bega,-36.6742,149.8429,1,0.341,0.6096,['Decreasing quality (0011)'],3.647460938,50.140625,39.65625,0.493164063,1.859375,115.6015625,0.37,0.086,-0.113,-0.21,243.296875
48,48,2014,June,2014-06,Walgett,Walgett,-30.0167,148.1167,1,0.1916,0.345,['Highest quality'],0.287109375,71.1953125,17.96875,0.106445313,0.0703125,32.3984375,0.37,0.086,-0.113,-0.21,61.6953125
49,49,2018,October,2018-10,Wentworth,Wentworth,-34.1065,141.9221,0,0.1734,0.2811,['Highest quality'],0.231445313,172.484375,11.1171875,0.030273438,0.0078125,14.1015625,0.24,0.844,,2.76,24.8984375
50,50,2018,November,2018-11,Wentworth,Wentworth,-34.1065,141.9221,0,0.1882,0.2882,['Highest quality'],0.22265625,192.546875,17.546875,0.056640625,0.0703125,24.8984375,0.62,0.623,,2.84,40.8984375
51,51,2018,December,2018-12,Wentworth,Wentworth,-34.1065,141.9221,0,0.1932,0.3072,['Lower quality'],0.23046875,231.859375,31.46875,0.081054688,0.1953125,38,-0.23,0.379,,1.44,77
52,52,2019,January,2019-01,Wentworth,Wentworth,-34.1065,141.9221,0,0.1861,0.2759,['Highest quality'],0.229492188,267.578125,18.6015625,0.026367188,0,1.5,0.36,0.452,,2.79,64.3984375
53,53,2020,October,2020-10,Wentworth,Wentworth,-34.1065,141.9221,0,0.2294,0.3616,['Highest quality'],0.215820313,146.4140625,38.96875,0.120117188,0.1875,57,-1.19,0.233,,1.79,121.09375
54,54,2020,November,2020-11,Wentworth,Wentworth,-34.1065,141.9221,0,0.1989,0.3271,['Highest quality'],0.208984375,216.078125,37.28125,0.088867188,0.0078125,7.703125,-1.19,0.143,,1.14,90
55,55,2020,December,2020-12,Wentworth,Wentworth,-34.1065,141.9221,0,0.1935,0.2954,['Highest quality'],0.215820313,229.25,15.1640625,0.041015625,0,8.703125,-1.86,0.1,,2.28,73.40625
