,Unnamed: 0,Accuracy_CDI_01234,False Positive_CDI_01234,False Negative_CDI_01234,True Positive_CDI_01234,True Negative_CDI_01234,True Positive Rate / Sensitivity_CDI_01234,True Negative Rate / Specificity_CDI_01234,Positive predictive value / Precision_CDI_01234,Negative predictive value_CDI_01234,False Positive rate / Fall out_CDI_01234,False Negative rate_CDI_01234,False discovery rate_CDI_01234,Overall accuracy (from conf m)_CDI_01234,Unnamed: 0,Accuracy_CDI_0123,False Positive_CDI_0123,False Negative_CDI_0123,True Positive_CDI_0123,True Negative_CDI_0123,True Positive Rate / Sensitivity_CDI_0123,True Negative Rate / Specificity_CDI_0123,Positive predictive value / Precision_CDI_0123,Negative predictive value_CDI_0123,False Positive rate / Fall out_CDI_0123,False Negative rate_CDI_0123,False discovery rate_CDI_0123,Overall accuracy (from conf m)_CDI_0123,Unnamed: 0,Accuracy_CDI_012,False Positive_CDI_012,False Negative_CDI_012,True Positive_CDI_012,True Negative_CDI_012,True Positive Rate / Sensitivity_CDI_012,True Negative Rate / Specificity_CDI_012,Positive predictive value / Precision_CDI_012,Negative predictive value_CDI_012,False Positive rate / Fall out_CDI_012,False Negative rate_CDI_012,False discovery rate_CDI_012,Overall accuracy (from conf m)_CDI_012,Unnamed: 0,Accuracy_CDI_01,False Positive_CDI_01,False Negative_CDI_01,True Positive_CDI_01,True Negative_CDI_01,True Positive Rate / Sensitivity_CDI_01,True Negative Rate / Specificity_CDI_01,Positive predictive value / Precision_CDI_01,Negative predictive value_CDI_01,False Positive rate / Fall out_CDI_01,False Negative rate_CDI_01,False discovery rate_CDI_01,Overall accuracy (from conf m)_CDI_01,Unnamed: 0,Accuracy_CDI_0,False Positive_CDI_0,False Negative_CDI_0,True Positive_CDI_0,True Negative_CDI_0,True Positive Rate / Sensitivity_CDI_0,True Negative Rate / Specificity_CDI_0,Positive predictive value / Precision_CDI_0,Negative predictive value_CDI_0,False Positive rate / Fall out_CDI_0,False Negative rate_CDI_0,False discovery rate_CDI_0,Overall accuracy (from conf m)_CDI_0
0,0,0.7142857142857143,40.0,0.0,64.0,36.0,1.0,0.4736842105263157,0.6153846153846154,1.0,0.5263157894736842,0.0,0.3846153846153846,0.7142857142857143,0,0.7071428571428572,40.0,1.0,63.0,36.0,0.984375,0.4736842105263157,0.6116504854368932,0.972972972972973,0.5263157894736842,0.015625,0.3883495145631068,0.7071428571428572,0,0.75,29.0,6.0,58.0,47.0,0.90625,0.618421052631579,0.6666666666666666,0.8867924528301887,0.3815789473684211,0.09375,0.3333333333333333,0.75,0,0.7142857142857143,21.0,19.0,45.0,55.0,0.703125,0.7236842105263158,0.6818181818181818,0.7432432432432432,0.2763157894736842,0.296875,0.3181818181818182,0.7142857142857143,0,0.7,9.0,33.0,31.0,67.0,0.484375,0.881578947368421,0.775,0.67,0.1184210526315789,0.515625,0.225,0.7
1,1,0.7142857142857143,39.0,1.0,61.0,39.0,0.9838709677419356,0.5,0.61,0.975,0.5,0.0161290322580645,0.39,0.7142857142857143,1,0.7214285714285714,37.0,2.0,60.0,41.0,0.967741935483871,0.5256410256410257,0.6185567010309279,0.9534883720930232,0.4743589743589743,0.032258064516129,0.3814432989690721,0.7214285714285714,1,0.7214285714285714,31.0,8.0,54.0,47.0,0.8709677419354839,0.6025641025641025,0.6352941176470588,0.8545454545454545,0.3974358974358974,0.1290322580645161,0.3647058823529411,0.7214285714285714,1,0.6928571428571428,26.0,17.0,45.0,52.0,0.7258064516129032,0.6666666666666666,0.6338028169014085,0.7536231884057971,0.3333333333333333,0.2741935483870967,0.3661971830985915,0.6928571428571428,1,0.6428571428571429,12.0,38.0,24.0,66.0,0.3870967741935484,0.8461538461538461,0.6666666666666666,0.6346153846153846,0.1538461538461538,0.6129032258064516,0.3333333333333333,0.6428571428571429
2,2,0.7714285714285715,32.0,0.0,67.0,41.0,1.0,0.5616438356164384,0.6767676767676768,1.0,0.4383561643835616,0.0,0.3232323232323232,0.7714285714285715,2,0.7714285714285715,32.0,0.0,67.0,41.0,1.0,0.5616438356164384,0.6767676767676768,1.0,0.4383561643835616,0.0,0.3232323232323232,0.7714285714285715,2,0.7928571428571428,24.0,5.0,62.0,49.0,0.9253731343283582,0.6712328767123288,0.7209302325581395,0.9074074074074074,0.3287671232876712,0.0746268656716417,0.2790697674418604,0.7928571428571428,2,0.7285714285714285,20.0,18.0,49.0,53.0,0.7313432835820896,0.726027397260274,0.7101449275362319,0.7464788732394366,0.273972602739726,0.2686567164179104,0.2898550724637681,0.7285714285714285,2,0.6928571428571428,7.0,36.0,31.0,66.0,0.4626865671641791,0.9041095890410958,0.8157894736842105,0.6470588235294118,0.0958904109589041,0.5373134328358209,0.1842105263157894,0.6928571428571428
3,3,0.7571428571428571,33.0,1.0,64.0,42.0,0.9846153846153848,0.56,0.6597938144329897,0.9767441860465116,0.44,0.0153846153846153,0.3402061855670103,0.7571428571428571,3,0.7857142857142857,29.0,1.0,64.0,46.0,0.9846153846153848,0.6133333333333333,0.6881720430107527,0.9787234042553192,0.3866666666666666,0.0153846153846153,0.3118279569892473,0.7857142857142857,3,0.7785714285714286,25.0,6.0,59.0,50.0,0.9076923076923076,0.6666666666666666,0.7023809523809523,0.8928571428571429,0.3333333333333333,0.0923076923076923,0.2976190476190476,0.7785714285714286,3,0.7428571428571429,18.0,18.0,47.0,57.0,0.7230769230769231,0.76,0.7230769230769231,0.76,0.24,0.2769230769230769,0.2769230769230769,0.7428571428571429,3,0.6642857142857143,9.0,38.0,27.0,66.0,0.4153846153846154,0.88,0.75,0.6346153846153846,0.12,0.5846153846153846,0.25,0.6642857142857143
4,4,0.7357142857142858,34.0,3.0,62.0,41.0,0.953846153846154,0.5466666666666666,0.6458333333333334,0.9318181818181818,0.4533333333333333,0.0461538461538461,0.3541666666666667,0.7357142857142858,4,0.7571428571428571,31.0,3.0,62.0,44.0,0.953846153846154,0.5866666666666667,0.6666666666666666,0.9361702127659576,0.4133333333333333,0.0461538461538461,0.3333333333333333,0.7571428571428571,4,0.75,25.0,10.0,55.0,50.0,0.8461538461538461,0.6666666666666666,0.6875,0.8333333333333334,0.3333333333333333,0.1538461538461538,0.3125,0.75,4,0.6857142857142857,19.0,25.0,40.0,56.0,0.6153846153846154,0.7466666666666667,0.6779661016949152,0.691358024691358,0.2533333333333333,0.3846153846153846,0.3220338983050847,0.6857142857142857,4,0.65,8.0,41.0,24.0,67.0,0.3692307692307692,0.8933333333333333,0.75,0.6203703703703703,0.1066666666666666,0.6307692307692307,0.25,0.65
5,5,0.7428571428571429,35.0,1.0,62.0,42.0,0.984126984126984,0.5454545454545454,0.6391752577319587,0.9767441860465116,0.4545454545454545,0.0158730158730158,0.3608247422680412,0.7428571428571429,5,0.7642857142857142,32.0,1.0,62.0,45.0,0.984126984126984,0.5844155844155844,0.6595744680851063,0.9782608695652174,0.4155844155844156,0.0158730158730158,0.3404255319148936,0.7642857142857142,5,0.7642857142857142,26.0,7.0,56.0,51.0,0.8888888888888888,0.6623376623376623,0.6829268292682927,0.8793103448275862,0.3376623376623376,0.1111111111111111,0.3170731707317073,0.7642857142857142,5,0.6428571428571429,22.0,28.0,35.0,55.0,0.5555555555555556,0.7142857142857143,0.6140350877192983,0.6626506024096386,0.2857142857142857,0.4444444444444444,0.3859649122807017,0.6428571428571429,5,0.7071428571428572,7.0,34.0,29.0,70.0,0.4603174603174603,0.9090909090909092,0.8055555555555556,0.6730769230769231,0.0909090909090909,0.5396825396825397,0.1944444444444444,0.7071428571428572
6,6,0.7214285714285714,38.0,1.0,74.0,27.0,0.9866666666666668,0.4153846153846154,0.6607142857142857,0.9642857142857144,0.5846153846153846,0.0133333333333333,0.3392857142857143,0.7214285714285714,6,0.7357142857142858,35.0,2.0,73.0,30.0,0.9733333333333334,0.4615384615384615,0.6759259259259259,0.9375,0.5384615384615384,0.0266666666666666,0.324074074074074,0.7357142857142858,6,0.7357142857142858,26.0,11.0,64.0,39.0,0.8533333333333334,0.6,0.7111111111111111,0.78,0.4,0.1466666666666666,0.2888888888888888,0.7357142857142858,6,0.7357142857142858,16.0,21.0,54.0,49.0,0.72,0.7538461538461538,0.7714285714285715,0.7,0.2461538461538461,0.28,0.2285714285714285,0.7357142857142858,6,0.7,4.0,38.0,37.0,61.0,0.4933333333333333,0.9384615384615383,0.902439024390244,0.6161616161616161,0.0615384615384615,0.5066666666666667,0.0975609756097561,0.7
7,7,0.7642857142857142,32.0,1.0,64.0,43.0,0.9846153846153848,0.5733333333333334,0.6666666666666666,0.9772727272727272,0.4266666666666667,0.0153846153846153,0.3333333333333333,0.7642857142857142,7,0.7785714285714286,30.0,1.0,64.0,45.0,0.9846153846153848,0.6,0.6808510638297872,0.9782608695652174,0.4,0.0153846153846153,0.3191489361702128,0.7785714285714286,7,0.7714285714285715,28.0,4.0,61.0,47.0,0.9384615384615383,0.6266666666666667,0.6853932584269663,0.9215686274509804,0.3733333333333333,0.0615384615384615,0.3146067415730337,0.7714285714285715,7,0.7,20.0,22.0,43.0,55.0,0.6615384615384615,0.7333333333333333,0.6825396825396826,0.7142857142857143,0.2666666666666666,0.3384615384615385,0.3174603174603174,0.7,7,0.6785714285714286,10.0,35.0,30.0,65.0,0.4615384615384615,0.8666666666666667,0.75,0.65,0.1333333333333333,0.5384615384615384,0.25,0.6785714285714286
8,8,0.75,34.0,1.0,66.0,39.0,0.9850746268656716,0.5342465753424658,0.66,0.975,0.4657534246575342,0.0149253731343283,0.34,0.75,8,0.7571428571428571,33.0,1.0,66.0,40.0,0.9850746268656716,0.547945205479452,0.6666666666666666,0.975609756097561,0.4520547945205479,0.0149253731343283,0.3333333333333333,0.7571428571428571,8,0.7857142857142857,26.0,4.0,63.0,47.0,0.9402985074626866,0.6438356164383562,0.7078651685393258,0.9215686274509804,0.3561643835616438,0.0597014925373134,0.2921348314606741,0.7857142857142857,8,0.7642857142857142,20.0,13.0,54.0,53.0,0.8059701492537313,0.726027397260274,0.7297297297297297,0.803030303030303,0.273972602739726,0.1940298507462686,0.2702702702702703,0.7642857142857142,8,0.7214285714285714,8.0,31.0,36.0,65.0,0.5373134328358209,0.8904109589041096,0.8181818181818182,0.6770833333333334,0.1095890410958904,0.4626865671641791,0.1818181818181818,0.7214285714285714
9,9,0.7285714285714285,38.0,0.0,62.0,40.0,1.0,0.5128205128205128,0.62,1.0,0.4871794871794871,0.0,0.38,0.7285714285714285,9,0.7214285714285714,37.0,2.0,60.0,41.0,0.967741935483871,0.5256410256410257,0.6185567010309279,0.9534883720930232,0.4743589743589743,0.032258064516129,0.3814432989690721,0.7214285714285714,9,0.7571428571428571,28.0,6.0,56.0,50.0,0.9032258064516128,0.6410256410256411,0.6666666666666666,0.8928571428571429,0.358974358974359,0.0967741935483871,0.3333333333333333,0.7571428571428571,9,0.7214285714285714,20.0,19.0,43.0,58.0,0.6935483870967742,0.7435897435897436,0.6825396825396826,0.7532467532467533,0.2564102564102564,0.3064516129032258,0.3174603174603174,0.7214285714285714,9,0.6928571428571428,8.0,35.0,27.0,70.0,0.4354838709677419,0.8974358974358975,0.7714285714285715,0.6666666666666666,0.1025641025641025,0.5645161290322581,0.2285714285714285,0.6928571428571428
