,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Year,Month,Year_Month,Geographic Location,Location_x,Latitude,Longitude,Drought / No Drought,MYD13A3_061__1_km_monthly_EVI,MYD13A3_061__1_km_monthly_NDVI,MYD13A3_061__1_km_monthly_VI_Quality_VI_Usefulness_Description,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,IPO_TPI,SAMI,P_acc_3M,geom,address,postal_code_Country,postal_code,countyname,lganame,Location_y,CDI,comment,CDI_0,CDI_01,CDI_012,CDI_0123,CDI_01234
2381,60,60,60,2018,October,2018-10,Finley,Finley,-35.6375,145.5787,0,0.1945,0.3272,['Highest quality'],0.25,158.5078125,15.8203125,0.041992188,0.015625,26.5,0.24,0.844,,2.76,39.796875,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,1,,0,1,1,1,1
2403,61,61,61,2018,November,2018-11,Finley,Finley,-35.6375,145.5787,0,0.216,0.3396,['Highest quality'],0.241210938,181.1640625,25.0078125,0.065429688,0.0078125,25.296875,0.62,0.623,,2.84,56.1953125,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,0,,1,1,1,1,1
2425,62,62,62,2018,December,2018-12,Finley,Finley,-35.6375,145.5787,0,0.2106,0.3461,['Highest quality'],0.249023438,223.578125,39.96875,0.077148438,0.0390625,38.203125,-0.23,0.379,,1.44,90,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,1,,0,1,1,1,1
2447,63,63,63,2019,January,2019-01,Finley,Finley,-35.6375,145.5787,0,0.1965,0.3026,['Highest quality'],0.248046875,243.3203125,13.0625,0.015625,0,5,0.36,0.452,,2.79,68.5,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,0,,1,1,1,1,1
2469,64,64,64,2020,October,2020-10,Finley,Finley,-35.6375,145.5787,0,0.2598,0.4037,['Highest quality'],0.233398438,140.625,42.453125,0.139648438,0,29.8984375,-1.19,0.233,,1.79,103.09375,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2491,65,65,65,2020,November,2020-11,Finley,Finley,-35.6375,145.5787,0,0.2173,0.3472,['Highest quality'],0.225585938,203.4921875,37.703125,0.057617188,0,10.703125,-1.19,0.143,,1.14,64.8984375,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2513,66,66,66,2020,December,2020-12,Finley,Finley,-35.6375,145.5787,0,0.1822,0.2942,['Highest quality'],0.231445313,213.75,11.453125,0.012695313,0,7.6015625,-1.86,0.1,,2.28,48.203125,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2535,67,67,67,2021,January,2021-01,Finley,Finley,-35.6375,145.5787,0,0.1786,0.2835,['Highest quality'],0.23046875,217.8515625,13.4609375,0.029296875,0.015625,46.296875,-1.87,0.116,,1.95,64.6015625,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2557,68,68,68,2021,February,2021-02,Finley,Finley,-35.6375,145.5787,0,0.2481,0.3655,['Highest quality'],0.208007813,175.7890625,47.234375,0.131835938,0.0625,24.6015625,-1.84,0.323,,2.19,78.5,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2579,69,69,69,2021,March,2021-03,Finley,Finley,-35.6375,145.5787,0,0.2276,0.3674,['Highest quality'],0.23046875,135.1484375,29.984375,0.108398438,0.171875,76.6015625,-0.55,0.367,,-0.95,147.5,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,5,,0,0,0,0,0
2601,70,70,70,2021,April,2021-04,Finley,Finley,-35.6375,145.5787,0,0.2647,0.4403,['Highest quality'],0.22265625,94.0234375,45.8046875,0.123046875,0,0.8984375,-0.42,0.325,,0.87,102.1015625,"-35.6375,145.5787","St Joseph's Primary School, Denison Street, Finley, Berrigan Shire Council, New South Wales, 2713, Australia","2713, Australia",2713,DENISON,BERRIGAN,Finley,2,,0,0,1,1,1
11182,112,112,112,2018,October,2018-10,Bredbo,Bredbo,-35.95,149.15,0,0.2122,0.345,['Highest quality'],2.801757813,131.984375,38.53125,0.071289063,1.8984375,43.296875,0.24,0.844,,2.76,82.6953125,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11200,113,113,113,2018,November,2018-11,Bredbo,Bredbo,-35.95,149.15,0,0.2496,0.3658,['Highest quality'],2.6328125,146.78125,39.828125,0.0625,1.4140625,45.296875,0.62,0.623,,2.84,106.890625,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,0,,1,1,1,1,1
11218,114,114,114,2018,December,2018-12,Bredbo,Bredbo,-35.95,149.15,0,0.2351,0.3645,['Highest quality'],2.71484375,183.1328125,65.8828125,0.133789063,2.4140625,77.1015625,-0.23,0.379,,1.44,165.6953125,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11236,115,115,115,2018,January,2018-01,Bredbo,Bredbo,-35.95,149.15,0,0.2455,0.4213,['Highest quality'],4.21875,185.0859375,62.703125,0.102539063,2.765625,63.8984375,-1.12,-0.135,,2.72,244.3984375,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,3,,0,0,0,1,1
11254,116,116,116,2019,November,2019-11,Bredbo,Bredbo,-35.95,149.15,0,0.19,0.3232,['Highest quality'],2.17578125,178.8046875,35.671875,0.064453125,0.5,20.796875,1.07,0.958,,-4.42,73.8984375,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11272,117,117,117,2019,December,2019-12,Bredbo,Bredbo,-35.95,149.15,0,0.1609,0.2553,['Highest quality'],2.15234375,206.671875,16.0703125,0.013671875,0.1171875,2.796875,0.73,0.312,,-1.78,51.796875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,0,,1,1,1,1,1
11290,118,118,118,2020,January,2020-01,Bredbo,Bredbo,-35.95,149.15,0,0.1523,0.2483,['Highest quality'],2.0625,189.375,17.9921875,0.037109375,0.3203125,24.296875,0.2,0.238,,0.57,47.890625,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,0,,1,1,1,1,1
11308,119,119,119,2020,February,2020-02,Bredbo,Bredbo,-35.95,149.15,0,0.1977,0.3113,['Highest quality'],2.165039063,136.9375,41.125,0.245117188,1.890625,119.703125,0.3,0.134,,-0.36,146.796875,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,1,,0,1,1,1,1
11326,120,120,120,2020,March,2020-03,Bredbo,Bredbo,-35.95,149.15,0,0.2545,0.4069,['Highest quality'],3.073242188,114.859375,60.90625,0.216796875,0.6171875,43.203125,0.52,0.119,,2.05,187.203125,"-35.95,149.15","Dulcie Street, Bredbo, Snowy Monaro Regional Council, New South Wales, 2626, Australia","2626, Australia",2626,BERESFORD,SNOWY MONARO REGIONAL,Bredbo,0,,1,1,1,1,1
