,Unnamed: 0,class,precision_CDI_01234,recall_CDI_01234,f1_score_CDI_01234,support,Unnamed: 0,class,precision_CDI_0123,recall_CDI_0123,f1_score_CDI_0123,support,Unnamed: 0,class,precision_CDI_012,recall_CDI_012,f1_score_CDI_012,support,Unnamed: 0,class,precision_CDI_01,recall_CDI_01,f1_score_CDI_01,support,Unnamed: 0,class,precision_CDI0,recall_CDI0,f1_score_CDI0,support,Unnamed: 0,class,precision_RF,recall_RF,f1_score_RF,support
0,0,0,1.0,0.47,0.64,76,1.0,1.0,0.61,0.98,0.75,64.0,1.0,1.0,0.67,0.91,0.77,64.0,1.0,1.0,0.68,0.7,0.69,64.0,1.0,1.0,0.78,0.48,0.6,64.0,0,0,0.94,0.84,0.89,76
1,1,1,0.62,1.0,0.76,64,3.0,1.0,0.62,0.97,0.75,62.0,3.0,1.0,0.64,0.87,0.73,62.0,3.0,1.0,0.63,0.73,0.68,62.0,2.0,1.0,0.67,0.39,0.49,62.0,1,1,0.83,0.94,0.88,64
2,2,0,0.97,0.5,0.66,78,5.0,1.0,0.75,0.96,0.84,82.0,5.0,1.0,0.8,0.93,0.86,82.0,5.0,1.0,0.81,0.74,0.78,82.0,3.0,1.0,0.84,0.46,0.6,82.0,2,0,0.9,0.91,0.91,58
3,3,1,0.61,0.98,0.75,62,7.0,1.0,0.69,0.96,0.8,69.0,7.0,1.0,0.69,0.86,0.77,69.0,7.0,1.0,0.69,0.65,0.67,69.0,4.0,1.0,0.72,0.38,0.5,69.0,3,1,0.94,0.93,0.93,82
4,4,0,0.97,0.53,0.69,58,9.0,1.0,0.73,0.94,0.82,77.0,9.0,1.0,0.77,0.83,0.8,77.0,9.0,1.0,0.78,0.68,0.72,77.0,5.0,1.0,0.89,0.51,0.64,77.0,4,0,0.94,0.94,0.94,71
5,5,1,0.75,0.99,0.85,82,11.0,1.0,0.69,0.99,0.81,76.0,11.0,1.0,0.72,0.89,0.8,76.0,11.0,1.0,0.73,0.7,0.71,76.0,6.0,1.0,0.83,0.5,0.62,76.0,5,1,0.94,0.94,0.94,69
6,6,0,0.93,0.55,0.69,71,13.0,1.0,0.71,0.99,0.83,73.0,13.0,1.0,0.74,0.9,0.81,73.0,13.0,1.0,0.82,0.73,0.77,73.0,7.0,1.0,0.89,0.44,0.59,73.0,6,0,0.94,0.95,0.94,63
7,7,1,0.67,0.96,0.79,69,15.0,1.0,0.69,0.99,0.81,71.0,15.0,1.0,0.72,0.89,0.79,71.0,15.0,1.0,0.8,0.75,0.77,71.0,8.0,1.0,0.89,0.45,0.6,71.0,7,1,0.96,0.95,0.95,77
8,8,0,0.89,0.52,0.66,63,17.0,1.0,0.67,0.99,0.8,69.0,17.0,1.0,0.68,0.9,0.78,69.0,17.0,1.0,0.71,0.71,0.71,69.0,9.0,1.0,0.79,0.49,0.61,69.0,8,0,0.95,0.89,0.92,64
9,9,1,0.71,0.95,0.81,77,19.0,1.0,0.69,0.99,0.81,68.0,19.0,1.0,0.74,0.93,0.82,68.0,19.0,1.0,0.77,0.72,0.74,68.0,10.0,1.0,0.82,0.46,0.58,68.0,9,1,0.91,0.96,0.94,76
10,10,0,0.97,0.44,0.6,64,21.0,1.0,0.61,1.0,0.76,56.0,21.0,1.0,0.64,0.91,0.75,56.0,21.0,1.0,0.66,0.75,0.7,56.0,11.0,1.0,0.68,0.5,0.58,56.0,10,0,0.95,0.91,0.93,67
11,11,1,0.68,0.99,0.8,76,23.0,1.0,0.7,0.96,0.81,70.0,23.0,1.0,0.72,0.84,0.78,70.0,23.0,1.0,0.78,0.66,0.71,70.0,12.0,1.0,0.94,0.41,0.57,70.0,11,1,0.92,0.96,0.94,73
