,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Year,Month,Year_Month,Geographic Location,Location,Latitude,Longitude,Drought / No Drought,MYD13A3_061__1_km_monthly_EVI,MYD13A3_061__1_km_monthly_NDVI,MYD13A3_061__1_km_monthly_VI_Quality_VI_Usefulness_Description,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,IPO_TPI,SAMI,P_acc_3M,precip_calculated_index,precip_scale_2_calculated_index,precip_scale_3_calculated_index,precip_scale_6_calculated_index,precip_scale_9_calculated_index,precip_scale_12_calculated_index,precip_scale_24_calculated_index
0,0,0,0,0,0,0,2014,March,2014-03,Cobar,Cobar,-31.498,145.8383,1,0.1664,0.3052,['Highest quality'],2.349609375,157.6796875,70.8671875,0.265625,0.5,57.0,0.54,-0.051,-0.138,1.34,145.5,0.961742274,0.940975198,0.531992461,-0.041808994,-0.0553921986366447,0.0982420362363655,-0.7308014420090287
1,1,1,1,1,1,1,2014,February,2014-02,Cobar,Cobar,-31.498,145.8383,1,0.1311,0.2351,['Highest quality'],1.896484375,203.6796875,28.4140625,0.146484375,2.3515625,84.1015625,-0.37,-0.009,-0.147,0.36,119.5,0.789762101,0.26165292,0.28491136,-0.342077283,0.0799657091508581,0.0689029340848985,-0.5601398062225859
2,2,2,2,2,2,2,2014,January,2014-01,Cobar,Cobar,-31.498,145.8383,1,0.1385,0.2365,['Highest quality'],2.130859375,273.5703125,30.03125,0.08203125,0.078125,4.3984375,-1.26,-0.036,-0.157,-0.13,37.0,-0.777240016,-0.299196979,-0.904306234,-1.034411698,-0.1848675262619712,-0.4181434722170298,-0.7165733402448928
3,3,3,3,3,3,3,2014,March,2014-03,Walgett,Walgett,-30.0167,148.1167,1,0.2209,0.3371,['Lower quality'],0.298828125,176.7578125,27.703125,0.08203125,0.0546875,34.0,0.54,-0.051,-0.138,1.34,68.203125,0.060529929,-0.500639986,-0.882838774,-1.393406447,-1.3249137654083645,-1.539704748476399,-1.3435959559553607
4,4,4,4,4,4,4,2014,February,2014-02,Walgett,Walgett,-30.0167,148.1167,1,0.2091,0.3028,['Highest quality'],0.271484375,203.7890625,7.8203125,0.0234375,0.015625,27.0,-0.37,-0.009,-0.147,0.36,41.0,-0.381371149,-0.885833382,-1.228031911,-1.180280583,-1.4441034104453667,-0.9804322531191644,-1.2880624473868463
5,5,5,5,5,5,5,2014,January,2014-01,Walgett,Walgett,-30.0167,148.1167,1,0.1905,0.3146,['Lower quality'],0.30078125,275.5546875,14.703125,0.017578125,0.0,7.203125,-1.26,-0.036,-0.157,-0.13,44.703125,-0.935328189,-1.379141613,-1.155117384,-1.184923955,-1.2525965760236963,-0.967149682923271,-0.6249989742522194
6,6,6,6,6,6,6,2014,March,2014-03,Coonamble,Coonamble,-30.95,148.4,1,0.288,0.4564,['Highest quality'],0.100585938,164.6171875,64.7109375,0.169921875,0.3515625,76.6015625,0.54,-0.051,-0.138,1.34,155.5078125,0.853535796,0.688976384,0.232698779,-0.953801029,-1.090833040925259,-0.9793890831545288,-1.2135167695129576
7,7,7,7,7,7,7,2014,February,2014-02,Coonamble,Coonamble,-30.95,148.4,1,0.1216,0.2116,['Lower quality'],0.090820313,196.9375,21.8125,0.073242188,0.2421875,60.703125,-0.37,-0.009,-0.147,0.36,89.8046875,0.42421406,-0.178453532,-0.739022625,-1.402345163,-1.1239950374729482,-1.1086684535924198,-1.1279910768602
8,8,8,8,8,8,8,2014,January,2014-01,Coonamble,Coonamble,-30.95,148.4,1,0.1194,0.2061,['Highest quality'],0.100585938,265.6171875,15.890625,0.030273438,0.015625,18.203125,-1.26,-0.036,-0.157,-0.13,36.1015625,-0.73957267,-1.086776232,-1.629146674,-1.805552388,-1.202852860225847,-1.182323157698956,-0.831869819692068
9,9,9,9,9,9,9,2014,March,2014-03,Warren,Warren,-31.7,147.833,1,0.3006,0.4987,['Highest quality'],0.32421875,156.2578125,74.3828125,0.184570313,0.2109375,72.0,0.54,-0.051,-0.138,1.34,149.6015625,0.656829886,0.635341919,0.354036632,-0.679261346,-0.4570475383994516,-0.110690122802209,-0.8550164196130666
10,10,10,10,10,10,10,2014,February,2014-02,Warren,Warren,-31.7,147.833,1,0.2125,0.333,['Highest quality'],0.29296875,195.71875,27.328125,0.095703125,0.5546875,59.8984375,-0.37,-0.009,-0.147,0.36,101.5,0.594069158,0.092324549,-0.389355244,-0.625589246,-0.0938985216589319,-0.2931883649582441,-0.6853707606541359
11,11,11,11,11,11,11,2014,January,2014-01,Warren,Warren,-31.7,147.833,1,0.1982,0.3159,['Highest quality'],0.325195313,268.5,20.84375,0.068359375,0.0390625,17.703125,-1.26,-0.036,-0.157,-0.13,41.6015625,-0.721646423,-0.785221565,-1.310776065,-0.951532306,-0.1884749646890915,-0.5719667180899687,-0.5651960242054465
12,12,12,12,12,12,12,2014,March,2014-03,Nyngan,Nyngan,-31.563,147.1962,1,0.2589,0.4301,['Highest quality'],0.831054688,155.9453125,73.7734375,0.224609375,0.453125,98.296875,0.54,-0.051,-0.138,1.34,155.09375,1.206617052,0.85140561,0.549787411,-0.440144993,-0.4519291975008883,-0.0934561302969857,-1.0077919080581639
13,13,13,13,13,13,13,2014,February,2014-02,Nyngan,Nyngan,-31.563,147.1962,1,0.1833,0.315,['Lower quality'],0.75,193.6796875,25.609375,0.064453125,0.03125,37.5,-0.37,-0.009,-0.147,0.36,86.6953125,0.20581014,-0.302894329,-0.456839515,-1.13444426,-0.4462580043619804,-0.4117087838577581,-1.060741768472927
14,14,14,14,14,14,14,2014,January,2014-01,Nyngan,Nyngan,-31.563,147.1962,1,0.1692,0.2798,['Highest quality'],0.8359375,269.8984375,25.453125,0.086914063,0.015625,19.296875,-1.26,-0.036,-0.157,-0.13,52.9921875,-0.567768077,-0.557684738,-1.265314997,-1.466918303,-0.3773858861864772,-0.5720132821981149,-0.5364274424013721
15,15,15,15,15,15,15,2014,March,2014-03,Gilgandra,Gilgandra,-31.7,148.6667,1,0.3624,0.5546,['Highest quality'],1.362304688,148.125,78.234375,0.252929688,0.1796875,76.6015625,0.54,-0.051,-0.138,1.34,182.1015625,0.709106866,1.049523471,0.58317372,-0.723002633,-0.756447925345504,-0.5099186824164285,-0.9912560421459059
16,16,16,16,16,16,16,2014,February,2014-02,Gilgandra,Gilgandra,-31.7,148.6667,1,0.3872,0.5521,['Lower quality'],1.213867188,188.0625,22.9375,0.122070313,0.6484375,92.6015625,-0.37,-0.009,-0.147,0.36,124.6015625,1.094070543,0.381029328,-0.325116787,-0.879620534,-0.551760540964081,-0.6175880895666377,-0.8693370826960061
17,17,17,17,17,17,17,2014,January,2014-01,Gilgandra,Gilgandra,-31.7,148.6667,1,0.2052,0.323,['Highest quality'],1.360351563,259.875,19.0390625,0.037109375,0.0,12.8984375,-1.26,-0.036,-0.157,-0.13,41.203125,-1.279973025,-1.256667662,-1.622841956,-1.576062822,-0.8698387219440108,-1.0248807564343356,-0.8566146690780765
18,18,18,18,18,18,18,2014,March,2014-03,Narrabri,Narrabri,-30.3167,149.7667,1,0.2548,0.3915,['Highest quality'],0.477539063,166.1953125,32.78125,0.184570313,1.59375,173.703125,0.54,-0.051,-0.138,1.34,209.6015625,1.748321415,1.172997071,0.289753216,-0.551860378,-0.868391715790427,-0.7762143843225814,-0.39661718631000015
19,19,19,19,19,19,19,2014,February,2014-02,Narrabri,Narrabri,-30.3167,149.7667,1,0.2397,0.3631,['Lower quality'],0.43359375,199.171875,13.0546875,0.030273438,0.015625,28.8984375,-0.37,-0.009,-0.147,0.36,50.8984375,-0.786128094,-1.614223422,-2.231476888,-1.563658671,-1.4371530411110818,-1.095343565613046,-1.0381832150332269
20,20,20,20,20,20,20,2014,January,2014-01,Narrabri,Narrabri,-30.3167,149.7667,1,0.2649,0.3835,['Highest quality'],0.482421875,270.03125,14.1796875,0.014648438,0.0,7.0,-1.26,-0.036,-0.157,-0.13,109.796875,-1.773912711,-2.514189859,-1.197428628,-1.518238729,-1.1209029123705545,-1.0367680311873408,-0.3707518529027276
21,21,21,21,21,21,21,2014,March,2014-03,Tamworth,Tamworth,-31.083,150.917,1,0.5145,0.7508,['Highest quality'],0.928710938,147.953125,45.6171875,0.15625,0.0703125,96.1015625,0.54,-0.051,-0.138,1.34,134.3046875,0.818761942,0.080507388,-0.856573912,-1.108186178,-1.3004247515550835,-1.0798155168544472,-0.7743946530353356
22,22,22,22,22,22,22,2014,February,2014-02,Tamworth,Tamworth,-31.083,150.917,1,0.2087,0.3007,['Highest quality'],0.844726563,182.15625,14.515625,0.05078125,0.03125,36.5,-0.37,-0.009,-0.147,0.36,82.3046875,-0.479659074,-1.739196272,-2.056882453,-1.634500374,-1.2598294621719468,-1.1388416202723624,-1.1243897833180951
