,Location,Year_Month,Deep_Drainage,E_Actual,PET_Actual,Qtot,Rainfall,Soil_M_root_zone,P_acc_3M,ENSO,IOD,SAMI,Probability_of_Drought
0,Cobar,2000-01,2.4169921875,85.4453125,239.03125,0.2578125,5.1015625,0.2734375,15.3046875,-1.77,-0.06,3.59,0.3
1,Cobar,2000-02,2.24609375,46.8046875,184.265625,1.5078125,124.703125,0.2421875,134.90625,-1.55,0.071,2.32,0.1
2,Cobar,2000-03,2.9306640625,78.59375,140.6171875,0.9453125,64.6015625,0.396484375,194.40625,-0.98,0.24,0.74,0.0
3,Cobar,2000-04,3.3564453125,60.0234375,97.171875,0.78125,76.203125,0.333984375,265.5078125,-0.87,0.217,0.97,0.0
4,Cobar,2000-05,4.3642578125,43.3359375,67.8984375,1.46875,90.5,0.4169921875,231.3046875,-0.86,0.192,1.9,0.1
5,Cobar,2000-06,4.8779296875,33.0703125,51.5078125,0.2265625,16.203125,0.244140625,182.90625,-0.79,0.091,-0.31,0.05
6,Cobar,2000-07,5.1806640625,37.3125,60.65625,0.4453125,18.796875,0.1669921875,125.5,-0.67,0.174,0.52,0.0
7,Cobar,2000-08,5.13671875,30.2421875,79.40625,0.7109375,37.796875,0.1328125,72.796875,-0.49,0.243,-1.22,0.2
8,Cobar,2000-09,4.8349609375,29.640625,136.2734375,0.2578125,5.703125,0.1103515625,62.296875,-0.52,0.01,-3.2,0.55
9,Cobar,2000-10,4.59375,26.4140625,150.0546875,1.1171875,55.0,0.1357421875,98.5,-0.7,0.017,1.21,0.25
10,Cobar,2000-11,4.3701171875,76.859375,178.1015625,3.109375,141.296875,0.3173828125,202.0,-0.79,-0.183,-1.32,0.0
11,Cobar,2000-12,4.8232421875,91.328125,248.6171875,0.40625,11.203125,0.236328125,207.5,-0.92,-0.178,-2.05,0.2
12,Cobar,2001-01,4.29296875,37.7421875,262.1328125,0.171875,4.8984375,0.080078125,157.3984375,-0.73,-0.366,1.43,0.2
13,Cobar,2001-02,3.5029296875,51.9296875,196.7890625,2.3984375,84.703125,0.2197265625,100.8046875,-0.63,0.063,-2.7,0.15
14,Cobar,2001-03,3.716796875,61.3125,176.421875,1.078125,48.0,0.1943359375,137.6015625,-0.48,0.09,-0.57,0.05
15,Cobar,2001-04,3.46484375,32.0078125,118.875,0.109375,0.8984375,0.1015625,133.6015625,-0.49,0.212,3.49,0.0
16,Cobar,2001-05,3.4267578125,24.828125,75.8203125,0.6875,32.296875,0.1279296875,81.1953125,-0.34,0.217,-1.75,0.3
17,Cobar,2001-06,3.30859375,24.609375,52.375,1.46875,66.703125,0.2265625,99.8984375,-0.19,0.241,-0.02,0.25
18,Cobar,2001-07,3.5576171875,34.546875,57.8828125,0.5078125,20.0,0.1982421875,119.0,-0.04,-0.043,0.2,0.45
19,Cobar,2001-08,3.5078125,27.078125,90.484375,0.25,6.296875,0.1015625,93.0,-0.05,-0.189,-0.15,0.35
20,Cobar,2001-09,3.232421875,22.6484375,127.9453125,0.28125,7.6015625,0.07421875,33.8984375,-0.2,-0.117,1.46,0.25
21,Cobar,2001-10,3.10546875,28.0703125,160.828125,0.7265625,29.796875,0.09375,43.6953125,-0.14,-0.291,1.36,0.3
22,Cobar,2001-11,2.80078125,42.4921875,202.3515625,0.5390625,20.796875,0.1044921875,58.1953125,-0.37,-0.122,2.54,0.2
23,Cobar,2001-12,2.6826171875,44.5625,236.7890625,0.4765625,19.796875,0.0654296875,70.390625,-0.41,0.019,1.16,0.35
24,Cobar,2002-01,2.5244140625,21.2734375,256.625,0.1171875,2.1015625,0.013671875,42.6953125,-0.15,-0.077,2.22,0.45
25,Cobar,2002-02,2.2421875,29.1640625,162.9609375,1.859375,123.3984375,0.17578125,145.296875,-0.04,-0.018,2.8,0.45
26,Cobar,2002-03,2.69921875,75.4609375,182.2578125,0.296875,3.3984375,0.189453125,128.8984375,0.01,0.108,-4.42,0.45
27,Cobar,2002-04,2.5673828125,29.4453125,119.9609375,0.4140625,24.296875,0.0625,151.09375,0.02,-0.277,1.6,0.4
