Year,Month,Year_Month,Geographic Location,Location,Latitude,Longitude,Drought / No Drought
2014,March,2014-03,Cobar,Cobar,-31.498,145.8383,1
2014,February,2014-02,Cobar,Cobar,-31.498,145.8383,1
2014,January,2014-01,Cobar,Cobar,-31.498,145.8383,1
2014,March,2014-03,Walgett,Walgett,-30.0167,148.1167,1
2014,February,2014-02,Walgett,Walgett,-30.0167,148.1167,1
2014,January,2014-01,Walgett,Walgett,-30.0167,148.1167,1
2014,March,2014-03,Coonamble,Coonamble,-30.95,148.4,1
2014,February,2014-02,Coonamble,Coonamble,-30.95,148.4,1
2014,January,2014-01,Coonamble,Coonamble,-30.95,148.4,1
2014,March,2014-03,Warren,Warren,-31.7,147.833,1
2014,February,2014-02,Warren,Warren,-31.7,147.833,1
2014,January,2014-01,Warren,Warren,-31.7,147.833,1
2014,March,2014-03,Nyngan,Nyngan,-31.563,147.1962,1
2014,February,2014-02,Nyngan,Nyngan,-31.563,147.1962,1
2014,January,2014-01,Nyngan,Nyngan,-31.563,147.1962,1
2014,March,2014-03,Gilgandra,Gilgandra,-31.7,148.6667,1
2014,February,2014-02,Gilgandra,Gilgandra,-31.7,148.6667,1
2014,January,2014-01,Gilgandra,Gilgandra,-31.7,148.6667,1
2014,March,2014-03,Narrabri,Narrabri,-30.3167,149.7667,1
2014,February,2014-02,Narrabri,Narrabri,-30.3167,149.7667,1
2014,January,2014-01,Narrabri,Narrabri,-30.3167,149.7667,1
2014,March,2014-03,Tamworth,Tamworth,-31.083,150.917,1
2014,February,2014-02,Tamworth,Tamworth,-31.083,150.917,1
2014,January,2014-01,Tamworth,Tamworth,-31.083,150.917,1
2014,March,2014-03,Coonabarabran,Coonabarabran,-31.25,149.2667,1
2014,February,2014-02,Coonabarabran,Coonabarabran,-31.25,149.2667,1
2014,January,2014-01,Coonabarabran,Coonabarabran,-31.25,149.2667,1
2014,April,2014-04,Walgett,Walgett,-30.0167,148.1167,1
2014,April,2014-04,Coonamble,Coonamble,-30.95,148.4,1
2014,April,2014-04,Narrabri,Narrabri,-30.3167,149.7667,1
2014,March,2014-03,Mittagong,Mittagong,-34.4508,150.4464,0
2014,April,2014-04,Mittagong,Mittagong,-34.4508,150.4464,0
2014,March,2014-03,Bowral,Bowral,-34.4792,150.4181,0
2014,April,2014-04,Bowral,Bowral,-34.4792,150.4181,0
2014,March,2014-03,Bundanoon,Bundanoon,-34.65,150.3,0
2014,April,2014-04,Bundanoon,Bundanoon,-34.65,150.3,0
2014,March,2014-03,Robertson,Robertson,-34.5833,150.5833,0
2014,April,2014-04,Robertson,Robertson,-34.5833,150.5833,0
2014,March,2014-03,Moss Vale,Moss Vale,-34.55,150.3833,0
2014,April,2014-04,Moss Vale,Moss Vale,-34.55,150.3833,0
2014,May,2014-05,Walgett,Walgett,-30.0167,148.1167,1
2014,May,2014-05,Coonabarabran,Coonabarabran,-31.25,149.2667,1
2014,May,2014-05,Coonamble,Coonamble,-30.95,148.4,1
2014,May,2014-05,Pilliga,Pilliga,-30.3518,148.8847,1
2014,June,2014-06,Pilliga,Pilliga,-30.3518,148.8847,1
2014,June,2014-06,Tamworth,Tamworth,-31.083,150.917,1
2014,June,2014-06,Cobargo,Cobargo,-36.3667,149.9,1
2014,June,2014-06,Bega,Bega,-36.6742,149.8429,1
2014,June,2014-06,Walgett,Walgett,-30.0167,148.1167,1
2018,October,2018-10,Wentworth,Wentworth,-34.1065,141.9221,0
2018,November,2018-11,Wentworth,Wentworth,-34.1065,141.9221,0
2018,December,2018-12,Wentworth,Wentworth,-34.1065,141.9221,0
2019,January,2019-01,Wentworth,Wentworth,-34.1065,141.9221,0
2020,October,2020-10,Wentworth,Wentworth,-34.1065,141.9221,0
2020,November,2020-11,Wentworth,Wentworth,-34.1065,141.9221,0
2020,December,2020-12,Wentworth,Wentworth,-34.1065,141.9221,0
2021,January,2021-01,Wentworth,Wentworth,-34.1065,141.9221,0
2021,February,2021-02,Wentworth,Wentworth,-34.1065,141.9221,0
2021,March,2021-03,Wentworth,Wentworth,-34.1065,141.9221,0
2021,April,2021-04,Wentworth,Wentworth,-34.1065,141.9221,0
2018,October,2018-10,Finley,Finley,-35.6375,145.5787,0
2018,November,2018-11,Finley,Finley,-35.6375,145.5787,0
2018,December,2018-12,Finley,Finley,-35.6375,145.5787,0
2019,January,2019-01,Finley,Finley,-35.6375,145.5787,0
