,Rainfall
2000-01-31,35.3984375
2000-02-29,26.6015625
2000-03-31,133.6015625
2000-04-30,16.6015625
2000-05-31,40.796875
2000-06-30,9.1015625
2000-07-31,34.3984375
2000-08-31,19.203125
2000-09-30,10.796875
2000-10-31,100.3984375
2000-11-30,236.203125
2000-12-31,115.796875
2001-01-31,68.3984375
2001-02-28,118.703125
2001-03-31,138.296875
2001-04-30,48.296875
2001-05-31,36.5
2001-06-30,23.703125
2001-07-31,69.0
2001-08-31,22.203125
2001-09-30,28.1015625
2001-10-31,49.796875
2001-11-30,171.296875
2001-12-31,35.3984375
2002-01-31,22.5
2002-02-28,25.703125
2002-03-31,100.796875
2002-04-30,3.796875
2002-05-31,6.796875
2002-06-30,8.6015625
2002-07-31,1.796875
2002-08-31,45.3984375
2002-09-30,18.203125
2002-10-31,21.5
2002-11-30,73.6015625
2002-12-31,93.1015625
2003-01-31,35.6015625
2003-02-28,135.3984375
2003-03-31,71.203125
2003-04-30,69.203125
2003-05-31,3.6015625
2003-06-30,38.0
2003-07-31,23.296875
2003-08-31,23.5
2003-09-30,2.796875
2003-10-31,122.8984375
2003-11-30,53.5
2003-12-31,128.203125
2004-01-31,223.8984375
2004-02-29,29.6015625
2004-03-31,50.8984375
2004-04-30,38.703125
2004-05-31,23.203125
2004-06-30,10.0
2004-07-31,29.296875
2004-08-31,27.296875
2004-09-30,74.6015625
2004-10-31,47.5
2004-11-30,71.0
2004-12-31,205.1015625
2005-01-31,26.1015625
2005-02-28,28.296875
2005-03-31,25.203125
2005-04-30,0.796875
2005-05-31,16.1015625
2005-06-30,119.3984375
2005-07-31,24.3984375
2005-08-31,13.703125
2005-09-30,47.3984375
2005-10-31,56.6015625
2005-11-30,113.703125
2005-12-31,100.6015625
2006-01-31,93.1015625
2006-02-28,115.6015625
2006-03-31,35.3984375
2006-04-30,30.8984375
2006-05-31,7.3984375
2006-06-30,45.3984375
2006-07-31,46.5
2006-08-31,19.296875
2006-09-30,29.3984375
2006-10-31,15.6015625
2006-11-30,102.6015625
2006-12-31,21.796875
2007-01-31,23.6015625
2007-02-28,78.6015625
2007-03-31,35.296875
2007-04-30,62.8984375
2007-05-31,31.0
2007-06-30,73.8984375
2007-07-31,5.5
2007-08-31,67.0
2007-09-30,2.1015625
2007-10-31,53.0
2007-11-30,67.203125
2007-12-31,81.6015625
2008-01-31,86.6015625
2008-02-29,86.296875
2008-03-31,1.0
2008-04-30,4.5
2008-05-31,6.6015625
2008-06-30,54.703125
2008-07-31,35.6015625
2008-08-31,13.703125
2008-09-30,65.6015625
2008-10-31,18.296875
2008-11-30,164.1015625
2008-12-31,105.8984375
2009-01-31,31.5
2009-02-28,138.6015625
2009-03-31,16.296875
2009-04-30,35.5
2009-05-31,46.796875
2009-06-30,27.5
2009-07-31,16.6015625
2009-08-31,5.8984375
2009-09-30,39.5
2009-10-31,31.8984375
2009-11-30,33.203125
2009-12-31,204.1015625
2010-01-31,52.8984375
2010-02-28,37.8984375
2010-03-31,62.0
2010-04-30,3.1015625
2010-05-31,67.3984375
2010-06-30,43.5
2010-07-31,90.0
2010-08-31,78.296875
2010-09-30,125.796875
2010-10-31,80.3984375
2010-11-30,75.8984375
2010-12-31,103.703125
2011-01-31,124.703125
2011-02-28,48.3984375
2011-03-31,96.6015625
2011-04-30,76.6015625
2011-05-31,54.8984375
2011-06-30,43.8984375
2011-07-31,6.5
2011-08-31,53.5
2011-09-30,59.8984375
2011-10-31,94.703125
2011-11-30,104.0
2011-12-31,102.0
2012-01-31,80.203125
2012-02-29,74.203125
2012-03-31,18.6015625
2012-04-30,57.6015625
2012-05-31,40.1015625
2012-06-30,19.203125
2012-07-31,56.3984375
2012-08-31,4.203125
2012-09-30,28.703125
2012-10-31,23.3984375
2012-11-30,52.5
2012-12-31,125.3984375
2013-01-31,156.8984375
2013-02-28,57.8984375
2013-03-31,77.3984375
2013-04-30,39.296875
2013-05-31,16.6015625
2013-06-30,80.1015625
2013-07-31,22.296875
2013-08-31,7.3984375
2013-09-30,26.203125
2013-10-31,38.3984375
2013-11-30,66.3984375
2013-12-31,15.3984375
2014-01-31,21.3984375
2014-02-28,35.0
2014-03-31,167.8984375
2014-04-30,10.0
2014-05-31,16.296875
2014-06-30,37.6015625
2014-07-31,16.203125
2014-08-31,47.5
2014-09-30,19.796875
2014-10-31,10.3984375
2014-11-30,31.3984375
2014-12-31,142.1015625
2015-01-31,151.5
2015-02-28,72.703125
2015-03-31,78.1015625
2015-04-30,110.3984375
2015-05-31,61.203125
2015-06-30,33.3984375
2015-07-31,48.8984375
2015-08-31,43.796875
2015-09-30,16.296875
2015-10-31,46.5
2015-11-30,84.296875
2015-12-31,123.0
2016-01-31,133.0
2016-02-29,17.796875
2016-03-31,24.6015625
2016-04-30,27.3984375
2016-05-31,28.203125
2016-06-30,89.203125
2016-07-31,31.1015625
2016-08-31,79.296875
2016-09-30,134.3984375
2016-10-31,72.203125
2016-11-30,30.703125
2016-12-31,85.1015625
2017-01-31,106.796875
2017-02-28,48.203125
2017-03-31,208.296875
2017-04-30,54.0
2017-05-31,30.703125
2017-06-30,30.8984375
2017-07-31,14.0
2017-08-31,8.1015625
2017-09-30,1.5
2017-10-31,110.1015625
2017-11-30,49.296875
2017-12-31,66.203125
2018-01-31,35.796875
2018-02-28,56.8984375
2018-03-31,43.796875
2018-04-30,24.1015625
2018-05-31,0.8984375
2018-06-30,3.0
2018-07-31,32.0
2018-08-31,38.1015625
2018-09-30,22.796875
2018-10-31,31.796875
2018-11-30,55.0
2018-12-31,43.5
2019-01-31,29.296875
2019-02-28,5.796875
2019-03-31,77.6015625
2019-04-30,0.6015625
2019-05-31,10.5
2019-06-30,10.296875
2019-07-31,6.296875
2019-08-31,5.703125
2019-09-30,0.1015625
2019-10-31,25.296875
2019-11-30,12.3984375
2019-12-31,18.796875
2020-01-31,70.6015625
2020-02-29,127.1015625
2020-03-31,64.0
2020-04-30,49.0
2020-05-31,53.6015625
2020-06-30,24.5
2020-07-31,26.703125
2020-08-31,32.703125
2020-09-30,14.296875
2020-10-31,71.8984375
2020-11-30,14.8984375
2020-12-31,133.5
2021-01-31,100.203125
2021-02-28,79.6015625
2021-03-31,235.1015625
2021-04-30,34.296875
2021-05-31,42.1015625
2021-06-30,80.0
2021-07-31,92.3984375
2021-08-31,58.3984375
2021-09-30,53.0
2021-10-31,54.3984375
2021-11-30,183.203125
2021-12-31,118.3984375
2022-01-31,79.5
2022-02-28,70.796875
2022-03-31,138.296875
