,Rainfall
2000-01-31,52.0
2000-02-29,11.1015625
2000-03-31,135.1015625
2000-04-30,51.8984375
2000-05-31,43.703125
2000-06-30,34.296875
2000-07-31,33.703125
2000-08-31,52.0
2000-09-30,38.8984375
2000-10-31,81.296875
2000-11-30,115.703125
2000-12-31,19.703125
2001-01-31,50.203125
2001-02-28,33.6015625
2001-03-31,51.203125
2001-04-30,71.296875
2001-05-31,15.3984375
2001-06-30,20.703125
2001-07-31,51.703125
2001-08-31,23.203125
2001-09-30,44.296875
2001-10-31,62.296875
2001-11-30,49.1015625
2001-12-31,24.0
2002-01-31,71.0
2002-02-28,125.1015625
2002-03-31,39.0
2002-04-30,30.796875
2002-05-31,24.6015625
2002-06-30,21.203125
2002-07-31,11.296875
2002-08-31,6.3984375
2002-09-30,35.3984375
2002-10-31,0.796875
2002-11-30,22.203125
2002-12-31,42.796875
2003-01-31,21.8984375
2003-02-28,124.296875
2003-03-31,34.5
2003-04-30,32.8984375
2003-05-31,9.796875
2003-06-30,35.5
2003-07-31,39.203125
2003-08-31,64.8984375
2003-09-30,17.3984375
2003-10-31,64.3984375
2003-11-30,81.203125
2003-12-31,47.0
2004-01-31,22.3984375
2004-02-29,51.0
2004-03-31,15.8984375
2004-04-30,5.0
2004-05-31,42.296875
2004-06-30,31.796875
2004-07-31,35.5
2004-08-31,31.3984375
2004-09-30,31.796875
2004-10-31,48.3984375
2004-11-30,93.0
2004-12-31,110.203125
2005-01-31,70.203125
2005-02-28,90.5
2005-03-31,15.296875
2005-04-30,6.5
2005-05-31,2.1015625
2005-06-30,61.796875
2005-07-31,56.296875
2005-08-31,18.5
2005-09-30,72.5
2005-10-31,77.703125
2005-11-30,152.296875
2005-12-31,41.203125
2006-01-31,127.0
2006-02-28,36.0
2006-03-31,4.8984375
2006-04-30,7.1015625
2006-05-31,5.6015625
2006-06-30,29.703125
2006-07-31,57.0
2006-08-31,3.703125
2006-09-30,17.3984375
2006-10-31,6.3984375
2006-11-30,38.0
2006-12-31,40.6015625
2007-01-31,53.5
2007-02-28,92.5
2007-03-31,30.296875
2007-04-30,22.1015625
2007-05-31,59.703125
2007-06-30,45.796875
2007-07-31,23.1015625
2007-08-31,15.5
2007-09-30,3.1015625
2007-10-31,37.5
2007-11-30,151.8984375
2007-12-31,76.0
2008-01-31,62.6015625
2008-02-29,82.1015625
2008-03-31,36.3984375
2008-04-30,12.703125
2008-05-31,10.796875
2008-06-30,29.296875
2008-07-31,41.296875
2008-08-31,32.1015625
2008-09-30,71.296875
2008-10-31,48.6015625
2008-11-30,113.6015625
2008-12-31,133.703125
2009-01-31,22.796875
2009-02-28,75.3984375
2009-03-31,19.1015625
2009-04-30,51.0
2009-05-31,5.8984375
2009-06-30,44.0
2009-07-31,39.203125
2009-08-31,23.1015625
2009-09-30,59.0
2009-10-31,30.296875
2009-11-30,14.6015625
2009-12-31,92.703125
2010-01-31,50.5
2010-02-28,126.8984375
2010-03-31,114.0
2010-04-30,74.5
2010-05-31,45.8984375
2010-06-30,22.5
2010-07-31,86.5
2010-08-31,79.703125
2010-09-30,56.703125
2010-10-31,59.1015625
2010-11-30,105.6015625
2010-12-31,205.203125
2011-01-31,36.796875
2011-02-28,52.8984375
2011-03-31,112.796875
2011-04-30,21.6015625
2011-05-31,45.1015625
2011-06-30,13.1015625
2011-07-31,20.796875
2011-08-31,46.3984375
2011-09-30,85.203125
2011-10-31,35.703125
2011-11-30,136.3984375
2011-12-31,100.8984375
2012-01-31,87.703125
2012-02-29,135.5
2012-03-31,156.203125
2012-04-30,14.8984375
2012-05-31,39.296875
2012-06-30,49.0
2012-07-31,44.296875
2012-08-31,23.296875
2012-09-30,37.796875
2012-10-31,7.796875
2012-11-30,26.3984375
2012-12-31,52.6015625
2013-01-31,89.296875
2013-02-28,51.296875
2013-03-31,107.6015625
2013-04-30,17.3984375
2013-05-31,28.0
2013-06-30,73.703125
2013-07-31,31.3984375
2013-08-31,21.5
2013-09-30,42.3984375
2013-10-31,14.1015625
2013-11-30,31.1015625
2013-12-31,43.0
2014-01-31,12.5
2014-02-28,74.203125
2014-03-31,107.703125
2014-04-30,52.796875
2014-05-31,20.703125
2014-06-30,43.296875
2014-07-31,39.296875
2014-08-31,25.5
2014-09-30,29.0
2014-10-31,39.796875
2014-11-30,29.1015625
2014-12-31,95.0
2015-01-31,74.8984375
2015-02-28,46.8984375
2015-03-31,17.0
2015-04-30,117.6015625
2015-05-31,24.3984375
2015-06-30,28.296875
2015-07-31,55.1015625
2015-08-31,44.6015625
2015-09-30,10.796875
2015-10-31,32.5
2015-11-30,66.3984375
2015-12-31,65.5
2016-01-31,103.3984375
2016-02-29,8.796875
2016-03-31,41.5
2016-04-30,19.3984375
2016-05-31,37.1015625
2016-06-30,94.1015625
2016-07-31,95.8984375
2016-08-31,72.703125
2016-09-30,130.296875
2016-10-31,43.6015625
2016-11-30,47.3984375
2016-12-31,49.0
2017-01-31,25.796875
2017-02-28,9.8984375
2017-03-31,95.6015625
2017-04-30,25.796875
2017-05-31,23.0
2017-06-30,2.0
2017-07-31,5.8984375
2017-08-31,31.703125
2017-09-30,15.3984375
2017-10-31,51.203125
2017-11-30,89.0
2017-12-31,71.5
2018-01-31,48.296875
2018-02-28,37.3984375
2018-03-31,48.0
2018-04-30,23.3984375
2018-05-31,15.296875
2018-06-30,29.1015625
2018-07-31,4.796875
2018-08-31,36.0
2018-09-30,45.1015625
2018-10-31,49.8984375
2018-11-30,104.0
2018-12-31,59.796875
2019-01-31,132.296875
2019-02-28,70.6015625
2019-03-31,88.703125
2019-04-30,4.3984375
2019-05-31,33.5
2019-06-30,20.296875
2019-07-31,8.5
2019-08-31,17.0
2019-09-30,52.6015625
2019-10-31,17.796875
2019-11-30,21.1015625
2019-12-31,7.1015625
2020-01-31,61.1015625
2020-02-29,72.6015625
2020-03-31,131.1015625
2020-04-30,100.796875
2020-05-31,49.1015625
2020-06-30,33.3984375
2020-07-31,60.0
2020-08-31,52.1015625
2020-09-30,69.296875
2020-10-31,63.203125
2020-11-30,52.1015625
2020-12-31,70.3984375
2021-01-31,45.796875
2021-02-28,96.8984375
2021-03-31,152.296875
2021-04-30,3.5
2021-05-31,26.3984375
2021-06-30,74.703125
2021-07-31,70.296875
2021-08-31,68.8984375
2021-09-30,50.1015625
2021-10-31,59.203125
2021-11-30,234.3984375
2021-12-31,69.3984375
2022-01-31,140.5
2022-02-28,45.3984375
2022-03-31,88.3984375
