,Rainfall
2000-01-31,26.203125
2000-02-29,46.8984375
2000-03-31,231.6015625
2000-04-30,28.0
2000-05-31,27.6015625
2000-06-30,29.3984375
2000-07-31,13.1015625
2000-08-31,32.6015625
2000-09-30,96.5
2000-10-31,35.6015625
2000-11-30,135.3984375
2000-12-31,10.6015625
2001-01-31,43.0
2001-02-28,134.203125
2001-03-31,57.1015625
2001-04-30,89.6015625
2001-05-31,20.0
2001-06-30,12.6015625
2001-07-31,227.296875
2001-08-31,55.703125
2001-09-30,54.703125
2001-10-31,43.203125
2001-11-30,83.6015625
2001-12-31,41.296875
2002-01-31,67.1015625
2002-02-28,189.703125
2002-03-31,34.703125
2002-04-30,106.5
2002-05-31,20.1015625
2002-06-30,10.203125
2002-07-31,3.203125
2002-08-31,6.796875
2002-09-30,18.296875
2002-10-31,13.703125
2002-11-30,26.796875
2002-12-31,3.796875
2003-01-31,16.296875
2003-02-28,128.3984375
2003-03-31,122.6015625
2003-04-30,95.703125
2003-05-31,116.0
2003-06-30,10.3984375
2003-07-31,29.3984375
2003-08-31,24.1015625
2003-09-30,18.3984375
2003-10-31,58.6015625
2003-11-30,90.796875
2003-12-31,78.8984375
2004-01-31,107.796875
2004-02-29,38.6015625
2004-03-31,2.796875
2004-04-30,63.296875
2004-05-31,10.703125
2004-06-30,0.6015625
2004-07-31,20.6015625
2004-08-31,14.296875
2004-09-30,80.203125
2004-10-31,106.6015625
2004-11-30,64.6015625
2004-12-31,172.8984375
2005-01-31,70.1015625
2005-02-28,61.203125
2005-03-31,58.8984375
2005-04-30,17.8984375
2005-05-31,17.1015625
2005-06-30,39.703125
2005-07-31,196.8984375
2005-08-31,8.6015625
2005-09-30,71.703125
2005-10-31,106.296875
2005-11-30,94.8984375
2005-12-31,32.1015625
2006-01-31,52.703125
2006-02-28,16.703125
2006-03-31,21.6015625
2006-04-30,15.203125
2006-05-31,123.8984375
2006-06-30,73.0
2006-07-31,96.6015625
2006-08-31,25.1015625
2006-09-30,37.1015625
2006-10-31,7.3984375
2006-11-30,44.703125
2006-12-31,33.703125
2007-01-31,23.0
2007-02-28,301.296875
2007-03-31,67.296875
2007-04-30,28.3984375
2007-05-31,19.3984375
2007-06-30,242.5
2007-07-31,34.1015625
2007-08-31,24.296875
2007-09-30,16.703125
2007-10-31,23.203125
2007-11-30,98.1015625
2007-12-31,57.703125
2008-01-31,93.296875
2008-02-29,183.8984375
2008-03-31,32.6015625
2008-04-30,26.1015625
2008-05-31,7.6015625
2008-06-30,47.5
