,Rainfall
2000-01-31,25.5
2000-02-29,48.703125
2000-03-31,230.203125
2000-04-30,39.796875
2000-05-31,35.703125
2000-06-30,25.296875
2000-07-31,12.8984375
2000-08-31,23.6015625
2000-09-30,69.703125
2000-10-31,50.0
2000-11-30,157.5
2000-12-31,16.796875
2001-01-31,57.296875
2001-02-28,143.0
2001-03-31,63.703125
2001-04-30,75.703125
2001-05-31,24.203125
2001-06-30,11.3984375
2001-07-31,195.5
2001-08-31,63.3984375
2001-09-30,35.0
2001-10-31,46.203125
2001-11-30,75.1015625
2001-12-31,48.6015625
2002-01-31,44.703125
2002-02-28,178.8984375
2002-03-31,37.8984375
2002-04-30,89.1015625
2002-05-31,17.6015625
2002-06-30,11.6015625
2002-07-31,5.703125
2002-08-31,6.3984375
2002-09-30,15.3984375
2002-10-31,16.796875
2002-11-30,24.296875
2002-12-31,11.703125
2003-01-31,11.3984375
2003-02-28,130.0
2003-03-31,112.5
2003-04-30,49.296875
2003-05-31,56.203125
2003-06-30,8.296875
2003-07-31,14.203125
2003-08-31,25.0
2003-09-30,15.796875
2003-10-31,52.6015625
2003-11-30,86.796875
2003-12-31,78.6015625
2004-01-31,64.6015625
2004-02-29,37.296875
2004-03-31,3.5
2004-04-30,44.3984375
2004-05-31,12.796875
2004-06-30,1.3984375
2004-07-31,17.6015625
2004-08-31,10.8984375
2004-09-30,63.8984375
2004-10-31,108.8984375
2004-11-30,57.203125
2004-12-31,162.0
2005-01-31,60.203125
2005-02-28,80.0
2005-03-31,69.8984375
2005-04-30,22.0
2005-05-31,13.203125
2005-06-30,24.6015625
2005-07-31,160.1015625
2005-08-31,15.1015625
2005-09-30,49.5
2005-10-31,104.1015625
2005-11-30,113.3984375
2005-12-31,31.5
2006-01-31,57.3984375
2006-02-28,31.0
2006-03-31,24.1015625
2006-04-30,20.6015625
2006-05-31,73.203125
2006-06-30,49.296875
2006-07-31,94.1015625
2006-08-31,23.6015625
2006-09-30,23.796875
2006-10-31,9.5
2006-11-30,41.203125
2006-12-31,25.296875
2007-01-31,27.203125
2007-02-28,242.0
2007-03-31,93.1015625
2007-04-30,23.203125
2007-05-31,12.3984375
2007-06-30,190.5
2007-07-31,40.796875
2007-08-31,19.6015625
2007-09-30,15.703125
2007-10-31,21.8984375
2007-11-30,111.1015625
2007-12-31,67.703125
2008-01-31,67.703125
2008-02-29,109.5
2008-03-31,38.5
2008-04-30,27.1015625
2008-05-31,10.0
2008-06-30,32.5
2008-07-31,13.0
2008-08-31,37.5
2008-09-30,12.5
2008-10-31,16.3984375
2008-11-30,66.1015625
2008-12-31,50.796875
2009-01-31,23.3984375
2009-02-28,41.703125
2009-03-31,22.0
2009-04-30,69.796875
2009-05-31,23.6015625
2009-06-30,40.796875
2009-07-31,6.203125
2009-08-31,11.5
2009-09-30,32.3984375
2009-10-31,76.8984375
2009-11-30,31.6015625
2009-12-31,29.5
2010-01-31,37.203125
2010-02-28,308.5
2010-03-31,61.0
2010-04-30,6.3984375
2010-05-31,256.5
2010-06-30,7.1015625
2010-07-31,13.703125
2010-08-31,10.5
2010-09-30,19.8984375
2010-10-31,67.8984375
2010-11-30,89.8984375
2010-12-31,173.6015625
2011-01-31,59.8984375
2011-02-28,117.0
2011-03-31,357.5
2011-04-30,18.203125
2011-05-31,22.796875
2011-06-30,56.6015625
2011-07-31,60.8984375
2011-08-31,52.1015625
2011-09-30,13.296875
2011-10-31,62.703125
2011-11-30,104.203125
2011-12-31,47.0
2012-01-31,39.6015625
2012-02-29,156.203125
2012-03-31,294.8984375
2012-04-30,135.703125
2012-05-31,22.296875
2012-06-30,74.703125
2012-07-31,7.6015625
2012-08-31,18.1015625
2012-09-30,22.6015625
2012-10-31,66.796875
2012-11-30,51.0
2012-12-31,22.5
2013-01-31,67.1015625
2013-02-28,136.6015625
2013-03-31,21.8984375
2013-04-30,41.5
2013-05-31,13.203125
2013-06-30,102.5
2013-07-31,5.6015625
2013-08-31,9.5
2013-09-30,108.1015625
2013-10-31,36.1015625
2013-11-30,147.296875
2013-12-31,60.3984375
2014-01-31,17.6015625
2014-02-28,36.1015625
2014-03-31,113.6015625
2014-04-30,101.203125
2014-05-31,6.3984375
2014-06-30,72.6015625
2014-07-31,9.6015625
2014-08-31,103.0
2014-09-30,34.8984375
