,Rainfall
2000-01-31,55.1015625
2000-02-29,18.0
2000-03-31,178.0
2000-04-30,77.6015625
2000-05-31,21.703125
2000-06-30,44.5
2000-07-31,16.0
2000-08-31,45.796875
2000-09-30,99.5
2000-10-31,31.6015625
2000-11-30,167.3984375
2000-12-31,23.1015625
2001-01-31,62.1015625
2001-02-28,106.5
2001-03-31,82.796875
2001-04-30,60.3984375
2001-05-31,28.1015625
2001-06-30,27.6015625
2001-07-31,201.203125
2001-08-31,135.6015625
2001-09-30,95.8984375
2001-10-31,64.1015625
2001-11-30,80.8984375
2001-12-31,50.796875
2002-01-31,101.8984375
2002-02-28,207.8984375
2002-03-31,35.296875
2002-04-30,197.5
2002-05-31,53.0
2002-06-30,14.3984375
2002-07-31,4.203125
2002-08-31,7.5
2002-09-30,21.703125
2002-10-31,13.203125
2002-11-30,28.8984375
2002-12-31,14.296875
2003-01-31,27.796875
2003-02-28,167.296875
2003-03-31,114.703125
2003-04-30,166.5
2003-05-31,227.3984375
2003-06-30,8.8984375
2003-07-31,31.796875
2003-08-31,26.3984375
2003-09-30,18.6015625
2003-10-31,84.5
2003-11-30,100.296875
2003-12-31,61.6015625
2004-01-31,101.203125
2004-02-29,50.203125
2004-03-31,34.5
2004-04-30,61.8984375
2004-05-31,15.796875
2004-06-30,1.1015625
2004-07-31,26.5
2004-08-31,27.1015625
2004-09-30,48.203125
2004-10-31,127.8984375
2004-11-30,62.5
2004-12-31,135.703125
2005-01-31,79.5
2005-02-28,54.203125
2005-03-31,62.5
2005-04-30,31.0
2005-05-31,27.0
2005-06-30,76.296875
2005-07-31,169.6015625
2005-08-31,5.5
2005-09-30,74.796875
2005-10-31,114.296875
2005-11-30,109.296875
2005-12-31,38.296875
2006-01-31,54.5
2006-02-28,21.296875
2006-03-31,40.296875
2006-04-30,20.8984375
2006-05-31,171.203125
2006-06-30,113.6015625
2006-07-31,105.1015625
2006-08-31,38.203125
2006-09-30,48.0
2006-10-31,9.203125
2006-11-30,47.203125
2006-12-31,80.203125
2007-01-31,27.6015625
2007-02-28,243.0
2007-03-31,70.703125
2007-04-30,57.796875
2007-05-31,23.203125
2007-06-30,333.1015625
2007-07-31,26.6015625
2007-08-31,42.703125
2007-09-30,21.703125
2007-10-31,55.3984375
2007-11-30,139.296875
2007-12-31,79.0
2008-01-31,110.203125
2008-02-29,201.1015625
2008-03-31,30.0
2008-04-30,44.6015625
2008-05-31,12.8984375
2008-06-30,65.8984375
2008-07-31,15.1015625
