,Rainfall
2000-01-31,40.0
2000-02-29,16.703125
2000-03-31,132.703125
2000-04-30,62.3984375
2000-05-31,89.0
2000-06-30,71.296875
2000-07-31,55.796875
2000-08-31,117.296875
2000-09-30,64.796875
2000-10-31,107.1015625
2000-11-30,111.796875
2000-12-31,29.703125
2001-01-31,25.3984375
2001-02-28,54.0
2001-03-31,59.8984375
2001-04-30,70.796875
2001-05-31,17.8984375
2001-06-30,47.6015625
2001-07-31,58.3984375
2001-08-31,75.3984375
2001-09-30,59.6015625
2001-10-31,70.3984375
2001-11-30,47.6015625
2001-12-31,16.8984375
2002-01-31,49.8984375
2002-02-28,169.203125
2002-03-31,35.6015625
2002-04-30,27.0
2002-05-31,42.8984375
2002-06-30,30.1015625
2002-07-31,30.796875
2002-08-31,16.3984375
2002-09-30,54.0
2002-10-31,0.296875
2002-11-30,16.5
2002-12-31,36.203125
2003-01-31,32.703125
2003-02-28,108.5
2003-03-31,34.0
2003-04-30,31.296875
2003-05-31,19.703125
2003-06-30,68.8984375
2003-07-31,50.5
2003-08-31,99.1015625
2003-09-30,39.5
2003-10-31,67.6015625
2003-11-30,74.203125
2003-12-31,67.6015625
2004-01-31,50.3984375
2004-02-29,73.6015625
2004-03-31,31.8984375
2004-04-30,3.703125
2004-05-31,41.0
2004-06-30,77.3984375
2004-07-31,44.703125
2004-08-31,82.1015625
2004-09-30,56.1015625
2004-10-31,58.3984375
2004-11-30,91.703125
2004-12-31,81.6015625
2005-01-31,73.3984375
2005-02-28,57.0
2005-03-31,20.703125
2005-04-30,7.8984375
2005-05-31,4.3984375
2005-06-30,91.6015625
2005-07-31,83.703125
2005-08-31,49.5
2005-09-30,119.5
2005-10-31,80.796875
2005-11-30,128.6015625
2005-12-31,45.3984375
2006-01-31,142.0
2006-02-28,47.1015625
2006-03-31,12.3984375
2006-04-30,7.1015625
2006-05-31,10.203125
2006-06-30,27.703125
2006-07-31,64.3984375
2006-08-31,8.1015625
2006-09-30,24.6015625
2006-10-31,2.5
2006-11-30,26.203125
2006-12-31,40.0
2007-01-31,61.5
2007-02-28,90.703125
2007-03-31,39.3984375
2007-04-30,28.5
2007-05-31,75.3984375
2007-06-30,72.6015625
2007-07-31,48.1015625
2007-08-31,28.0
2007-09-30,10.3984375
2007-10-31,16.703125
2007-11-30,107.796875
2007-12-31,89.1015625
2008-01-31,46.1015625
2008-02-29,82.3984375
2008-03-31,42.0
2008-04-30,21.5
2008-05-31,18.703125
2008-06-30,40.6015625
2008-07-31,57.203125
2008-08-31,63.796875
2008-09-30,98.296875
2008-10-31,66.1015625
2008-11-30,98.203125
2008-12-31,78.703125
2009-01-31,20.3984375
2009-02-28,47.8984375
2009-03-31,36.1015625
2009-04-30,46.5
2009-05-31,13.296875
2009-06-30,64.1015625
2009-07-31,72.6015625
2009-08-31,40.203125
2009-09-30,58.703125
2009-10-31,36.703125
2009-11-30,20.3984375
2009-12-31,92.203125
2010-01-31,50.203125
2010-02-28,109.703125
2010-03-31,76.5
2010-04-30,52.5
2010-05-31,53.796875
2010-06-30,25.3984375
2010-07-31,98.3984375
2010-08-31,160.703125
2010-09-30,75.6015625
2010-10-31,75.5
2010-11-30,125.703125
2010-12-31,226.6015625
2011-01-31,26.796875
2011-02-28,74.3984375
2011-03-31,90.0
2011-04-30,33.0
2011-05-31,63.1015625
2011-06-30,24.0
2011-07-31,37.1015625
2011-08-31,67.0
2011-09-30,63.5
2011-10-31,51.203125
2011-11-30,128.203125
2011-12-31,106.1015625
2012-01-31,85.1015625
2012-02-29,156.203125
2012-03-31,183.3984375
2012-04-30,10.296875
2012-05-31,40.5
2012-06-30,60.5
2012-07-31,62.6015625
2012-08-31,42.5
2012-09-30,55.5
2012-10-31,12.203125
2012-11-30,20.203125
2012-12-31,37.5
2013-01-31,63.296875
2013-02-28,68.203125
2013-03-31,104.8984375
2013-04-30,12.296875
2013-05-31,30.6015625
2013-06-30,109.8984375
2013-07-31,46.1015625
2013-08-31,48.8984375
2013-09-30,44.1015625
2013-10-31,25.1015625
2013-11-30,49.703125
2013-12-31,42.6015625
2014-01-31,14.6015625
2014-02-28,86.3984375
2014-03-31,108.3984375
2014-04-30,49.296875
2014-05-31,43.203125
2014-06-30,74.1015625
2014-07-31,49.8984375
2014-08-31,29.296875
2014-09-30,34.203125
2014-10-31,54.0
2014-11-30,20.6015625
2014-12-31,113.8984375
