,Rainfall
2000-01-31,41.296875
2000-02-29,74.5
2000-03-31,102.6015625
2000-04-30,20.1015625
2000-05-31,29.296875
2000-06-30,16.796875
2000-07-31,18.6015625
2000-08-31,13.796875
2000-09-30,3.296875
2000-10-31,46.296875
2000-11-30,123.5
2000-12-31,29.0
2001-01-31,62.703125
2001-02-28,90.703125
2001-03-31,66.5
2001-04-30,32.796875
2001-05-31,37.1015625
2001-06-30,28.703125
2001-07-31,86.1015625
2001-08-31,10.703125
2001-09-30,11.5
2001-10-31,44.703125
2001-11-30,82.3984375
2001-12-31,39.5
2002-01-31,25.3984375
2002-02-28,34.0
2002-03-31,89.1015625
2002-04-30,2.6015625
2002-05-31,3.6015625
2002-06-30,14.3984375
2002-07-31,25.1015625
2002-08-31,47.8984375
2002-09-30,8.8984375
2002-10-31,13.796875
2002-11-30,36.203125
2002-12-31,93.5
2003-01-31,7.203125
2003-02-28,74.1015625
2003-03-31,66.3984375
2003-04-30,93.1015625
2003-05-31,0.796875
2003-06-30,27.6015625
2003-07-31,43.1015625
2003-08-31,17.6015625
2003-09-30,0.3984375
2003-10-31,77.796875
2003-11-30,33.0
2003-12-31,111.3984375
2004-01-31,156.1015625
2004-02-29,54.0
2004-03-31,96.203125
2004-04-30,54.3984375
2004-05-31,20.6015625
2004-06-30,5.8984375
2004-07-31,14.796875
2004-08-31,15.1015625
2004-09-30,85.6015625
2004-10-31,28.703125
2004-11-30,99.5
2004-12-31,118.796875
2005-01-31,24.296875
2005-02-28,5.296875
2005-03-31,28.3984375
2005-04-30,0.296875
2005-05-31,38.203125
2005-06-30,179.6015625
2005-07-31,6.296875
2005-08-31,9.3984375
2005-09-30,19.203125
2005-10-31,61.1015625
2005-11-30,133.3984375
2005-12-31,72.703125
2006-01-31,78.296875
2006-02-28,86.296875
2006-03-31,18.0
2006-04-30,25.0
2006-05-31,10.796875
2006-06-30,24.203125
2006-07-31,58.8984375
2006-08-31,3.3984375
2006-09-30,25.1015625
2006-10-31,2.703125
2006-11-30,30.796875
2006-12-31,12.5
2007-01-31,22.203125
2007-02-28,46.296875
2007-03-31,35.0
2007-04-30,34.796875
2007-05-31,16.0
2007-06-30,61.703125
2007-07-31,0.8984375
2007-08-31,33.1015625
2007-09-30,3.3984375
2007-10-31,63.796875
2007-11-30,48.1015625
2007-12-31,73.296875
2008-01-31,45.5
2008-02-29,127.1015625
2008-03-31,0.203125
2008-04-30,9.0
2008-05-31,2.1015625
2008-06-30,34.203125
2008-07-31,41.6015625
2008-08-31,7.203125
2008-09-30,77.3984375
2008-10-31,9.1015625
2008-11-30,126.5
2008-12-31,90.8984375
2009-01-31,68.3984375
2009-02-28,120.3984375
2009-03-31,16.0
2009-04-30,15.1015625
2009-05-31,77.203125
2009-06-30,31.203125
2009-07-31,9.5
2009-08-31,2.203125
2009-09-30,18.703125
2009-10-31,8.5
2009-11-30,15.1015625
2009-12-31,66.796875
2010-01-31,47.796875
2010-02-28,52.8984375
2010-03-31,130.5
2010-04-30,0.796875
2010-05-31,39.796875
2010-06-30,13.203125
2010-07-31,95.6015625
2010-08-31,56.6015625
2010-09-30,158.5
2010-10-31,62.796875
2010-11-30,86.5
2010-12-31,87.296875
2011-01-31,79.796875
2011-02-28,34.6015625
2011-03-31,69.8984375
2011-04-30,50.296875
2011-05-31,26.5
2011-06-30,25.0
2011-07-31,20.296875
2011-08-31,40.1015625
2011-09-30,81.5
2011-10-31,76.6015625
2011-11-30,82.8984375
2011-12-31,146.8984375
2012-01-31,161.5
2012-02-29,37.203125
2012-03-31,28.3984375
2012-04-30,25.0
2012-05-31,34.5
2012-06-30,22.3984375
2012-07-31,43.796875
2012-08-31,1.8984375
2012-09-30,12.6015625
2012-10-31,14.3984375
2012-11-30,29.203125
2012-12-31,66.796875
2013-01-31,212.0
2013-02-28,37.0
2013-03-31,132.203125
2013-04-30,12.296875
2013-05-31,16.1015625
2013-06-30,26.203125
2013-07-31,25.6015625
2013-08-31,3.796875
2013-09-30,22.5
2013-10-31,24.296875
2013-11-30,79.5
2013-12-31,14.3984375
2014-01-31,27.296875
2014-02-28,32.5
2014-03-31,128.203125
2014-04-30,2.703125
2014-05-31,21.203125
2014-06-30,29.1015625
2014-07-31,11.6015625
2014-08-31,29.5
2014-09-30,8.3984375
2014-10-31,9.8984375
2014-11-30,26.8984375
2014-12-31,95.203125
2015-01-31,114.796875
2015-02-28,42.296875
2015-03-31,53.5
2015-04-30,100.8984375
2015-05-31,56.5
2015-06-30,45.296875
