,Rainfall
2000-01-31,88.3984375
2000-02-29,50.296875
2000-03-31,89.3984375
2000-04-30,63.5
2000-05-31,72.0
2000-06-30,26.203125
2000-07-31,4.8984375
2000-08-31,19.0
2000-09-30,3.3984375
2000-10-31,49.703125
2000-11-30,74.8984375
2000-12-31,85.6015625
2001-01-31,74.3984375
2001-02-28,340.796875
2001-03-31,189.6015625
2001-04-30,60.796875
2001-05-31,71.796875
2001-06-30,13.0
2001-07-31,23.8984375
2001-08-31,26.0
2001-09-30,22.6015625
2001-10-31,50.703125
2001-11-30,163.5
2001-12-31,50.5
2002-01-31,23.1015625
2002-02-28,85.1015625
2002-03-31,118.1015625
2002-04-30,48.0
2002-05-31,35.6015625
2002-06-30,66.3984375
2002-07-31,4.3984375
2002-08-31,55.3984375
2002-09-30,9.296875
2002-10-31,33.203125
2002-11-30,42.703125
2002-12-31,80.6015625
2003-01-31,18.703125
2003-02-28,192.3984375
2003-03-31,56.296875
2003-04-30,67.3984375
2003-05-31,42.8984375
2003-06-30,43.796875
2003-07-31,23.8984375
2003-08-31,4.3984375
2003-09-30,2.1015625
2003-10-31,121.8984375
2003-11-30,19.3984375
2003-12-31,106.8984375
2004-01-31,184.6015625
2004-02-29,189.1015625
2004-03-31,152.296875
2004-04-30,73.703125
2004-05-31,11.6015625
2004-06-30,1.6015625
2004-07-31,14.203125
2004-08-31,5.703125
2004-09-30,17.5
2004-10-31,115.703125
2004-11-30,100.1015625
2004-12-31,82.203125
2005-01-31,120.703125
2005-02-28,36.1015625
2005-03-31,42.796875
2005-04-30,69.8984375
2005-05-31,42.8984375
2005-06-30,125.1015625
2005-07-31,11.5
2005-08-31,8.0
2005-09-30,49.703125
2005-10-31,93.0
2005-11-30,99.3984375
2005-12-31,90.6015625
2006-01-31,219.0
2006-02-28,107.3984375
2006-03-31,166.296875
2006-04-30,57.296875
2006-05-31,11.703125
2006-06-30,30.8984375
2006-07-31,41.5
2006-08-31,58.1015625
2006-09-30,77.203125
2006-10-31,27.5
2006-11-30,168.703125
2006-12-31,67.5
2007-01-31,110.1015625
2007-02-28,31.8984375
2007-03-31,122.1015625
2007-04-30,49.6015625
2007-05-31,13.703125
2007-06-30,69.3984375
2007-07-31,0.0
2007-08-31,129.296875
2007-09-30,36.296875
2007-10-31,60.703125
2007-11-30,184.5
2007-12-31,134.0
2008-01-31,350.296875
2008-02-29,166.796875
2008-03-31,60.296875
2008-04-30,69.0
2008-05-31,18.203125
2008-06-30,65.3984375
2008-07-31,56.8984375
2008-08-31,35.0
2008-09-30,87.796875
2008-10-31,21.796875
2008-11-30,225.0
2008-12-31,132.5
2009-01-31,82.3984375
2009-02-28,149.3984375
2009-03-31,83.1015625
2009-04-30,141.5
2009-05-31,272.8984375
2009-06-30,54.796875
2009-07-31,4.6015625
2009-08-31,1.6015625
2009-09-30,26.0
2009-10-31,68.5
2009-11-30,57.296875
2009-12-31,157.296875
2010-01-31,106.796875
2010-02-28,151.5
2010-03-31,177.8984375
2010-04-30,53.8984375
2010-05-31,60.3984375
2010-06-30,36.296875
2010-07-31,54.3984375
2010-08-31,30.3984375
2010-09-30,59.703125
2010-10-31,185.0
2010-11-30,95.703125
2010-12-31,250.796875
2011-01-31,312.703125
2011-02-28,86.296875
2011-03-31,125.8984375
2011-04-30,90.6015625
2011-05-31,60.3984375
2011-06-30,65.3984375
2011-07-31,23.8984375
2011-08-31,89.5
2011-09-30,20.1015625
2011-10-31,111.0
2011-11-30,86.703125
2011-12-31,100.3984375
2012-01-31,307.8984375
2012-02-29,171.296875
2012-03-31,119.6015625
2012-04-30,95.1015625
2012-05-31,20.8984375
2012-06-30,98.703125
2012-07-31,24.0
2012-08-31,0.8984375
2012-09-30,14.703125
2012-10-31,23.203125
2012-11-30,60.296875
2012-12-31,129.203125
2013-01-31,277.296875
2013-02-28,227.703125
2013-03-31,149.296875
2013-04-30,80.3984375
2013-05-31,46.203125
2013-06-30,84.203125
2013-07-31,44.1015625
2013-08-31,5.296875
2013-09-30,44.296875
2013-10-31,24.5
2013-11-30,137.203125
2013-12-31,46.5
2014-01-31,67.703125
2014-02-28,40.3984375
2014-03-31,236.796875
2014-04-30,30.1015625
2014-05-31,33.703125
2014-06-30,31.8984375
2014-07-31,8.5
2014-08-31,118.5
2014-09-30,32.203125
2014-10-31,9.703125
2014-11-30,61.203125
2014-12-31,180.1015625
2015-01-31,132.296875
2015-02-28,200.3984375
2015-03-31,65.796875
2015-04-30,81.296875
2015-05-31,144.796875
