,Rainfall
2000-01-31,37.703125
2000-02-29,27.1015625
2000-03-31,118.1015625
2000-04-30,11.8984375
2000-05-31,25.3984375
2000-06-30,9.3984375
2000-07-31,36.703125
2000-08-31,11.796875
2000-09-30,8.0
2000-10-31,72.6015625
2000-11-30,136.8984375
2000-12-31,77.703125
2001-01-31,68.203125
2001-02-28,136.6015625
2001-03-31,106.796875
2001-04-30,64.703125
2001-05-31,33.3984375
2001-06-30,19.8984375
2001-07-31,60.203125
2001-08-31,21.703125
2001-09-30,24.296875
2001-10-31,58.5
2001-11-30,129.296875
2001-12-31,42.796875
2002-01-31,48.703125
2002-02-28,22.5
2002-03-31,136.203125
2002-04-30,4.703125
2002-05-31,7.6015625
2002-06-30,14.3984375
2002-07-31,1.0
2002-08-31,38.0
2002-09-30,19.203125
2002-10-31,33.1015625
2002-11-30,28.5
2002-12-31,78.8984375
2003-01-31,24.1015625
2003-02-28,90.203125
2003-03-31,64.5
2003-04-30,60.703125
2003-05-31,3.203125
2003-06-30,46.0
2003-07-31,30.6015625
2003-08-31,12.296875
2003-09-30,1.203125
2003-10-31,106.8984375
2003-11-30,43.8984375
2003-12-31,108.6015625
2004-01-31,134.796875
2004-02-29,37.296875
2004-03-31,55.1015625
2004-04-30,34.203125
2004-05-31,23.203125
2004-06-30,8.3984375
2004-07-31,19.796875
2004-08-31,21.6015625
2004-09-30,88.5
2004-10-31,54.6015625
2004-11-30,74.3984375
2004-12-31,202.8984375
2005-01-31,21.703125
2005-02-28,23.296875
2005-03-31,10.5
2005-04-30,0.5
2005-05-31,20.6015625
2005-06-30,105.703125
2005-07-31,16.0
2005-08-31,12.5
2005-09-30,34.296875
2005-10-31,50.6015625
2005-11-30,99.203125
2005-12-31,75.5
2006-01-31,120.3984375
2006-02-28,88.796875
2006-03-31,17.3984375
2006-04-30,47.3984375
2006-05-31,11.6015625
2006-06-30,31.0
2006-07-31,54.203125
2006-08-31,12.203125
2006-09-30,26.1015625
2006-10-31,17.5
2006-11-30,111.796875
2006-12-31,34.203125
2007-01-31,50.0
2007-02-28,79.5
2007-03-31,47.6015625
2007-04-30,53.3984375
2007-05-31,19.203125
2007-06-30,77.3984375
2007-07-31,4.5
2007-08-31,59.5
2007-09-30,3.1015625
2007-10-31,73.0
2007-11-30,50.1015625
2007-12-31,74.5
2008-01-31,68.8984375
2008-02-29,97.796875
2008-03-31,5.296875
2008-04-30,9.796875
2008-05-31,5.6015625
2008-06-30,49.5
2008-07-31,31.8984375
2008-08-31,12.0
2008-09-30,67.0
2008-10-31,22.796875
2008-11-30,139.0
2008-12-31,74.796875
2009-01-31,28.3984375
2009-02-28,84.296875
2009-03-31,10.796875
2009-04-30,36.6015625
2009-05-31,50.796875
2009-06-30,26.0
2009-07-31,12.3984375
2009-08-31,4.203125
2009-09-30,35.796875
2009-10-31,26.8984375
2009-11-30,66.0
2009-12-31,195.203125
2010-01-31,60.203125
2010-02-28,25.8984375
2010-03-31,103.1015625
2010-04-30,9.8984375
2010-05-31,56.0
2010-06-30,29.8984375
2010-07-31,86.3984375
2010-08-31,82.1015625
2010-09-30,109.5
2010-10-31,63.796875
2010-11-30,56.5
2010-12-31,123.796875
2011-01-31,118.8984375
2011-02-28,47.6015625
2011-03-31,85.5
2011-04-30,83.8984375
2011-05-31,26.203125
2011-06-30,31.203125
2011-07-31,8.5
2011-08-31,44.5
2011-09-30,57.6015625
2011-10-31,81.296875
2011-11-30,81.0
2011-12-31,79.5
2012-01-31,77.8984375
2012-02-29,79.5
2012-03-31,12.703125
2012-04-30,87.3984375
2012-05-31,28.796875
2012-06-30,31.8984375
2012-07-31,50.296875
2012-08-31,2.0
2012-09-30,36.203125
2012-10-31,26.703125
2012-11-30,67.5
2012-12-31,116.5
2013-01-31,150.1015625
2013-02-28,68.1015625
2013-03-31,92.1015625
2013-04-30,39.1015625
2013-05-31,15.8984375
2013-06-30,81.5
2013-07-31,28.296875
2013-08-31,6.8984375
2013-09-30,17.8984375
2013-10-31,48.6015625
2013-11-30,60.796875
2013-12-31,25.203125
2014-01-31,31.5
2014-02-28,41.6015625
2014-03-31,117.203125
2014-04-30,12.796875
2014-05-31,18.0
2014-06-30,38.0
2014-07-31,16.6015625
2014-08-31,40.796875
2014-09-30,16.6015625
2014-10-31,7.6015625
2014-11-30,33.3984375
2014-12-31,109.3984375
2015-01-31,154.703125
2015-02-28,54.0
2015-03-31,52.6015625
2015-04-30,83.703125
2015-05-31,60.703125
2015-06-30,25.796875
2015-07-31,53.203125
2015-08-31,23.796875
2015-09-30,20.1015625
2015-10-31,34.5
2015-11-30,47.296875
2015-12-31,113.8984375
2016-01-31,188.296875
2016-02-29,24.6015625
2016-03-31,29.6015625
2016-04-30,15.3984375
2016-05-31,32.796875
2016-06-30,71.796875
2016-07-31,31.203125
2016-08-31,94.703125
2016-09-30,119.5
2016-10-31,63.703125
2016-11-30,27.296875
2016-12-31,56.296875
2017-01-31,94.703125
2017-02-28,39.8984375
2017-03-31,175.203125
2017-04-30,36.8984375
2017-05-31,25.796875
2017-06-30,20.703125
2017-07-31,11.1015625
2017-08-31,7.703125
2017-09-30,2.1015625
2017-10-31,114.5
2017-11-30,59.1015625
2017-12-31,68.203125
2018-01-31,32.5
2018-02-28,47.796875
2018-03-31,34.296875
2018-04-30,20.203125
2018-05-31,0.796875
2018-06-30,4.1015625
2018-07-31,18.296875
2018-08-31,34.0
2018-09-30,19.8984375
2018-10-31,35.6015625
2018-11-30,46.6015625
2018-12-31,36.6015625
2019-01-31,22.3984375
2019-02-28,4.8984375
2019-03-31,57.796875
2019-04-30,1.296875
2019-05-31,8.203125
2019-06-30,13.203125
2019-07-31,3.203125
2019-08-31,5.203125
2019-09-30,1.296875
2019-10-31,25.3984375
2019-11-30,2.796875
2019-12-31,26.6015625
2020-01-31,59.1015625
2020-02-29,148.703125
2020-03-31,54.203125
2020-04-30,35.6015625
2020-05-31,42.3984375
2020-06-30,19.0
2020-07-31,27.8984375
2020-08-31,37.203125
2020-09-30,3.5
2020-10-31,58.296875
2020-11-30,14.203125
2020-12-31,91.6015625
2021-01-31,116.6015625
2021-02-28,88.3984375
2021-03-31,194.6015625
2021-04-30,41.1015625
2021-05-31,45.296875
2021-06-30,59.3984375
2021-07-31,93.1015625
2021-08-31,48.3984375
2021-09-30,59.203125
2021-10-31,78.1015625
2021-11-30,194.5
2021-12-31,117.3984375
2022-01-31,76.203125
2022-02-28,65.0
2022-03-31,106.3984375
