,Rainfall
2000-01-31,30.296875
2000-02-29,19.0
2000-03-31,180.1015625
2000-04-30,53.296875
2000-05-31,32.8984375
2000-06-30,69.5
2000-07-31,30.796875
2000-08-31,22.203125
2000-09-30,45.0
2000-10-31,39.1015625
2000-11-30,157.203125
2000-12-31,45.1015625
2001-01-31,68.5
2001-02-28,131.6015625
2001-03-31,63.796875
2001-04-30,71.8984375
2001-05-31,47.296875
2001-06-30,10.796875
2001-07-31,102.8984375
2001-08-31,101.203125
2001-09-30,37.296875
2001-10-31,61.5
2001-11-30,76.203125
2001-12-31,17.1015625
2002-01-31,54.0
2002-02-28,167.6015625
2002-03-31,60.203125
2002-04-30,55.3984375
2002-05-31,27.703125
2002-06-30,33.296875
2002-07-31,16.5
2002-08-31,13.8984375
2002-09-30,25.796875
2002-10-31,4.0
2002-11-30,15.203125
2002-12-31,52.796875
2003-01-31,37.296875
2003-02-28,111.203125
2003-03-31,75.203125
2003-04-30,100.6015625
2003-05-31,120.8984375
2003-06-30,39.703125
2003-07-31,25.203125
2003-08-31,34.203125
2003-09-30,17.1015625
2003-10-31,61.296875
2003-11-30,88.0
2003-12-31,41.296875
2004-01-31,78.0
2004-02-29,73.6015625
2004-03-31,45.8984375
2004-04-30,32.1015625
2004-05-31,4.1015625
2004-06-30,14.0
2004-07-31,41.6015625
2004-08-31,19.203125
2004-09-30,47.1015625
2004-10-31,104.296875
2004-11-30,62.0
2004-12-31,85.1015625
2005-01-31,54.0
2005-02-28,137.296875
2005-03-31,55.3984375
2005-04-30,13.5
2005-05-31,15.3984375
2005-06-30,86.3984375
2005-07-31,101.0
2005-08-31,8.5
2005-09-30,102.1015625
2005-10-31,50.1015625
2005-11-30,153.5
2005-12-31,47.6015625
2006-01-31,106.203125
2006-02-28,35.5
2006-03-31,27.5
2006-04-30,4.8984375
2006-05-31,30.6015625
2006-06-30,90.296875
2006-07-31,89.8984375
2006-08-31,22.3984375
2006-09-30,66.6015625
2006-10-31,2.296875
2006-11-30,39.0
2006-12-31,57.796875
2007-01-31,29.6015625
2007-02-28,196.296875
2007-03-31,83.203125
2007-04-30,38.203125
2007-05-31,28.796875
2007-06-30,307.0
2007-07-31,39.796875
2007-08-31,32.1015625
2007-09-30,31.6015625
2007-10-31,29.1015625
2007-11-30,111.5
2007-12-31,77.1015625
2008-01-31,62.6015625
2008-02-29,147.203125
2008-03-31,36.703125
2008-04-30,40.796875
2008-05-31,7.296875
2008-06-30,73.203125
2008-07-31,48.1015625
2008-08-31,41.0
2008-09-30,62.1015625
2008-10-31,72.3984375
2008-11-30,57.3984375
2008-12-31,84.3984375
2009-01-31,13.796875
2009-02-28,63.203125
2009-03-31,31.8984375
2009-04-30,80.203125
