,Rainfall
2000-01-31,37.6015625
2000-02-29,26.5
2000-03-31,57.296875
2000-04-30,32.296875
2000-05-31,37.6015625
2000-06-30,26.6015625
2000-07-31,13.8984375
2000-08-31,31.6015625
2000-09-30,60.796875
2000-10-31,40.796875
2000-11-30,110.6015625
2000-12-31,32.6015625
2001-01-31,71.3984375
2001-02-28,102.296875
2001-03-31,46.6015625
2001-04-30,20.703125
2001-05-31,5.1015625
2001-06-30,7.703125
2001-07-31,80.1015625
2001-08-31,75.8984375
2001-09-30,35.1015625
2001-10-31,36.0
2001-11-30,47.1015625
2001-12-31,12.203125
2002-01-31,76.1015625
2002-02-28,153.203125
2002-03-31,25.1015625
2002-04-30,34.0
2002-05-31,20.5
2002-06-30,24.5
2002-07-31,10.703125
2002-08-31,14.6015625
2002-09-30,32.6015625
2002-10-31,17.0
2002-11-30,16.203125
2002-12-31,23.703125
2003-01-31,2.703125
2003-02-28,44.5
2003-03-31,75.296875
2003-04-30,38.796875
2003-05-31,23.5
2003-06-30,24.5
2003-07-31,14.0
2003-08-31,42.296875
2003-09-30,23.5
2003-10-31,47.796875
2003-11-30,81.203125
2003-12-31,79.796875
2004-01-31,37.6015625
2004-02-29,24.203125
2004-03-31,3.203125
2004-04-30,10.6015625
2004-05-31,9.3984375
2004-06-30,8.8984375
2004-07-31,10.796875
2004-08-31,19.1015625
2004-09-30,36.0
2004-10-31,71.296875
2004-11-30,72.3984375
2004-12-31,128.5
2005-01-31,27.6015625
2005-02-28,55.6015625
2005-03-31,41.5
2005-04-30,17.5
2005-05-31,1.796875
2005-06-30,32.796875
2005-07-31,74.796875
2005-08-31,36.796875
2005-09-30,62.1015625
2005-10-31,61.203125
2005-11-30,66.6015625
2005-12-31,16.3984375
2006-01-31,56.203125
2006-02-28,15.0
2006-03-31,20.0
2006-04-30,21.5
2006-05-31,17.6015625
2006-06-30,41.8984375
2006-07-31,34.203125
2006-08-31,17.203125
2006-09-30,25.703125
2006-10-31,12.5
2006-11-30,22.703125
2006-12-31,12.203125
2007-01-31,31.8984375
2007-02-28,112.1015625
2007-03-31,64.203125
2007-04-30,18.296875
2007-05-31,31.8984375
2007-06-30,112.203125
2007-07-31,20.796875
2007-08-31,17.203125
2007-09-30,15.0
2007-10-31,17.5
2007-11-30,86.796875
2007-12-31,98.5
2008-01-31,44.296875
2008-02-29,74.0
2008-03-31,43.203125
2008-04-30,20.3984375
2008-05-31,15.296875
2008-06-30,16.3984375
2008-07-31,27.8984375
2008-08-31,29.0
2008-09-30,41.8984375
2008-10-31,22.703125
2008-11-30,74.3984375
2008-12-31,40.1015625
2009-01-31,27.1015625
2009-02-28,13.3984375
2009-03-31,22.8984375
2009-04-30,70.8984375
2009-05-31,6.8984375
2009-06-30,20.296875
2009-07-31,19.3984375
2009-08-31,32.703125
2009-09-30,36.296875
2009-10-31,70.203125
2009-11-30,12.6015625
2009-12-31,61.796875
2010-01-31,16.703125
2010-02-28,140.796875
2010-03-31,58.6015625
2010-04-30,6.5
2010-05-31,62.0
2010-06-30,13.5
2010-07-31,26.0
2010-08-31,34.8984375
2010-09-30,26.8984375
2010-10-31,69.796875
2010-11-30,102.8984375
2010-12-31,121.796875
2011-01-31,51.0
2011-02-28,128.5
2011-03-31,104.203125
2011-04-30,2.796875
2011-05-31,20.6015625
2011-06-30,8.296875
2011-07-31,18.3984375
2011-08-31,43.3984375
2011-09-30,20.0
2011-10-31,46.203125
2011-11-30,107.8984375
2011-12-31,81.1015625
2012-01-31,60.703125
2012-02-29,185.203125
2012-03-31,158.0
2012-04-30,40.703125
2012-05-31,14.0
2012-06-30,45.0
2012-07-31,25.3984375
2012-08-31,15.6015625
2012-09-30,34.703125
2012-10-31,65.5
2012-11-30,43.6015625
2012-12-31,30.0
2013-01-31,84.1015625
2013-02-28,79.296875
2013-03-31,27.703125
2013-04-30,19.796875
2013-05-31,9.796875
2013-06-30,71.203125
2013-07-31,25.1015625
2013-08-31,23.296875
2013-09-30,72.8984375
2013-10-31,31.703125
2013-11-30,63.5
2013-12-31,26.703125
2014-01-31,16.703125
2014-02-28,43.5
2014-03-31,85.5
2014-04-30,82.1015625
2014-05-31,14.0
2014-06-30,55.703125
2014-07-31,8.5
2014-08-31,44.703125
2014-09-30,27.1015625
2014-10-31,44.6015625
2014-11-30,23.703125
2014-12-31,149.703125
2015-01-31,107.1015625
2015-02-28,73.6015625
2015-03-31,7.296875
2015-04-30,105.0
2015-05-31,14.6015625
2015-06-30,43.0
2015-07-31,37.796875
2015-08-31,47.3984375
2015-09-30,7.296875
2015-10-31,23.703125
2015-11-30,66.703125
2015-12-31,20.796875
2016-01-31,123.203125
2016-02-29,19.296875
2016-03-31,36.296875
2016-04-30,6.3984375
2016-05-31,11.5
2016-06-30,166.796875
2016-07-31,40.3984375
2016-08-31,17.703125
2016-09-30,92.6015625
2016-10-31,30.5
2016-11-30,22.1015625
2016-12-31,59.1015625
2017-01-31,16.796875
2017-02-28,22.1015625
2017-03-31,90.296875
2017-04-30,24.203125
2017-05-31,51.6015625
2017-06-30,5.8984375
2017-07-31,12.703125
2017-08-31,32.3984375
2017-09-30,9.203125
2017-10-31,44.3984375
2017-11-30,109.6015625
2017-12-31,70.8984375
