,Rainfall
2000-01-31,24.3984375
2000-02-29,30.0
2000-03-31,154.203125
2000-04-30,37.203125
2000-05-31,78.1015625
2000-06-30,18.3984375
2000-07-31,10.0
2000-08-31,15.6015625
2000-09-30,1.1015625
2000-10-31,58.6015625
2000-11-30,146.796875
2000-12-31,3.1015625
2001-01-31,48.796875
2001-02-28,13.203125
2001-03-31,16.5
2001-04-30,0.796875
2001-05-31,7.203125
2001-06-30,39.1015625
2001-07-31,19.296875
2001-08-31,2.5
2001-09-30,7.6015625
2001-10-31,26.5
2001-11-30,45.3984375
2001-12-31,2.203125
2002-01-31,4.3984375
2002-02-28,35.8984375
2002-03-31,11.0
2002-04-30,25.796875
2002-05-31,1.203125
2002-06-30,4.5
2002-07-31,0.796875
2002-08-31,19.296875
2002-09-30,15.8984375
2002-10-31,5.796875
2002-11-30,1.703125
2002-12-31,23.6015625
2003-01-31,11.8984375
2003-02-28,39.5
2003-03-31,11.6015625
2003-04-30,60.796875
2003-05-31,23.703125
2003-06-30,20.6015625
2003-07-31,19.203125
2003-08-31,38.6015625
2003-09-30,1.8984375
2003-10-31,11.5
2003-11-30,6.6015625
2003-12-31,41.203125
2004-01-31,36.8984375
2004-02-29,70.203125
2004-03-31,21.1015625
2004-04-30,54.5
2004-05-31,15.796875
2004-06-30,16.703125
2004-07-31,15.5
2004-08-31,12.3984375
2004-09-30,3.6015625
2004-10-31,13.703125
2004-11-30,27.8984375
2004-12-31,45.1015625
2005-01-31,3.203125
2005-02-28,4.0
2005-03-31,1.1015625
2005-04-30,0.0
2005-05-31,8.0
2005-06-30,79.6015625
2005-07-31,1.0
2005-08-31,17.3984375
2005-09-30,34.703125
2005-10-31,22.1015625
2005-11-30,22.296875
2005-12-31,10.3984375
2006-01-31,26.203125
2006-02-28,10.203125
2006-03-31,18.1015625
2006-04-30,1.203125
2006-05-31,0.0
2006-06-30,36.0
2006-07-31,41.8984375
2006-08-31,2.3984375
2006-09-30,7.1015625
