,Rainfall
2000-01-31,22.1015625
2000-02-29,45.3984375
2000-03-31,261.0
2000-04-30,35.703125
2000-05-31,30.203125
2000-06-30,34.296875
2000-07-31,14.796875
2000-08-31,30.796875
2000-09-30,92.296875
2000-10-31,35.8984375
2000-11-30,146.5
2000-12-31,14.3984375
2001-01-31,41.5
2001-02-28,141.296875
2001-03-31,61.3984375
2001-04-30,70.0
2001-05-31,25.8984375
2001-06-30,10.5
2001-07-31,211.703125
2001-08-31,69.8984375
2001-09-30,58.3984375
2001-10-31,47.296875
2001-11-30,94.296875
2001-12-31,40.796875
2002-01-31,65.796875
2002-02-28,191.0
2002-03-31,35.1015625
2002-04-30,104.5
2002-05-31,17.296875
2002-06-30,8.5
2002-07-31,3.0
2002-08-31,4.796875
2002-09-30,15.703125
2002-10-31,11.1015625
2002-11-30,24.8984375
2002-12-31,3.1015625
2003-01-31,19.3984375
2003-02-28,162.6015625
2003-03-31,114.296875
2003-04-30,90.203125
2003-05-31,106.3984375
2003-06-30,7.3984375
2003-07-31,23.203125
2003-08-31,24.203125
2003-09-30,17.296875
2003-10-31,59.703125
2003-11-30,92.8984375
2003-12-31,72.6015625
2004-01-31,85.203125
2004-02-29,49.203125
2004-03-31,8.296875
2004-04-30,61.6015625
2004-05-31,9.8984375
2004-06-30,0.1015625
2004-07-31,20.1015625
2004-08-31,14.796875
2004-09-30,62.796875
2004-10-31,127.5
2004-11-30,71.296875
2004-12-31,166.703125
2005-01-31,71.703125
2005-02-28,62.703125
2005-03-31,65.703125
2005-04-30,15.296875
2005-05-31,16.1015625
2005-06-30,41.3984375
2005-07-31,207.796875
2005-08-31,7.6015625
2005-09-30,58.703125
2005-10-31,119.1015625
2005-11-30,104.8984375
2005-12-31,45.1015625
2006-01-31,60.203125
2006-02-28,33.796875
2006-03-31,21.203125
2006-04-30,14.703125
2006-05-31,119.1015625
2006-06-30,72.296875
2006-07-31,95.796875
2006-08-31,26.5
2006-09-30,46.0
2006-10-31,5.8984375
2006-11-30,48.8984375
2006-12-31,40.5
2007-01-31,25.796875
2007-02-28,314.5
2007-03-31,75.703125
2007-04-30,24.3984375
2007-05-31,14.703125
2007-06-30,284.5
2007-07-31,33.796875
2007-08-31,28.796875
2007-09-30,15.1015625
2007-10-31,27.8984375
2007-11-30,108.703125
2007-12-31,72.3984375
2008-01-31,85.8984375
2008-02-29,184.1015625
2008-03-31,57.5
2008-04-30,38.3984375
2008-05-31,8.296875
2008-06-30,57.5
2008-07-31,13.703125
2008-08-31,62.1015625
2008-09-30,14.296875
2008-10-31,14.3984375
2008-11-30,78.703125
2008-12-31,46.5
2009-01-31,30.8984375
2009-02-28,38.703125
2009-03-31,24.703125
2009-04-30,80.296875
2009-05-31,30.8984375
2009-06-30,46.3984375
2009-07-31,5.203125
2009-08-31,6.0
2009-09-30,24.296875
2009-10-31,94.1015625
2009-11-30,31.796875
2009-12-31,32.8984375
2010-01-31,44.796875
