,Rainfall
2000-01-31,1.6015625
2000-02-29,134.703125
2000-03-31,6.8984375
2000-04-30,61.1015625
2000-05-31,37.6015625
2000-06-30,7.6015625
2000-07-31,11.796875
2000-08-31,14.8984375
2000-09-30,18.296875
2000-10-31,32.1015625
2000-11-30,51.796875
2000-12-31,13.6015625
2001-01-31,4.8984375
2001-02-28,72.5
2001-03-31,1.3984375
2001-04-30,0.1015625
2001-05-31,11.203125
2001-06-30,39.0
2001-07-31,21.1015625
2001-08-31,6.203125
2001-09-30,56.296875
2001-10-31,37.296875
2001-11-30,0.5
2001-12-31,2.3984375
2002-01-31,6.703125
2002-02-28,17.1015625
2002-03-31,1.703125
2002-04-30,14.203125
2002-05-31,7.3984375
2002-06-30,3.296875
2002-07-31,4.5
2002-08-31,5.8984375
2002-09-30,3.796875
2002-10-31,0.1015625
2002-11-30,5.296875
2002-12-31,6.3984375
2003-01-31,1.3984375
2003-02-28,53.203125
2003-03-31,0.0
2003-04-30,8.203125
2003-05-31,44.1015625
2003-06-30,13.203125
2003-07-31,22.0
2003-08-31,59.703125
2003-09-30,0.796875
2003-10-31,31.1015625
2003-11-30,8.703125
2003-12-31,35.703125
2004-01-31,0.0
2004-02-29,8.8984375
2004-03-31,0.296875
2004-04-30,0.203125
2004-05-31,6.796875
2004-06-30,26.5
2004-07-31,4.203125
2004-08-31,44.5
2004-09-30,18.8984375
2004-10-31,25.1015625
2004-11-30,29.296875
2004-12-31,36.8984375
2005-01-31,9.0
2005-02-28,2.0
2005-03-31,2.8984375
2005-04-30,1.203125
2005-05-31,0.3984375
2005-06-30,46.5
2005-07-31,53.5
2005-08-31,9.703125
2005-09-30,51.1015625
2005-10-31,17.1015625
2005-11-30,34.203125
2005-12-31,2.296875
2006-01-31,17.796875
2006-02-28,7.1015625
2006-03-31,17.6015625
2006-04-30,17.203125
2006-05-31,0.203125
2006-06-30,23.703125
2006-07-31,37.1015625
2006-08-31,1.703125
2006-09-30,3.203125
2006-10-31,3.5
2006-11-30,5.0
2006-12-31,9.296875
2007-01-31,72.796875
2007-02-28,26.0
2007-03-31,22.8984375
2007-04-30,21.203125
2007-05-31,60.8984375
2007-06-30,18.1015625
2007-07-31,2.8984375
2007-08-31,0.296875
2007-09-30,0.1015625
2007-10-31,19.6015625
2007-11-30,44.1015625
2007-12-31,11.0
2008-01-31,19.6015625
2008-02-29,0.6015625
2008-03-31,7.703125
2008-04-30,3.703125
2008-05-31,2.203125
2008-06-30,101.6015625
2008-07-31,14.6015625
2008-08-31,15.796875
2008-09-30,25.296875
2008-10-31,0.796875
2008-11-30,38.0
2008-12-31,47.3984375
2009-01-31,25.0
2009-02-28,3.3984375
2009-03-31,10.3984375
2009-04-30,7.0
2009-05-31,11.3984375
2009-06-30,27.0
2009-07-31,18.6015625
2009-08-31,9.203125
2009-09-30,7.6015625
2009-10-31,2.296875
2009-11-30,56.3984375
2009-12-31,19.296875
2010-01-31,4.296875
2010-02-28,142.703125
2010-03-31,107.703125
2010-04-30,26.0
2010-05-31,31.296875
2010-06-30,16.6015625
2010-07-31,18.8984375
2010-08-31,16.1015625
2010-09-30,34.0
2010-10-31,75.6015625
2010-11-30,70.796875
2010-12-31,44.296875
2011-01-31,122.296875
2011-02-28,176.203125
2011-03-31,122.296875
2011-04-30,12.5
2011-05-31,18.0
2011-06-30,2.203125
2011-07-31,15.8984375
2011-08-31,12.796875
2011-09-30,10.6015625
2011-10-31,21.296875
2011-11-30,64.203125
2011-12-31,34.8984375
2012-01-31,116.8984375
2012-02-29,104.703125
2012-03-31,83.1015625
2012-04-30,0.796875
2012-05-31,0.3984375
2012-06-30,11.0
2012-07-31,42.703125
2012-08-31,4.5
2012-09-30,3.5
2012-10-31,4.203125
2012-11-30,27.203125
2012-12-31,10.703125
2013-01-31,0.6015625
2013-02-28,31.203125
2013-03-31,13.5
2013-04-30,8.8984375
2013-05-31,23.8984375
2013-06-30,65.5
2013-07-31,14.0
2013-08-31,7.6015625
2013-09-30,9.203125
2013-10-31,7.203125
2013-11-30,7.6015625
2013-12-31,26.0
2014-01-31,3.5
2014-02-28,22.5
2014-03-31,26.203125
2014-04-30,75.6015625
2014-05-31,25.3984375
2014-06-30,28.796875
2014-07-31,4.3984375
2014-08-31,40.703125
2014-09-30,29.3984375
2014-10-31,0.203125
2014-11-30,20.796875
2014-12-31,9.0
2015-01-31,93.1015625
2015-02-28,2.796875
2015-03-31,0.203125
2015-04-30,36.6015625
2015-05-31,13.8984375
2015-06-30,33.796875
2015-07-31,11.5
2015-08-31,41.5
2015-09-30,8.0
2015-10-31,7.8984375
2015-11-30,26.296875
2015-12-31,20.296875
2016-01-31,14.703125
2016-02-29,2.5
2016-03-31,40.203125
2016-04-30,18.296875
2016-05-31,71.3984375
2016-06-30,14.796875
2016-07-31,28.8984375
2016-08-31,49.0
2016-09-30,152.203125
2016-10-31,16.6015625
2016-11-30,15.8984375
2016-12-31,54.8984375
2017-01-31,22.3984375
2017-02-28,0.1015625
2017-03-31,1.6015625
2017-04-30,20.6015625
2017-05-31,7.0
2017-06-30,2.8984375
2017-07-31,0.6015625
2017-08-31,14.6015625
2017-09-30,3.203125
2017-10-31,18.796875
2017-11-30,20.6015625
2017-12-31,18.8984375
2018-01-31,5.5
2018-02-28,3.796875
2018-03-31,0.0
2018-04-30,3.5
2018-05-31,7.5
2018-06-30,8.0
2018-07-31,0.296875
2018-08-31,8.1015625
2018-09-30,0.0
2018-10-31,28.5
2018-11-30,33.1015625
2018-12-31,10.3984375
2019-01-31,14.703125
2019-02-28,3.296875
2019-03-31,29.796875
2019-04-30,1.796875
2019-05-31,8.796875
2019-06-30,5.8984375
2019-07-31,6.6015625
2019-08-31,0.1015625
2019-09-30,2.203125
2019-10-31,5.203125
2019-11-30,12.8984375
2019-12-31,0.0
2020-01-31,0.1015625
2020-02-29,9.296875
2020-03-31,16.3984375
2020-04-30,25.6015625
2020-05-31,3.5
2020-06-30,1.1015625
2020-07-31,4.0
2020-08-31,38.8984375
2020-09-30,51.296875
2020-10-31,47.796875
2020-11-30,1.3984375
2020-12-31,24.6015625
2021-01-31,32.1015625
2021-02-28,1.296875
