,Rainfall
2000-01-31,39.203125
2000-02-29,25.296875
2000-03-31,233.6015625
2000-04-30,45.296875
2000-05-31,35.6015625
2000-06-30,63.703125
2000-07-31,34.703125
2000-08-31,23.6015625
2000-09-30,44.0
2000-10-31,42.1015625
2000-11-30,169.203125
2000-12-31,48.203125
2001-01-31,88.5
2001-02-28,178.796875
2001-03-31,86.296875
2001-04-30,55.8984375
2001-05-31,46.203125
2001-06-30,14.296875
2001-07-31,118.1015625
2001-08-31,104.703125
2001-09-30,32.0
2001-10-31,57.796875
2001-11-30,95.203125
2001-12-31,28.1015625
2002-01-31,64.296875
2002-02-28,235.296875
2002-03-31,75.203125
2002-04-30,75.1015625
2002-05-31,33.5
2002-06-30,38.8984375
2002-07-31,14.703125
2002-08-31,22.703125
2002-09-30,25.3984375
2002-10-31,7.3984375
2002-11-30,11.3984375
2002-12-31,63.1015625
2003-01-31,44.8984375
2003-02-28,118.0
2003-03-31,82.0
2003-04-30,82.296875
2003-05-31,152.296875
2003-06-30,42.6015625
2003-07-31,34.5
2003-08-31,35.796875
2003-09-30,22.1015625
2003-10-31,77.0
2003-11-30,126.1015625
2003-12-31,42.203125
2004-01-31,74.6015625
2004-02-29,84.8984375
2004-03-31,55.3984375
2004-04-30,35.203125
2004-05-31,4.1015625
2004-06-30,12.6015625
2004-07-31,32.8984375
2004-08-31,24.1015625
2004-09-30,47.3984375
2004-10-31,131.6015625
2004-11-30,62.5
2004-12-31,78.3984375
2005-01-31,69.5
2005-02-28,168.3984375
2005-03-31,73.0
2005-04-30,12.703125
2005-05-31,29.1015625
2005-06-30,91.1015625
2005-07-31,89.203125
2005-08-31,11.296875
2005-09-30,94.703125
2005-10-31,50.1015625
2005-11-30,151.203125
2005-12-31,38.8984375
2006-01-31,114.3984375
2006-02-28,58.796875
2006-03-31,40.0
2006-04-30,5.0
2006-05-31,34.203125
2006-06-30,116.203125
2006-07-31,95.3984375
2006-08-31,34.6015625
2006-09-30,72.0
2006-10-31,2.0
2006-11-30,56.8984375
2006-12-31,63.203125
2007-01-31,24.8984375
2007-02-28,253.3984375
2007-03-31,100.6015625
2007-04-30,54.3984375
2007-05-31,29.5
2007-06-30,357.5
2007-07-31,48.796875
2007-08-31,45.5
2007-09-30,32.0
2007-10-31,31.8984375
2007-11-30,178.296875
2007-12-31,98.796875
2008-01-31,67.6015625
2008-02-29,210.0
2008-03-31,49.8984375
2008-04-30,61.5
2008-05-31,10.5
2008-06-30,88.6015625
2008-07-31,47.296875
2008-08-31,53.6015625
2008-09-30,67.5
2008-10-31,95.3984375
2008-11-30,57.8984375
2008-12-31,88.203125
2009-01-31,26.796875
2009-02-28,110.8984375
2009-03-31,44.703125
2009-04-30,92.0
2009-05-31,73.703125
2009-06-30,25.703125
2009-07-31,21.5
2009-08-31,15.0
2009-09-30,29.1015625
2009-10-31,79.796875
2009-11-30,34.5
2009-12-31,101.6015625
2010-01-31,72.796875
2010-02-28,254.5
2010-03-31,64.796875
2010-04-30,15.5
2010-05-31,94.203125
2010-06-30,41.5
2010-07-31,41.5
2010-08-31,42.1015625
2010-09-30,45.3984375
2010-10-31,64.3984375
2010-11-30,186.5
2010-12-31,157.8984375
2011-01-31,41.3984375
2011-02-28,102.796875
2011-03-31,123.703125
2011-04-30,63.6015625
2011-05-31,71.0
2011-06-30,132.5
2011-07-31,88.8984375
2011-08-31,71.3984375
