,Rainfall
2000-01-31,6.796875
2000-02-29,25.296875
2000-03-31,106.5
2000-04-30,53.203125
2000-05-31,93.5
2000-06-30,13.1015625
2000-07-31,14.296875
2000-08-31,26.203125
2000-09-30,3.8984375
2000-10-31,46.1015625
2000-11-30,112.296875
2000-12-31,16.296875
2001-01-31,6.5
2001-02-28,24.203125
2001-03-31,22.0
2001-04-30,0.5
2001-05-31,20.703125
2001-06-30,61.8984375
2001-07-31,14.8984375
2001-08-31,2.5
2001-09-30,7.203125
2001-10-31,23.5
2001-11-30,14.0
2001-12-31,13.8984375
2002-01-31,8.796875
2002-02-28,56.6015625
2002-03-31,8.1015625
2002-04-30,28.5
2002-05-31,2.796875
2002-06-30,15.703125
2002-07-31,0.0
2002-08-31,4.3984375
2002-09-30,23.3984375
2002-10-31,0.5
2002-11-30,0.5
2002-12-31,11.6015625
2003-01-31,16.296875
2003-02-28,55.5
2003-03-31,10.6015625
2003-04-30,57.796875
2003-05-31,16.5
2003-06-30,26.8984375
2003-07-31,20.1015625
2003-08-31,46.796875
2003-09-30,2.703125
2003-10-31,16.3984375
2003-11-30,15.6015625
2003-12-31,45.203125
2004-01-31,30.203125
2004-02-29,15.703125
2004-03-31,17.296875
2004-04-30,30.5
2004-05-31,25.3984375
2004-06-30,31.0
2004-07-31,24.5
2004-08-31,16.1015625
2004-09-30,9.1015625
2004-10-31,6.6015625
2004-11-30,42.703125
2004-12-31,45.703125
2005-01-31,13.203125
2005-02-28,0.296875
2005-03-31,2.796875
2005-04-30,0.0
2005-05-31,11.5
2005-06-30,151.703125
2005-07-31,9.796875
2005-08-31,16.703125
2005-09-30,47.6015625
2005-10-31,19.8984375
2005-11-30,22.1015625
2005-12-31,2.8984375
2006-01-31,23.203125
2006-02-28,14.703125
2006-03-31,16.5
2006-04-30,1.8984375
2006-05-31,0.203125
2006-06-30,45.1015625
2006-07-31,42.6015625
2006-08-31,3.296875
2006-09-30,3.3984375
2006-10-31,0.296875
2006-11-30,10.296875
2006-12-31,28.8984375
2007-01-31,55.703125
2007-02-28,16.703125
2007-03-31,13.3984375
2007-04-30,7.1015625
2007-05-31,53.703125
2007-06-30,22.3984375
2007-07-31,1.3984375
2007-08-31,2.3984375
2007-09-30,0.0
2007-10-31,16.3984375
2007-11-30,29.8984375
2007-12-31,200.8984375
2008-01-31,77.203125
2008-02-29,58.296875
2008-03-31,23.0
2008-04-30,0.0
2008-05-31,5.8984375
2008-06-30,68.1015625
2008-07-31,2.0
2008-08-31,19.3984375
2008-09-30,12.796875
2008-10-31,15.0
2008-11-30,66.3984375
2008-12-31,40.3984375
2009-01-31,12.5
2009-02-28,122.703125
2009-03-31,1.703125
2009-04-30,20.796875
2009-05-31,64.703125
2009-06-30,53.203125
2009-07-31,9.5
2009-08-31,0.6015625
2009-09-30,29.703125
2009-10-31,27.203125
2009-11-30,3.0
2009-12-31,91.6015625
2010-01-31,48.8984375
2010-02-28,146.703125
2010-03-31,37.1015625
2010-04-30,43.0
2010-05-31,20.1015625
2010-06-30,26.796875
2010-07-31,81.203125
2010-08-31,19.5
2010-09-30,63.703125
2010-10-31,80.296875
2010-11-30,88.0
2010-12-31,79.5
2011-01-31,17.796875
2011-02-28,44.3984375
2011-03-31,25.0
2011-04-30,10.203125
2011-05-31,20.796875
2011-06-30,5.296875
2011-07-31,20.703125
2011-08-31,7.703125
2011-09-30,58.296875
2011-10-31,12.296875
2011-11-30,97.8984375
2011-12-31,84.0
2012-01-31,140.296875
2012-02-29,52.8984375
2012-03-31,89.703125
2012-04-30,0.203125
2012-05-31,17.8984375
2012-06-30,25.1015625
2012-07-31,36.6015625
2012-08-31,0.3984375
2012-09-30,15.6015625
2012-10-31,0.5
2012-11-30,34.703125
2012-12-31,14.0
2013-01-31,14.203125
2013-02-28,3.8984375
2013-03-31,80.6015625
2013-04-30,0.0
2013-05-31,18.5
2013-06-30,47.0
2013-07-31,13.8984375
2013-08-31,0.6015625
2013-09-30,24.796875
2013-10-31,7.296875
2013-11-30,4.5
2013-12-31,8.703125
2014-01-31,7.5
2014-02-28,42.5
2014-03-31,85.8984375
2014-04-30,29.6015625
2014-05-31,5.3984375
2014-06-30,43.3984375
2014-07-31,13.203125
2014-08-31,30.8984375
2014-09-30,14.0
2014-10-31,2.796875
2014-11-30,3.203125
2014-12-31,47.203125
2015-01-31,44.6015625
2015-02-28,5.703125
2015-03-31,4.296875
2015-04-30,26.0
2015-05-31,37.3984375
2015-06-30,94.796875
2015-07-31,25.8984375
2015-08-31,17.3984375
2015-09-30,1.203125
2015-10-31,34.5
2015-11-30,60.203125
2015-12-31,15.6015625
2016-01-31,21.5
2016-02-29,1.203125
2016-03-31,11.296875
2016-04-30,14.6015625
2016-05-31,63.203125
2016-06-30,108.3984375
2016-07-31,6.296875
2016-08-31,37.296875
2016-09-30,88.6015625
2016-10-31,20.0
2016-11-30,2.6015625
2016-12-31,20.296875
2017-01-31,17.203125
2017-02-28,5.796875
2017-03-31,36.796875
2017-04-30,6.5
2017-05-31,3.1015625
2017-06-30,13.3984375
2017-07-31,2.0
2017-08-31,11.703125
2017-09-30,1.796875
2017-10-31,75.296875
2017-11-30,30.0
2017-12-31,19.1015625
2018-01-31,6.5
2018-02-28,3.1015625
2018-03-31,12.796875
2018-04-30,14.203125
2018-05-31,2.1015625
2018-06-30,29.203125
2018-07-31,3.1015625
2018-08-31,19.796875
2018-09-30,2.296875
2018-10-31,36.203125
2018-11-30,41.6015625
2018-12-31,4.0
2019-01-31,6.296875
2019-02-28,4.8984375
2019-03-31,18.3984375
2019-04-30,14.6015625
2019-05-31,11.703125
2019-06-30,2.0
2019-07-31,6.796875
2019-08-31,0.8984375
2019-09-30,1.3984375
2019-10-31,1.703125
2019-11-30,60.296875
2019-12-31,0.0
2020-01-31,43.703125
2020-02-29,19.203125
2020-03-31,56.203125
2020-04-30,65.796875
2020-05-31,22.203125
2020-06-30,12.8984375
2020-07-31,15.5
2020-08-31,38.1015625
2020-09-30,26.296875
2020-10-31,37.0
2020-11-30,2.296875
2020-12-31,53.203125
2021-01-31,56.8984375
2021-02-28,124.6015625
2021-03-31,90.8984375
2021-04-30,0.203125
2021-05-31,6.8984375
2021-06-30,29.3984375
2021-07-31,13.0
2021-08-31,9.1015625
2021-09-30,29.1015625
2021-10-31,7.0
2021-11-30,104.3984375
2021-12-31,97.296875
2022-01-31,59.203125
2022-02-28,36.8984375
2022-03-31,30.296875
