,Rainfall
2000-01-31,13.296875
2000-02-29,11.8984375
2000-03-31,77.6015625
2000-04-30,49.5
2000-05-31,45.1015625
2000-06-30,50.8984375
2000-07-31,31.203125
2000-08-31,85.296875
2000-09-30,23.0
2000-10-31,69.0
2000-11-30,87.5
2000-12-31,26.3984375
2001-01-31,8.3984375
2001-02-28,30.0
2001-03-31,39.3984375
2001-04-30,45.203125
2001-05-31,19.0
2001-06-30,58.8984375
2001-07-31,48.203125
2001-08-31,54.8984375
2001-09-30,40.5
2001-10-31,53.203125
2001-11-30,37.703125
2001-12-31,12.8984375
2002-01-31,20.703125
2002-02-28,175.0
2002-03-31,28.8984375
2002-04-30,40.3984375
2002-05-31,26.1015625
2002-06-30,21.1015625
2002-07-31,22.6015625
2002-08-31,10.5
2002-09-30,45.703125
2002-10-31,0.203125
2002-11-30,6.1015625
2002-12-31,19.8984375
2003-01-31,30.296875
2003-02-28,74.296875
2003-03-31,11.703125
2003-04-30,20.8984375
2003-05-31,9.1015625
2003-06-30,62.1015625
2003-07-31,55.703125
2003-08-31,64.3984375
2003-09-30,22.0
2003-10-31,40.6015625
2003-11-30,23.0
2003-12-31,34.796875
2004-01-31,48.5
2004-02-29,52.0
2004-03-31,19.296875
2004-04-30,5.203125
2004-05-31,27.203125
2004-06-30,66.8984375
2004-07-31,40.6015625
2004-08-31,60.703125
2004-09-30,46.3984375
2004-10-31,45.3984375
2004-11-30,66.6015625
2004-12-31,106.703125
2005-01-31,71.0
2005-02-28,72.1015625
2005-03-31,20.703125
2005-04-30,2.796875
2005-05-31,1.0
2005-06-30,70.8984375
2005-07-31,58.703125
2005-08-31,37.5
2005-09-30,121.796875
2005-10-31,67.296875
2005-11-30,107.796875
2005-12-31,27.8984375
2006-01-31,61.1015625
2006-02-28,21.203125
2006-03-31,18.796875
2006-04-30,5.796875
2006-05-31,2.6015625
2006-06-30,28.3984375
2006-07-31,62.6015625
2006-08-31,5.796875
2006-09-30,13.203125
2006-10-31,0.203125
2006-11-30,8.8984375
2006-12-31,22.5
2007-01-31,43.703125
2007-02-28,69.703125
2007-03-31,20.1015625
2007-04-30,29.703125
2007-05-31,52.1015625
2007-06-30,63.203125
2007-07-31,36.1015625
2007-08-31,14.703125
2007-09-30,7.796875
2007-10-31,10.3984375
2007-11-30,85.796875
2007-12-31,103.296875
2008-01-31,72.796875
2008-02-29,45.203125
2008-03-31,18.796875
2008-04-30,18.296875
2008-05-31,12.3984375
2008-06-30,54.3984375
2008-07-31,64.1015625
2008-08-31,43.8984375
2008-09-30,55.703125
2008-10-31,46.8984375
2008-11-30,60.3984375
2008-12-31,45.1015625
2009-01-31,22.1015625
2009-02-28,21.5
2009-03-31,34.0
2009-04-30,54.6015625
2009-05-31,11.6015625
2009-06-30,59.296875
2009-07-31,47.5
2009-08-31,13.0
2009-09-30,26.796875
2009-10-31,30.796875
2009-11-30,10.3984375
2009-12-31,55.296875
2010-01-31,30.296875
2010-02-28,149.6015625
2010-03-31,66.0
2010-04-30,54.3984375
2010-05-31,50.203125
2010-06-30,22.5
2010-07-31,96.8984375
2010-08-31,71.8984375
2010-09-30,56.796875
2010-10-31,64.0
2010-11-30,119.296875
2010-12-31,194.3984375
2011-01-31,32.0
2011-02-28,70.3984375
2011-03-31,54.1015625
2011-04-30,30.703125
2011-05-31,54.703125
2011-06-30,15.8984375
2011-07-31,17.703125
2011-08-31,53.296875
2011-09-30,34.6015625
2011-10-31,43.5
2011-11-30,118.703125
2011-12-31,129.1015625
2012-01-31,76.3984375
2012-02-29,95.5
2012-03-31,181.203125
2012-04-30,9.5
2012-05-31,35.796875
2012-06-30,55.1015625
2012-07-31,45.296875
2012-08-31,20.796875
2012-09-30,42.703125
2012-10-31,14.3984375
2012-11-30,14.296875
2012-12-31,20.3984375
2013-01-31,11.3984375
2013-02-28,58.296875
2013-03-31,64.5
2013-04-30,1.0
2013-05-31,25.796875
2013-06-30,108.5
2013-07-31,39.8984375
2013-08-31,26.3984375
2013-09-30,32.703125
2013-10-31,14.0
2013-11-30,38.703125
2013-12-31,33.0
2014-01-31,32.1015625
2014-02-28,50.1015625
2014-03-31,110.203125
2014-04-30,28.8984375
2014-05-31,44.703125
2014-06-30,60.296875
2014-07-31,33.296875
2014-08-31,16.296875
2014-09-30,32.203125
2014-10-31,41.203125
2014-11-30,15.703125
2014-12-31,75.796875
2015-01-31,76.8984375
2015-02-28,21.796875
2015-03-31,9.1015625
2015-04-30,99.796875
2015-05-31,32.3984375
2015-06-30,24.296875
2015-07-31,88.703125
2015-08-31,97.6015625
2015-09-30,8.703125
2015-10-31,23.6015625
2015-11-30,74.8984375
2015-12-31,44.8984375
2016-01-31,87.3984375
2016-02-29,1.0
2016-03-31,26.703125
2016-04-30,38.1015625
2016-05-31,72.1015625
2016-06-30,109.6015625
2016-07-31,95.296875
2016-08-31,48.203125
2016-09-30,144.796875
2016-10-31,54.3984375
2016-11-30,40.296875
2016-12-31,66.703125
2017-01-31,32.203125
2017-02-28,1.3984375
2017-03-31,145.6015625
2017-04-30,29.5
2017-05-31,29.1015625
2017-06-30,3.796875
2017-07-31,16.0
2017-08-31,42.0
2017-09-30,16.1015625
2017-10-31,50.5
2017-11-30,51.3984375
2017-12-31,108.703125
2018-01-31,29.203125
2018-02-28,28.6015625
2018-03-31,3.8984375
2018-04-30,9.703125
2018-05-31,30.296875
2018-06-30,21.5
2018-07-31,5.0
2018-08-31,26.203125
2018-09-30,16.203125
2018-10-31,39.296875
2018-11-30,80.8984375
2018-12-31,42.6015625
2019-01-31,62.1015625
2019-02-28,31.5
2019-03-31,56.6015625
2019-04-30,0.703125
2019-05-31,32.8984375
2019-06-30,33.6015625
2019-07-31,16.703125
2019-08-31,19.3984375
2019-09-30,18.796875
2019-10-31,8.8984375
2019-11-30,17.703125
2019-12-31,9.703125
2020-01-31,39.296875
2020-02-29,56.5
2020-03-31,76.296875
2020-04-30,118.796875
2020-05-31,52.0
2020-06-30,52.203125
2020-07-31,81.1015625
2020-08-31,59.0
2020-09-30,40.5
2020-10-31,92.703125
2020-11-30,42.8984375
2020-12-31,43.1015625
2021-01-31,69.703125
2021-02-28,81.796875
2021-03-31,99.0
2021-04-30,2.1015625
2021-05-31,35.3984375
2021-06-30,78.8984375
2021-07-31,75.8984375
2021-08-31,71.0
2021-09-30,70.6015625
2021-10-31,47.296875
2021-11-30,168.8984375
2021-12-31,35.703125
2022-01-31,126.8984375
2022-02-28,15.5
2022-03-31,40.8984375
