,Rainfall
2000-01-31,33.6015625
2000-02-29,15.3984375
2000-03-31,124.796875
2000-04-30,59.6015625
2000-05-31,92.1015625
2000-06-30,81.6015625
2000-07-31,58.1015625
2000-08-31,130.296875
2000-09-30,65.6015625
2000-10-31,107.3984375
2000-11-30,113.0
2000-12-31,33.703125
2001-01-31,19.1015625
2001-02-28,64.296875
2001-03-31,57.296875
2001-04-30,67.3984375
2001-05-31,16.1015625
2001-06-30,61.8984375
2001-07-31,62.5
2001-08-31,94.8984375
2001-09-30,63.796875
2001-10-31,77.3984375
2001-11-30,50.296875
2001-12-31,17.5
2002-01-31,35.296875
2002-02-28,191.796875
2002-03-31,31.6015625
2002-04-30,21.5
2002-05-31,49.3984375
2002-06-30,34.3984375
2002-07-31,39.6015625
2002-08-31,22.0
2002-09-30,54.796875
2002-10-31,0.3984375
2002-11-30,15.8984375
2002-12-31,36.1015625
2003-01-31,34.203125
2003-02-28,103.6015625
2003-03-31,27.796875
2003-04-30,29.703125
2003-05-31,21.3984375
2003-06-30,83.8984375
2003-07-31,61.3984375
2003-08-31,102.703125
2003-09-30,45.0
2003-10-31,70.6015625
2003-11-30,67.796875
2003-12-31,65.796875
2004-01-31,57.0
2004-02-29,77.1015625
2004-03-31,31.1015625
2004-04-30,4.5
2004-05-31,40.1015625
2004-06-30,101.1015625
2004-07-31,52.6015625
2004-08-31,95.5
2004-09-30,62.0
2004-10-31,56.203125
2004-11-30,97.5
2004-12-31,74.3984375
2005-01-31,72.1015625
2005-02-28,56.3984375
2005-03-31,21.1015625
2005-04-30,5.703125
2005-05-31,3.8984375
2005-06-30,93.5
2005-07-31,94.3984375
2005-08-31,57.203125
2005-09-30,132.5
2005-10-31,77.0
2005-11-30,125.8984375
2005-12-31,42.796875
2006-01-31,141.5
2006-02-28,41.3984375
2006-03-31,15.203125
2006-04-30,7.5
2006-05-31,10.0
2006-06-30,33.1015625
2006-07-31,66.8984375
2006-08-31,10.5
2006-09-30,25.6015625
2006-10-31,2.0
2006-11-30,17.703125
2006-12-31,43.0
2007-01-31,56.203125
2007-02-28,76.6015625
2007-03-31,43.296875
2007-04-30,31.203125
2007-05-31,77.0
2007-06-30,94.796875
2007-07-31,61.203125
2007-08-31,28.6015625
2007-09-30,11.8984375
