,Rainfall
2000-01-31,146.203125
2000-02-29,37.8984375
2000-03-31,56.296875
2000-04-30,99.703125
2000-05-31,97.5
2000-06-30,46.5
2000-07-31,18.296875
2000-08-31,13.796875
2000-09-30,1.8984375
2000-10-31,65.0
2000-11-30,82.296875
2000-12-31,87.1015625
2001-01-31,102.796875
2001-02-28,380.703125
2001-03-31,244.796875
2001-04-30,64.6015625
2001-05-31,69.1015625
2001-06-30,11.796875
2001-07-31,33.8984375
2001-08-31,15.203125
2001-09-30,28.796875
2001-10-31,62.8984375
2001-11-30,207.203125
2001-12-31,44.203125
2002-01-31,40.703125
2002-02-28,90.5
2002-03-31,107.796875
2002-04-30,54.1015625
2002-05-31,56.6015625
2002-06-30,121.796875
2002-07-31,2.1015625
2002-08-31,34.6015625
2002-09-30,6.3984375
2002-10-31,30.8984375
2002-11-30,23.6015625
2002-12-31,71.1015625
2003-01-31,16.203125
2003-02-28,184.796875
2003-03-31,99.8984375
2003-04-30,116.796875
2003-05-31,102.703125
2003-06-30,55.8984375
2003-07-31,19.5
2003-08-31,4.3984375
2003-09-30,4.5
2003-10-31,121.5
2003-11-30,29.6015625
2003-12-31,94.8984375
2004-01-31,155.6015625
2004-02-29,230.5
2004-03-31,220.296875
2004-04-30,87.203125
2004-05-31,8.5
2004-06-30,5.0
2004-07-31,10.203125
2004-08-31,4.3984375
2004-09-30,13.0
2004-10-31,128.0
2004-11-30,127.8984375
2004-12-31,101.6015625
2005-01-31,142.0
2005-02-28,34.1015625
2005-03-31,57.703125
2005-04-30,137.1015625
2005-05-31,77.0
2005-06-30,228.0
2005-07-31,16.6015625
2005-08-31,7.1015625
2005-09-30,39.703125
2005-10-31,73.5
2005-11-30,67.296875
2005-12-31,81.8984375
2006-01-31,341.296875
2006-02-28,117.296875
2006-03-31,236.1015625
2006-04-30,99.3984375
2006-05-31,20.796875
2006-06-30,43.5
2006-07-31,35.5
2006-08-31,66.3984375
2006-09-30,130.203125
2006-10-31,21.1015625
2006-11-30,157.6015625
2006-12-31,105.6015625
2007-01-31,110.703125
2007-02-28,92.296875
2007-03-31,112.6015625
2007-04-30,39.296875
2007-05-31,29.8984375
2007-06-30,69.3984375
2007-07-31,1.296875
2007-08-31,109.203125
2007-09-30,76.0
2007-10-31,67.6015625
2007-11-30,143.203125
2007-12-31,112.3984375
2008-01-31,365.3984375
2008-02-29,202.5
2008-03-31,51.0
2008-04-30,137.6015625
2008-05-31,45.1015625
2008-06-30,65.703125
2008-07-31,64.1015625
2008-08-31,25.6015625
2008-09-30,76.6015625
2008-10-31,32.1015625
2008-11-30,165.796875
2008-12-31,117.296875
2009-01-31,60.703125
