,Rainfall
2000-01-31,5.1015625
2000-02-29,124.703125
2000-03-31,64.6015625
2000-04-30,76.203125
2000-05-31,90.5
2000-06-30,16.203125
2000-07-31,18.796875
2000-08-31,37.796875
2000-09-30,5.703125
2000-10-31,55.0
2000-11-30,141.296875
2000-12-31,11.203125
2001-01-31,4.8984375
2001-02-28,84.703125
2001-03-31,48.0
2001-04-30,0.8984375
2001-05-31,32.296875
2001-06-30,66.703125
2001-07-31,20.0
2001-08-31,6.296875
2001-09-30,7.6015625
2001-10-31,29.796875
2001-11-30,20.796875
2001-12-31,19.796875
2002-01-31,2.1015625
2002-02-28,123.3984375
2002-03-31,3.3984375
2002-04-30,24.296875
2002-05-31,6.0
2002-06-30,2.6015625
2002-07-31,0.296875
2002-08-31,2.8984375
2002-09-30,34.203125
2002-10-31,0.0
2002-11-30,0.796875
2002-12-31,8.203125
2003-01-31,6.296875
2003-02-28,74.796875
2003-03-31,5.5
2003-04-30,43.8984375
2003-05-31,13.296875
2003-06-30,27.1015625
2003-07-31,29.3984375
2003-08-31,71.796875
2003-09-30,3.203125
2003-10-31,50.6015625
2003-11-30,10.1015625
2003-12-31,55.6015625
2004-01-31,35.5
2004-02-29,13.203125
2004-03-31,0.703125
2004-04-30,5.703125
2004-05-31,42.8984375
2004-06-30,42.3984375
2004-07-31,23.203125
2004-08-31,17.5
2004-09-30,11.3984375
2004-10-31,35.1015625
2004-11-30,13.796875
2004-12-31,43.0
2005-01-31,1.703125
2005-02-28,1.6015625
2005-03-31,3.8984375
2005-04-30,0.703125
2005-05-31,0.203125
2005-06-30,123.6015625
2005-07-31,14.296875
2005-08-31,25.796875
2005-09-30,58.703125
2005-10-31,10.703125
2005-11-30,6.8984375
2005-12-31,2.3984375
2006-01-31,52.1015625
2006-02-28,1.6015625
2006-03-31,60.796875
2006-04-30,3.5
2006-05-31,3.703125
2006-06-30,88.796875
2006-07-31,37.6015625
2006-08-31,0.796875
2006-09-30,22.296875
2006-10-31,0.3984375
2006-11-30,9.6015625
2006-12-31,10.703125
2007-01-31,23.3984375
2007-02-28,10.203125
2007-03-31,22.203125
2007-04-30,10.796875
2007-05-31,45.0
2007-06-30,17.0
2007-07-31,2.296875
2007-08-31,14.1015625
2007-09-30,0.0
2007-10-31,11.296875
2007-11-30,144.203125
2007-12-31,101.796875
2008-01-31,153.1015625
2008-02-29,64.5
