,Rainfall
2000-01-31,41.3984375
2000-02-29,20.6015625
2000-03-31,209.5
2000-04-30,67.1015625
2000-05-31,22.703125
2000-06-30,43.8984375
2000-07-31,14.296875
2000-08-31,37.6015625
2000-09-30,88.1015625
2000-10-31,35.0
2000-11-30,183.6015625
2000-12-31,24.703125
2001-01-31,55.5
2001-02-28,121.6015625
2001-03-31,89.3984375
2001-04-30,51.0
2001-05-31,26.703125
2001-06-30,19.1015625
2001-07-31,188.5
2001-08-31,120.0
2001-09-30,68.1015625
2001-10-31,63.203125
2001-11-30,86.203125
2001-12-31,50.8984375
2002-01-31,91.5
2002-02-28,200.5
2002-03-31,35.203125
2002-04-30,152.3984375
2002-05-31,34.1015625
2002-06-30,9.796875
2002-07-31,4.1015625
2002-08-31,7.3984375
2002-09-30,21.0
2002-10-31,14.203125
2002-11-30,29.203125
2002-12-31,14.1015625
2003-01-31,28.8984375
2003-02-28,198.0
2003-03-31,112.6015625
2003-04-30,129.6015625
2003-05-31,160.1015625
2003-06-30,9.296875
2003-07-31,23.6015625
2003-08-31,24.3984375
2003-09-30,15.1015625
2003-10-31,88.1015625
2003-11-30,96.203125
2003-12-31,69.296875
2004-01-31,74.8984375
2004-02-29,61.703125
2004-03-31,27.796875
2004-04-30,62.3984375
2004-05-31,10.8984375
2004-06-30,0.5
2004-07-31,23.0
2004-08-31,23.8984375
2004-09-30,45.796875
2004-10-31,147.1015625
2004-11-30,67.8984375
2004-12-31,158.796875
2005-01-31,72.6015625
2005-02-28,56.6015625
2005-03-31,59.1015625
2005-04-30,28.5
2005-05-31,18.6015625
2005-06-30,69.1015625
2005-07-31,180.203125
2005-08-31,5.6015625
2005-09-30,55.0
2005-10-31,131.0
2005-11-30,116.796875
2005-12-31,43.8984375
2006-01-31,61.8984375
2006-02-28,29.703125
2006-03-31,39.3984375
2006-04-30,17.296875
2006-05-31,140.203125
2006-06-30,91.0
2006-07-31,87.203125
2006-08-31,34.5
2006-09-30,52.203125
2006-10-31,11.6015625
2006-11-30,46.0
2006-12-31,84.3984375
2007-01-31,25.203125
2007-02-28,302.5
2007-03-31,87.8984375
2007-04-30,42.296875
2007-05-31,16.6015625
2007-06-30,343.3984375
2007-07-31,25.5
2007-08-31,43.203125
2007-09-30,19.8984375
2007-10-31,45.3984375
2007-11-30,131.6015625
2007-12-31,90.296875
2008-01-31,93.1015625
2008-02-29,179.796875
2008-03-31,43.6015625
2008-04-30,49.3984375
2008-05-31,12.1015625
2008-06-30,67.6015625
2008-07-31,11.1015625
2008-08-31,79.1015625
2008-09-30,21.5
2008-10-31,21.703125
2008-11-30,116.5
2008-12-31,62.3984375
2009-01-31,17.5
2009-02-28,65.703125
2009-03-31,32.796875
2009-04-30,78.203125
2009-05-31,35.203125
2009-06-30,61.3984375
2009-07-31,9.3984375
2009-08-31,11.3984375
2009-09-30,33.0
2009-10-31,92.203125
2009-11-30,29.796875
2009-12-31,55.1015625
2010-01-31,51.0
2010-02-28,636.3984375
