,Rainfall
2000-01-31,19.296875
2000-02-29,55.1015625
2000-03-31,20.5
2000-04-30,32.8984375
2000-05-31,67.8984375
2000-06-30,44.296875
2000-07-31,22.296875
2000-08-31,57.5
2000-09-30,26.6015625
2000-10-31,39.296875
2000-11-30,59.3984375
2000-12-31,4.1015625
2001-01-31,67.1015625
2001-02-28,38.6015625
2001-03-31,25.0
2001-04-30,26.1015625
2001-05-31,8.203125
2001-06-30,27.703125
2001-07-31,30.1015625
2001-08-31,30.1015625
2001-09-30,36.0
2001-10-31,60.703125
2001-11-30,7.5
2001-12-31,2.5
2002-01-31,7.8984375
2002-02-28,85.3984375
2002-03-31,26.1015625
2002-04-30,4.296875
2002-05-31,12.0
2002-06-30,26.1015625
2002-07-31,6.5
2002-08-31,10.203125
2002-09-30,21.296875
2002-10-31,0.296875
2002-11-30,3.5
2002-12-31,0.796875
2003-01-31,21.203125
2003-02-28,74.296875
2003-03-31,0.0
2003-04-30,18.5
2003-05-31,17.0
2003-06-30,36.796875
2003-07-31,68.1015625
2003-08-31,63.6015625
2003-09-30,18.703125
2003-10-31,45.8984375
2003-11-30,44.3984375
2003-12-31,65.296875
2004-01-31,18.796875
2004-02-29,2.0
2004-03-31,0.296875
2004-04-30,14.0
2004-05-31,26.3984375
2004-06-30,54.796875
2004-07-31,24.1015625
2004-08-31,45.1015625
2004-09-30,18.6015625
2004-10-31,4.796875
2004-11-30,50.296875
2004-12-31,34.296875
2005-01-31,23.0
2005-02-28,60.1015625
2005-03-31,2.703125
2005-04-30,6.6015625
2005-05-31,4.6015625
2005-06-30,88.8984375
2005-07-31,54.796875
2005-08-31,66.6015625
2005-09-30,41.703125
2005-10-31,45.6015625
2005-11-30,42.5
2005-12-31,22.8984375
2006-01-31,14.5
2006-02-28,12.6015625
2006-03-31,9.703125
2006-04-30,13.5
2006-05-31,3.3984375
2006-06-30,40.5
2006-07-31,49.3984375
2006-08-31,10.796875
2006-09-30,17.3984375
2006-10-31,0.6015625
2006-11-30,19.6015625
2006-12-31,2.1015625
2007-01-31,18.1015625
2007-02-28,37.1015625
2007-03-31,33.796875
2007-04-30,34.1015625
2007-05-31,35.796875
2007-06-30,19.203125
2007-07-31,33.0
2007-08-31,5.5
2007-09-30,2.0
2007-10-31,13.5
2007-11-30,81.1015625
2007-12-31,97.296875
2008-01-31,37.1015625
2008-02-29,17.203125
2008-03-31,9.203125
2008-04-30,17.5
2008-05-31,9.1015625
2008-06-30,17.1015625
2008-07-31,27.8984375
2008-08-31,24.703125
2008-09-30,17.1015625
2008-10-31,8.1015625
2008-11-30,54.1015625
2008-12-31,53.3984375
2009-01-31,4.8984375
2009-02-28,3.296875
2009-03-31,4.0
2009-04-30,36.703125
2009-05-31,5.703125
2009-06-30,85.203125
2009-07-31,21.3984375
2009-08-31,18.203125
2009-09-30,16.8984375
2009-10-31,5.703125
2009-11-30,34.796875
2009-12-31,26.0
2010-01-31,9.0
2010-02-28,45.5
2010-03-31,59.703125
2010-04-30,18.5
2010-05-31,51.0
2010-06-30,19.1015625
2010-07-31,42.0
2010-08-31,36.3984375
2010-09-30,49.6015625
2010-10-31,123.5
2010-11-30,61.1015625
2010-12-31,43.5
2011-01-31,56.1015625
2011-02-28,162.8984375
2011-03-31,36.703125
2011-04-30,19.0
2011-05-31,24.0
2011-06-30,17.1015625
2011-07-31,23.6015625
2011-08-31,51.3984375
2011-09-30,26.0
2011-10-31,17.703125
2011-11-30,46.703125
2011-12-31,27.296875
2012-01-31,32.5
2012-02-29,49.1015625
2012-03-31,136.1015625
2012-04-30,11.296875
2012-05-31,9.703125
2012-06-30,11.296875
2012-07-31,35.1015625
2012-08-31,25.3984375
2012-09-30,6.203125
2012-10-31,6.5
2012-11-30,25.3984375
2012-12-31,21.0
2013-01-31,2.0
2013-02-28,30.703125
2013-03-31,46.3984375
2013-04-30,5.1015625
2013-05-31,39.5
2013-06-30,48.1015625
2013-07-31,33.3984375
2013-08-31,20.296875
2013-09-30,24.296875
2013-10-31,8.6015625
2013-11-30,19.5
2013-12-31,23.1015625
2014-01-31,27.8984375
2014-02-28,38.3984375
2014-03-31,51.703125
2014-04-30,33.1015625
2014-05-31,31.8984375
2014-06-30,56.796875
2014-07-31,12.1015625
2014-08-31,6.796875
2014-09-30,22.1015625
2014-10-31,11.3984375
2014-11-30,28.703125
2014-12-31,19.0
2015-01-31,41.3984375
2015-02-28,52.3984375
2015-03-31,0.0
2015-04-30,44.796875
2015-05-31,5.8984375
2015-06-30,96.1015625
2015-07-31,31.703125
2015-08-31,44.5
2015-09-30,12.796875
2015-10-31,9.703125
2015-11-30,52.3984375
2015-12-31,22.296875
2016-01-31,46.296875
2016-02-29,13.203125
2016-03-31,12.796875
2016-04-30,10.703125
2016-05-31,73.203125
2016-06-30,99.0
2016-07-31,54.203125
2016-08-31,59.5
2016-09-30,118.296875
2016-10-31,27.0
2016-11-30,28.1015625
2016-12-31,29.0
2017-01-31,7.703125
2017-02-28,7.6015625
2017-03-31,42.6015625
2017-04-30,31.0
2017-05-31,37.296875
2017-06-30,0.703125
2017-07-31,17.203125
2017-08-31,23.296875
2017-09-30,3.5
2017-10-31,45.203125
2017-11-30,35.203125
2017-12-31,98.296875
2018-01-31,20.6015625
2018-02-28,3.296875
2018-03-31,2.703125
2018-04-30,0.703125
2018-05-31,23.796875
2018-06-30,23.796875
2018-07-31,7.296875
