,Rainfall
2000-01-31,32.8984375
2000-02-29,43.296875
2000-03-31,126.5
2000-04-30,30.1015625
2000-05-31,42.1015625
2000-06-30,35.3984375
2000-07-31,24.296875
2000-08-31,13.1015625
2000-09-30,3.8984375
2000-10-31,95.6015625
2000-11-30,225.8984375
2000-12-31,3.6015625
2001-01-31,102.796875
2001-02-28,35.203125
2001-03-31,40.6015625
2001-04-30,36.796875
2001-05-31,16.6015625
2001-06-30,48.296875
2001-07-31,48.6015625
2001-08-31,3.5
2001-09-30,20.296875
2001-10-31,51.6015625
2001-11-30,46.3984375
2001-12-31,29.1015625
2002-01-31,6.203125
2002-02-28,59.296875
2002-03-31,29.8984375
2002-04-30,24.703125
2002-05-31,1.1015625
2002-06-30,20.8984375
2002-07-31,0.6015625
2002-08-31,11.0
2002-09-30,14.6015625
2002-10-31,4.0
2002-11-30,5.703125
2002-12-31,33.203125
2003-01-31,7.703125
2003-02-28,65.203125
2003-03-31,22.296875
2003-04-30,58.3984375
2003-05-31,1.703125
2003-06-30,9.3984375
2003-07-31,19.3984375
2003-08-31,51.203125
2003-09-30,0.203125
2003-10-31,33.5
2003-11-30,24.6015625
2003-12-31,29.3984375
2004-01-31,167.796875
2004-02-29,48.703125
2004-03-31,150.0
2004-04-30,24.8984375
2004-05-31,17.8984375
2004-06-30,13.203125
2004-07-31,28.703125
2004-08-31,25.8984375
2004-09-30,27.703125
2004-10-31,13.5
2004-11-30,75.203125
2004-12-31,185.703125
2005-01-31,30.5
2005-02-28,35.5
2005-03-31,9.703125
2005-04-30,0.3984375
2005-05-31,31.6015625
2005-06-30,190.1015625
2005-07-31,9.8984375
2005-08-31,19.296875
2005-09-30,30.796875
2005-10-31,60.796875
2005-11-30,99.3984375
2005-12-31,43.6015625
2006-01-31,37.203125
2006-02-28,56.0
2006-03-31,37.6015625
2006-04-30,50.3984375
2006-05-31,0.0
2006-06-30,26.203125
2006-07-31,67.703125
2006-08-31,4.203125
2006-09-30,12.0
2006-10-31,2.3984375
2006-11-30,30.703125
2006-12-31,31.703125
2007-01-31,27.8984375
2007-02-28,54.296875
