,Rainfall
2000-01-31,67.703125
2000-02-29,17.0
2000-03-31,129.3984375
2000-04-30,76.1015625
2000-05-31,130.5
2000-06-30,49.6015625
2000-07-31,39.203125
2000-08-31,83.5
2000-09-30,13.1015625
2000-10-31,132.703125
2000-11-30,300.8984375
2000-12-31,43.6015625
2001-01-31,49.703125
2001-02-28,50.296875
2001-03-31,79.8984375
2001-04-30,30.1015625
2001-05-31,24.796875
2001-06-30,36.1015625
2001-07-31,98.203125
2001-08-31,20.1015625
2001-09-30,20.5
2001-10-31,81.3984375
2001-11-30,113.703125
2001-12-31,25.703125
2002-01-31,23.1015625
2002-02-28,93.6015625
2002-03-31,38.0
2002-04-30,24.8984375
2002-05-31,18.0
2002-06-30,56.8984375
2002-07-31,3.6015625
2002-08-31,6.203125
2002-09-30,49.703125
2002-10-31,9.0
2002-11-30,19.703125
2002-12-31,54.203125
2003-01-31,24.703125
2003-02-28,99.703125
2003-03-31,17.8984375
2003-04-30,160.796875
2003-05-31,7.0
2003-06-30,45.796875
2003-07-31,38.0
2003-08-31,128.0
2003-09-30,4.5
2003-10-31,57.0
2003-11-30,36.703125
2003-12-31,36.0
2004-01-31,97.6015625
2004-02-29,192.8984375
2004-03-31,46.703125
2004-04-30,39.5
2004-05-31,44.296875
2004-06-30,25.796875
2004-07-31,52.5
2004-08-31,51.5
2004-09-30,49.5
2004-10-31,37.5
2004-11-30,76.203125
2004-12-31,112.6015625
2005-01-31,69.203125
2005-02-28,28.703125
2005-03-31,50.1015625
2005-04-30,0.703125
2005-05-31,22.796875
2005-06-30,185.3984375
2005-07-31,35.6015625
2005-08-31,36.8984375
2005-09-30,100.0
2005-10-31,89.703125
2005-11-30,73.203125
2005-12-31,17.203125
2006-01-31,48.796875
2006-02-28,57.703125
2006-03-31,30.296875
2006-04-30,51.3984375
2006-05-31,0.1015625
2006-06-30,59.3984375
2006-07-31,110.3984375
2006-08-31,15.0
2006-09-30,12.5
2006-10-31,3.203125
2006-11-30,51.203125
2006-12-31,41.1015625
2007-01-31,66.796875
2007-02-28,99.796875
2007-03-31,68.796875
2007-04-30,15.796875
2007-05-31,67.3984375
2007-06-30,101.6015625
2007-07-31,9.6015625
2007-08-31,23.0
2007-09-30,1.5
2007-10-31,38.1015625
2007-11-30,94.8984375
2007-12-31,292.5
2008-01-31,90.6015625
2008-02-29,124.203125
2008-03-31,22.1015625
2008-04-30,20.3984375
2008-05-31,27.6015625
2008-06-30,50.5
2008-07-31,44.796875
2008-08-31,52.203125
2008-09-30,78.5
2008-10-31,74.0
2008-11-30,148.203125
2008-12-31,119.3984375
2009-01-31,38.1015625
2009-02-28,138.796875
2009-03-31,12.6015625
2009-04-30,46.296875
2009-05-31,29.0
2009-06-30,60.5
2009-07-31,28.5
2009-08-31,14.703125
2009-09-30,67.1015625
2009-10-31,56.296875
2009-11-30,9.6015625
2009-12-31,210.203125
2010-01-31,164.796875
2010-02-28,153.5
2010-03-31,90.5
2010-04-30,28.0
2010-05-31,43.796875
2010-06-30,43.203125
2010-07-31,130.703125
2010-08-31,100.0
2010-09-30,56.703125
2010-10-31,97.203125
2010-11-30,147.6015625
2010-12-31,291.203125
2011-01-31,37.1015625
2011-02-28,19.1015625
2011-03-31,56.3984375
2011-04-30,24.203125
2011-05-31,56.5
2011-06-30,17.703125
