,Rainfall
2000-01-31,34.5
2000-02-29,13.203125
2000-03-31,123.0
2000-04-30,31.3984375
2000-05-31,95.6015625
2000-06-30,30.1015625
2000-07-31,25.0
2000-08-31,22.0
2000-09-30,5.3984375
2000-10-31,82.5
2000-11-30,164.8984375
2000-12-31,20.5
2001-01-31,47.1015625
2001-02-28,21.8984375
2001-03-31,31.8984375
2001-04-30,21.296875
2001-05-31,15.6015625
2001-06-30,42.296875
2001-07-31,78.296875
2001-08-31,5.203125
2001-09-30,9.5
2001-10-31,48.8984375
2001-11-30,69.3984375
2001-12-31,18.6015625
2002-01-31,7.0
2002-02-28,55.796875
2002-03-31,27.6015625
2002-04-30,17.6015625
2002-05-31,0.296875
2002-06-30,24.703125
2002-07-31,1.0
2002-08-31,0.703125
2002-09-30,29.796875
2002-10-31,0.8984375
2002-11-30,15.5
2002-12-31,17.6015625
2003-01-31,19.5
2003-02-28,66.203125
2003-03-31,6.796875
2003-04-30,103.1015625
2003-05-31,4.203125
2003-06-30,46.203125
2003-07-31,37.5
2003-08-31,56.203125
2003-09-30,1.3984375
2003-10-31,28.296875
2003-11-30,28.296875
2003-12-31,44.1015625
2004-01-31,82.796875
2004-02-29,71.1015625
2004-03-31,52.203125
2004-04-30,41.703125
2004-05-31,16.0
2004-06-30,21.796875
2004-07-31,36.296875
2004-08-31,11.796875
2004-09-30,12.8984375
2004-10-31,20.796875
2004-11-30,39.5
2004-12-31,127.203125
2005-01-31,27.796875
2005-02-28,9.203125
2005-03-31,8.203125
2005-04-30,10.8984375
2005-05-31,11.796875
2005-06-30,183.8984375
2005-07-31,18.5
2005-08-31,11.3984375
2005-09-30,61.796875
2005-10-31,42.5
2005-11-30,62.796875
2005-12-31,14.296875
2006-01-31,34.8984375
2006-02-28,41.203125
2006-03-31,33.3984375
2006-04-30,19.6015625
2006-05-31,0.1015625
2006-06-30,37.296875
2006-07-31,70.8984375
2006-08-31,4.5
2006-09-30,29.3984375
2006-10-31,6.3984375
2006-11-30,36.6015625
2006-12-31,13.203125
2007-01-31,37.5
2007-02-28,94.296875
2007-03-31,17.6015625
2007-04-30,11.1015625
2007-05-31,47.5
2007-06-30,64.8984375
2007-07-31,2.296875
2007-08-31,4.8984375
2007-09-30,0.3984375
2007-10-31,27.8984375
2007-11-30,48.5
2007-12-31,285.296875
2008-01-31,65.296875
2008-02-29,107.6015625
2008-03-31,9.5
2008-04-30,2.3984375
2008-05-31,13.3984375
2008-06-30,44.8984375
2008-07-31,16.703125
2008-08-31,19.6015625
2008-09-30,49.8984375
2008-10-31,19.5
2008-11-30,133.203125
2008-12-31,70.0
2009-01-31,7.5
2009-02-28,191.0
2009-03-31,8.8984375
2009-04-30,74.3984375
2009-05-31,40.5
2009-06-30,71.203125
2009-07-31,13.3984375
2009-08-31,1.6015625
2009-09-30,44.0
2009-10-31,45.0
2009-11-30,9.1015625
2009-12-31,183.703125
2010-01-31,120.3984375
2010-02-28,83.0
2010-03-31,67.0
2010-04-30,55.203125
2010-05-31,19.8984375
2010-06-30,23.8984375
2010-07-31,84.0
2010-08-31,45.0
2010-09-30,61.0
2010-10-31,54.6015625
2010-11-30,136.1015625
2010-12-31,180.3984375
2011-01-31,17.8984375
2011-02-28,18.703125
2011-03-31,22.296875
2011-04-30,7.703125
2011-05-31,35.8984375
2011-06-30,15.1015625
2011-07-31,5.703125
2011-08-31,27.1015625
2011-09-30,59.5
2011-10-31,36.8984375
2011-11-30,76.203125
