,Rainfall
2000-01-31,35.796875
2000-02-29,19.6015625
2000-03-31,127.203125
2000-04-30,98.1015625
2000-05-31,60.5
2000-06-30,25.203125
2000-07-31,29.5
2000-08-31,27.203125
2000-09-30,15.3984375
2000-10-31,71.203125
2000-11-30,139.703125
2000-12-31,31.0
2001-01-31,56.8984375
2001-02-28,17.0
2001-03-31,57.0
2001-04-30,47.0
2001-05-31,30.6015625
2001-06-30,63.703125
2001-07-31,84.0
2001-08-31,14.3984375
2001-09-30,23.296875
2001-10-31,51.8984375
2001-11-30,43.3984375
2001-12-31,37.3984375
2002-01-31,12.1015625
2002-02-28,192.1015625
2002-03-31,16.8984375
2002-04-30,18.703125
2002-05-31,12.796875
2002-06-30,15.703125
2002-07-31,5.296875
2002-08-31,3.1015625
2002-09-30,31.1015625
2002-10-31,1.703125
2002-11-30,3.796875
2002-12-31,21.3984375
2003-01-31,41.203125
2003-02-28,73.1015625
2003-03-31,16.3984375
2003-04-30,48.296875
2003-05-31,2.296875
2003-06-30,61.6015625
2003-07-31,35.1015625
2003-08-31,81.0
2003-09-30,6.703125
2003-10-31,48.0
2003-11-30,28.296875
2003-12-31,34.5
2004-01-31,29.0
2004-02-29,45.203125
2004-03-31,11.796875
2004-04-30,23.3984375
2004-05-31,33.6015625
2004-06-30,48.3984375
2004-07-31,43.6015625
2004-08-31,25.1015625
2004-09-30,13.3984375
2004-10-31,35.203125
2004-11-30,57.8984375
2004-12-31,76.6015625
2005-01-31,31.203125
2005-02-28,34.796875
2005-03-31,12.703125
2005-04-30,7.3984375
2005-05-31,5.1015625
2005-06-30,105.203125
2005-07-31,30.1015625
2005-08-31,13.8984375
2005-09-30,75.6015625
2005-10-31,72.203125
2005-11-30,75.0
2005-12-31,26.203125
2006-01-31,59.203125
2006-02-28,41.6015625
2006-03-31,16.296875
2006-04-30,9.1015625
2006-05-31,0.296875
2006-06-30,36.6015625
2006-07-31,51.796875
2006-08-31,8.5
2006-09-30,6.8984375
2006-10-31,2.1015625
2006-11-30,16.203125
2006-12-31,29.203125
2007-01-31,15.0
2007-02-28,42.203125
2007-03-31,42.5
2007-04-30,20.296875
2007-05-31,40.1015625
2007-06-30,131.203125
2007-07-31,13.203125
2007-08-31,16.796875
2007-09-30,0.296875
2007-10-31,2.796875
2007-11-30,59.8984375
2007-12-31,149.3984375
2008-01-31,121.203125
2008-02-29,54.0
2008-03-31,23.3984375
2008-04-30,1.8984375
2008-05-31,6.703125
2008-06-30,43.5
2008-07-31,30.796875
2008-08-31,26.8984375
2008-09-30,47.796875
2008-10-31,50.296875
2008-11-30,92.3984375
2008-12-31,49.0
2009-01-31,11.6015625
2009-02-28,76.1015625
2009-03-31,21.1015625
2009-04-30,61.8984375
2009-05-31,8.296875
2009-06-30,82.1015625
2009-07-31,27.6015625
2009-08-31,5.796875
2009-09-30,33.296875
2009-10-31,35.0
2009-11-30,8.1015625
2009-12-31,161.3984375
2010-01-31,21.6015625
2010-02-28,124.8984375
2010-03-31,76.203125
2010-04-30,78.1015625
2010-05-31,46.203125
2010-06-30,27.203125
2010-07-31,59.796875
2010-08-31,54.796875
2010-09-30,54.296875
2010-10-31,56.296875
2010-11-30,121.8984375
2010-12-31,174.296875
2011-01-31,13.0
2011-02-28,52.296875
2011-03-31,37.3984375
2011-04-30,34.6015625
2011-05-31,52.796875
2011-06-30,8.1015625
2011-07-31,8.3984375
2011-08-31,52.8984375
2011-09-30,77.1015625
2011-10-31,55.5
2011-11-30,87.6015625
2011-12-31,81.296875
2012-01-31,98.296875
2012-02-29,107.8984375
2012-03-31,116.0
2012-04-30,3.5
2012-05-31,77.6015625
2012-06-30,40.3984375
2012-07-31,50.1015625
2012-08-31,7.0
2012-09-30,34.203125
2012-10-31,10.6015625
2012-11-30,29.0
2012-12-31,8.5
2013-01-31,56.3984375
2013-02-28,34.296875
2013-03-31,75.296875
2013-04-30,1.3984375
2013-05-31,21.3984375
2013-06-30,109.796875
2013-07-31,29.0
2013-08-31,5.796875
2013-09-30,71.296875
2013-10-31,4.203125
2013-11-30,7.3984375
2013-12-31,46.5
2014-01-31,46.296875
2014-02-28,64.6015625
2014-03-31,145.703125
2014-04-30,54.3984375
2014-05-31,24.203125
2014-06-30,55.796875
2014-07-31,41.703125
2014-08-31,16.203125
2014-09-30,16.3984375
2014-10-31,13.1015625
2014-11-30,13.296875
2014-12-31,69.296875
2015-01-31,109.3984375
2015-02-28,33.8984375
2015-03-31,7.3984375
2015-04-30,70.5
2015-05-31,44.703125
2015-06-30,64.5
2015-07-31,57.703125
2015-08-31,35.203125
2015-09-30,7.203125
2015-10-31,39.203125
2015-11-30,65.0
2015-12-31,56.8984375
2016-01-31,104.296875
2016-02-29,3.0
2016-03-31,17.203125
2016-04-30,23.0
2016-05-31,47.703125
2016-06-30,146.203125
2016-07-31,102.203125
2016-08-31,49.703125
2016-09-30,146.8984375
2016-10-31,62.703125
2016-11-30,34.796875
2016-12-31,122.0
2017-01-31,11.0
2017-02-28,3.296875
2017-03-31,126.6015625
2017-04-30,10.6015625
2017-05-31,9.203125
2017-06-30,8.3984375
2017-07-31,2.203125
2017-08-31,12.6015625
2017-09-30,3.8984375
2017-10-31,59.0
2017-11-30,34.6015625
2017-12-31,65.296875
2018-01-31,42.0
2018-02-28,6.5
2018-03-31,3.296875
2018-04-30,8.1015625
2018-05-31,12.296875
2018-06-30,14.8984375
2018-07-31,3.6015625
2018-08-31,31.3984375
2018-09-30,8.3984375
2018-10-31,87.5
2018-11-30,58.1015625
2018-12-31,33.5
2019-01-31,64.3984375
2019-02-28,31.6015625
2019-03-31,43.296875
2019-04-30,0.296875
2019-05-31,17.296875
2019-06-30,8.6015625
2019-07-31,3.6015625
2019-08-31,9.5
2019-09-30,16.203125
2019-10-31,5.8984375
2019-11-30,18.296875
2019-12-31,3.1015625
2020-01-31,43.296875
2020-02-29,108.5
2020-03-31,103.203125
2020-04-30,114.1015625
2020-05-31,33.6015625
2020-06-30,34.1015625
2020-07-31,82.3984375
2020-08-31,35.703125
2020-09-30,45.0
2020-10-31,64.296875
2020-11-30,16.1015625
2020-12-31,100.0
2021-01-31,50.6015625
2021-02-28,109.703125
2021-03-31,152.703125
2021-04-30,4.296875
2021-05-31,20.796875
2021-06-30,98.0
2021-07-31,75.8984375
2021-08-31,31.296875
2021-09-30,35.8984375
2021-10-31,35.8984375
2021-11-30,134.1015625
2021-12-31,75.5
2022-01-31,121.3984375
2022-02-28,32.296875
2022-03-31,47.703125
