,Rainfall
2000-01-31,89.1015625
2000-02-29,52.3984375
2000-03-31,384.296875
2000-04-30,94.796875
2000-05-31,30.3984375
2000-06-30,42.0
2000-07-31,42.3984375
2000-08-31,15.296875
2000-09-30,19.0
2000-10-31,35.8984375
2000-11-30,99.3984375
2000-12-31,67.6015625
2001-01-31,39.0
2001-02-28,222.1015625
2001-03-31,321.703125
2001-04-30,36.3984375
2001-05-31,342.0
2001-06-30,2.703125
2001-07-31,79.1015625
2001-08-31,23.296875
2001-09-30,22.1015625
2001-10-31,30.3984375
2001-11-30,129.1015625
2001-12-31,75.203125
2002-01-31,58.3984375
2002-02-28,183.703125
2002-03-31,94.203125
2002-04-30,44.796875
2002-05-31,42.296875
2002-06-30,83.5
2002-07-31,18.8984375
2002-08-31,19.203125
2002-09-30,32.703125
2002-10-31,6.1015625
2002-11-30,54.5
2002-12-31,169.3984375
2003-01-31,14.0
2003-02-28,75.3984375
2003-03-31,83.296875
2003-04-30,123.1015625
2003-05-31,172.296875
2003-06-30,21.796875
2003-07-31,42.0
2003-08-31,30.6015625
2003-09-30,0.0
2003-10-31,66.796875
2003-11-30,161.6015625
2003-12-31,74.296875
2004-01-31,147.8984375
2004-02-29,149.3984375
2004-03-31,174.296875
2004-04-30,15.1015625
2004-05-31,26.1015625
2004-06-30,9.3984375
2004-07-31,52.3984375
2004-08-31,34.0
2004-09-30,48.296875
2004-10-31,185.703125
2004-11-30,54.3984375
2004-12-31,96.0
2005-01-31,82.8984375
2005-02-28,123.1015625
2005-03-31,215.5
2005-04-30,29.296875
2005-05-31,95.8984375
2005-06-30,127.3984375
2005-07-31,27.703125
2005-08-31,0.203125
2005-09-30,48.203125
2005-10-31,87.1015625
2005-11-30,83.796875
2005-12-31,36.1015625
2006-01-31,74.5
2006-02-28,95.1015625
2006-03-31,42.796875
2006-04-30,49.3984375
2006-05-31,30.6015625
2006-06-30,29.6015625
2006-07-31,65.796875
2006-08-31,51.703125
2006-09-30,139.703125
2006-10-31,19.6015625
2006-11-30,150.6015625
2006-12-31,91.0
2007-01-31,28.1015625
2007-02-28,64.0
2007-03-31,132.3984375
2007-04-30,58.1015625
2007-05-31,41.296875
2007-06-30,321.6015625
2007-07-31,46.5
2007-08-31,72.203125
2007-09-30,33.5
2007-10-31,24.8984375
2007-11-30,160.796875
2007-12-31,159.296875
2008-01-31,143.0
2008-02-29,224.296875
2008-03-31,42.0
2008-04-30,285.703125
2008-05-31,22.296875
2008-06-30,101.203125
2008-07-31,48.6015625
2008-08-31,25.703125
2008-09-30,164.3984375
2008-10-31,46.8984375
2008-11-30,61.1015625
2008-12-31,46.703125
2009-01-31,26.3984375
2009-02-28,240.3984375
2009-03-31,101.296875
2009-04-30,202.796875
2009-05-31,87.3984375
2009-06-30,63.0
2009-07-31,36.5
2009-08-31,2.5
2009-09-30,12.3984375
2009-10-31,90.0
2009-11-30,65.703125
2009-12-31,109.6015625
2010-01-31,91.296875
2010-02-28,76.3984375
2010-03-31,102.5
2010-04-30,31.6015625
2010-05-31,56.0
2010-06-30,101.703125
2010-07-31,63.296875
2010-08-31,45.203125
2010-09-30,30.3984375
2010-10-31,99.6015625
2010-11-30,148.8984375
2010-12-31,64.3984375
2011-01-31,55.0
2011-02-28,101.8984375
2011-03-31,49.796875
2011-04-30,118.3984375
2011-05-31,124.6015625
2011-06-30,211.296875
2011-07-31,112.1015625
2011-08-31,53.5
2011-09-30,81.6015625
2011-10-31,97.703125
2011-11-30,176.5
2011-12-31,106.5
2012-01-31,77.203125
2012-02-29,283.703125
2012-03-31,96.6015625
2012-04-30,80.6015625
2012-05-31,10.0
2012-06-30,92.3984375
2012-07-31,54.3984375
2012-08-31,28.5
2012-09-30,15.296875
2012-10-31,10.0
2012-11-30,46.5
2012-12-31,121.296875
2013-01-31,144.1015625
2013-02-28,195.796875
2013-03-31,198.5
2013-04-30,47.1015625
2013-05-31,68.203125
2013-06-30,88.3984375
2013-07-31,35.0
2013-08-31,3.1015625
2013-09-30,20.203125
2013-10-31,44.1015625
2013-11-30,298.8984375
2013-12-31,32.5
2014-01-31,13.703125
2014-02-28,51.3984375
2014-03-31,113.203125
2014-04-30,83.8984375
2014-05-31,20.3984375
2014-06-30,39.0
2014-07-31,16.296875
2014-08-31,94.8984375
2014-09-30,43.0
2014-10-31,29.703125
2014-11-30,33.3984375
2014-12-31,184.703125
2015-01-31,167.203125
2015-02-28,44.8984375
2015-03-31,127.296875
2015-04-30,364.703125
2015-05-31,81.8984375
2015-06-30,40.8984375
2015-07-31,20.5
2015-08-31,35.6015625
2015-09-30,76.203125
2015-10-31,47.296875
2015-11-30,129.8984375
2015-12-31,109.1015625
2016-01-31,366.203125
2016-02-29,62.203125
2016-03-31,45.0
2016-04-30,31.8984375
2016-05-31,15.796875
2016-06-30,119.8984375
2016-07-31,48.1015625
2016-08-31,75.8984375
2016-09-30,53.203125
2016-10-31,47.6015625
2016-11-30,67.1015625
2016-12-31,65.1015625
2017-01-31,43.3984375
2017-02-28,64.796875
2017-03-31,255.1015625
2017-04-30,80.703125
2017-05-31,16.703125
2017-06-30,113.3984375
2017-07-31,4.8984375
2017-08-31,8.796875
2017-09-30,6.6015625
2017-10-31,95.296875
2017-11-30,40.203125
2017-12-31,53.0
2018-01-31,25.6015625
2018-02-28,94.1015625
2018-03-31,204.3984375
2018-04-30,69.3984375
2018-05-31,12.6015625
2018-06-30,111.703125
2018-07-31,2.5
2018-08-31,15.6015625
2018-09-30,36.296875
2018-10-31,131.3984375
2018-11-30,64.296875
2018-12-31,78.0
2019-01-31,39.8984375
2019-02-28,50.0
2019-03-31,121.703125
2019-04-30,45.3984375
2019-05-31,27.703125
2019-06-30,47.3984375
2019-07-31,20.6015625
2019-08-31,17.5
2019-09-30,75.3984375
2019-10-31,26.0
2019-11-30,22.296875
2019-12-31,9.8984375
2020-01-31,80.8984375
2020-02-29,212.203125
2020-03-31,98.6015625
2020-04-30,23.796875
2020-05-31,63.703125
2020-06-30,44.203125
2020-07-31,94.8984375
2020-08-31,29.296875
2020-09-30,42.3984375
2020-10-31,127.703125
2020-11-30,31.703125
2020-12-31,164.703125
2021-01-31,162.5
2021-02-28,179.1015625
2021-03-31,275.3984375
2021-04-30,30.6015625
2021-05-31,48.6015625
2021-06-30,62.203125
2021-07-31,27.796875
2021-08-31,26.0
2021-09-30,54.296875
2021-10-31,80.203125
2021-11-30,213.1015625
2021-12-31,89.6015625
2022-01-31,90.296875
2022-02-28,110.796875
2022-03-31,324.0
