,Rainfall
2000-01-31,28.703125
2000-02-29,24.5
2000-03-31,140.3984375
2000-04-30,28.8984375
2000-05-31,42.8984375
2000-06-30,35.703125
2000-07-31,20.296875
2000-08-31,42.703125
2000-09-30,101.3984375
2000-10-31,67.796875
2000-11-30,114.296875
2000-12-31,17.296875
2001-01-31,66.8984375
2001-02-28,98.703125
2001-03-31,68.1015625
2001-04-30,145.296875
2001-05-31,26.1015625
2001-06-30,23.796875
2001-07-31,193.0
2001-08-31,83.203125
2001-09-30,62.703125
2001-10-31,53.1015625
2001-11-30,60.1015625
2001-12-31,26.8984375
2002-01-31,45.796875
2002-02-28,193.203125
2002-03-31,37.0
2002-04-30,129.203125
2002-05-31,32.0
2002-06-30,19.5
2002-07-31,9.5
2002-08-31,14.8984375
2002-09-30,22.1015625
2002-10-31,65.703125
2002-11-30,31.1015625
2002-12-31,9.1015625
2003-01-31,18.203125
2003-02-28,130.203125
2003-03-31,82.3984375
2003-04-30,117.296875
2003-05-31,124.3984375
2003-06-30,26.6015625
2003-07-31,37.796875
2003-08-31,46.0
2003-09-30,10.0
2003-10-31,85.296875
2003-11-30,63.0
2003-12-31,82.5
2004-01-31,79.703125
2004-02-29,58.8984375
2004-03-31,5.203125
2004-04-30,64.796875
2004-05-31,31.296875
2004-06-30,4.0
2004-07-31,50.5
2004-08-31,28.796875
2004-09-30,95.8984375
2004-10-31,92.6015625
2004-11-30,85.3984375
2004-12-31,145.796875
2005-01-31,49.796875
2005-02-28,69.6015625
2005-03-31,62.3984375
2005-04-30,18.796875
2005-05-31,22.5
2005-06-30,33.796875
2005-07-31,212.5
2005-08-31,22.1015625
2005-09-30,72.0
2005-10-31,138.3984375
2005-11-30,102.0
2005-12-31,25.8984375
2006-01-31,23.1015625
2006-02-28,5.703125
2006-03-31,40.1015625
2006-04-30,19.1015625
2006-05-31,203.0
2006-06-30,94.1015625
2006-07-31,168.3984375
2006-08-31,29.5
2006-09-30,25.1015625
2006-10-31,9.0
2006-11-30,41.3984375
2006-12-31,26.6015625
2007-01-31,15.1015625
2007-02-28,196.5
2007-03-31,37.3984375
2007-04-30,71.3984375
2007-05-31,21.796875
2007-06-30,226.3984375
2007-07-31,58.3984375
