,Rainfall
2000-01-31,10.6015625
2000-02-29,32.703125
2000-03-31,31.203125
2000-04-30,30.1015625
2000-05-31,55.3984375
2000-06-30,43.703125
2000-07-31,28.6015625
2000-08-31,75.5
2000-09-30,53.1015625
2000-10-31,48.3984375
2000-11-30,67.1015625
2000-12-31,4.296875
2001-01-31,39.6015625
2001-02-28,44.796875
2001-03-31,19.203125
2001-04-30,32.796875
2001-05-31,6.8984375
2001-06-30,22.8984375
2001-07-31,26.296875
2001-08-31,29.203125
2001-09-30,21.703125
2001-10-31,65.796875
2001-11-30,15.3984375
2001-12-31,7.703125
2002-01-31,5.1015625
2002-02-28,82.0
2002-03-31,34.1015625
2002-04-30,15.0
2002-05-31,15.5
2002-06-30,21.296875
2002-07-31,6.5
2002-08-31,21.5
2002-09-30,24.796875
2002-10-31,3.6015625
2002-11-30,3.703125
2002-12-31,3.703125
2003-01-31,23.796875
2003-02-28,43.1015625
2003-03-31,0.0
2003-04-30,48.0
2003-05-31,55.796875
2003-06-30,48.203125
2003-07-31,65.703125
2003-08-31,73.6015625
2003-09-30,29.296875
2003-10-31,45.1015625
2003-11-30,40.1015625
2003-12-31,76.703125
2004-01-31,9.796875
2004-02-29,2.6015625
2004-03-31,2.3984375
2004-04-30,20.5
2004-05-31,22.3984375
2004-06-30,61.5
2004-07-31,29.8984375
2004-08-31,41.796875
2004-09-30,32.796875
2004-10-31,2.8984375
2004-11-30,38.3984375
2004-12-31,108.5
2005-01-31,31.203125
2005-02-28,118.296875
2005-03-31,4.703125
2005-04-30,13.8984375
2005-05-31,6.203125
2005-06-30,68.1015625
2005-07-31,25.203125
2005-08-31,64.3984375
2005-09-30,47.703125
2005-10-31,69.8984375
2005-11-30,51.296875
2005-12-31,19.703125
2006-01-31,5.8984375
2006-02-28,13.8984375
2006-03-31,7.1015625
2006-04-30,35.796875
2006-05-31,10.3984375
2006-06-30,27.6015625
2006-07-31,21.5
2006-08-31,7.8984375
2006-09-30,17.1015625
2006-10-31,0.0
2006-11-30,34.296875
2006-12-31,13.1015625
2007-01-31,5.8984375
2007-02-28,28.203125
2007-03-31,21.296875
2007-04-30,24.1015625
2007-05-31,49.0
2007-06-30,14.3984375
2007-07-31,35.0
2007-08-31,4.296875
2007-09-30,2.703125
2007-10-31,29.796875
2007-11-30,16.1015625
2007-12-31,72.8984375
2008-01-31,48.703125
2008-02-29,74.703125
2008-03-31,12.8984375
2008-04-30,11.6015625
2008-05-31,15.8984375
2008-06-30,15.0
2008-07-31,41.6015625
2008-08-31,15.5
2008-09-30,12.296875
2008-10-31,7.203125
2008-11-30,76.6015625
2008-12-31,64.1015625
2009-01-31,0.703125
2009-02-28,1.203125
2009-03-31,8.3984375
2009-04-30,26.6015625
2009-05-31,14.8984375
2009-06-30,55.3984375
2009-07-31,18.1015625
2009-08-31,22.6015625
2009-09-30,40.703125
2009-10-31,7.5
2009-11-30,54.6015625
2009-12-31,12.6015625
2010-01-31,19.5
2010-02-28,116.0
2010-03-31,64.703125
2010-04-30,23.0
2010-05-31,81.296875
2010-06-30,22.203125
2010-07-31,35.796875
2010-08-31,51.703125
2010-09-30,46.796875
2010-10-31,134.0
2010-11-30,46.1015625
2010-12-31,77.1015625
2011-01-31,59.0
2011-02-28,161.6015625
2011-03-31,56.703125
2011-04-30,27.5
2011-05-31,15.203125
2011-06-30,13.3984375
2011-07-31,30.0
2011-08-31,42.703125
2011-09-30,35.703125
2011-10-31,13.203125
2011-11-30,62.703125
2011-12-31,35.6015625
2012-01-31,37.796875
2012-02-29,96.8984375
2012-03-31,157.0
2012-04-30,16.703125
2012-05-31,12.6015625
2012-06-30,9.796875
2012-07-31,44.796875
2012-08-31,25.5
2012-09-30,17.296875
2012-10-31,37.0
2012-11-30,12.5
2012-12-31,14.5
2013-01-31,3.203125
2013-02-28,39.5
2013-03-31,22.203125
2013-04-30,3.5
2013-05-31,31.8984375
2013-06-30,68.703125
2013-07-31,41.1015625
2013-08-31,28.8984375
2013-09-30,21.1015625
2013-10-31,17.3984375
2013-11-30,24.703125
2013-12-31,52.5
2014-01-31,17.296875
2014-02-28,23.203125
2014-03-31,40.3984375
2014-04-30,92.1015625
2014-05-31,39.5
2014-06-30,65.3984375
2014-07-31,16.796875
2014-08-31,2.6015625
2014-09-30,48.6015625
2014-10-31,15.1015625
2014-11-30,43.203125
2014-12-31,33.203125
2015-01-31,69.5
2015-02-28,30.3984375
2015-03-31,2.1015625
2015-04-30,51.6015625
2015-05-31,18.296875
2015-06-30,35.1015625
2015-07-31,25.203125
2015-08-31,40.703125
2015-09-30,14.703125
2015-10-31,20.703125
2015-11-30,73.1015625
2015-12-31,21.0
2016-01-31,47.703125
2016-02-29,18.796875
2016-03-31,15.6015625
2016-04-30,7.3984375
2016-05-31,82.0
2016-06-30,81.8984375
2016-07-31,51.5
2016-08-31,61.296875
2016-09-30,106.203125
2016-10-31,32.796875
2016-11-30,36.1015625
2016-12-31,12.703125
2017-01-31,21.6015625
2017-02-28,14.796875
2017-03-31,31.3984375
2017-04-30,41.5
2017-05-31,30.8984375
2017-06-30,0.6015625
2017-07-31,36.1015625
2017-08-31,49.6015625
2017-09-30,4.6015625
2017-10-31,28.8984375
2017-11-30,27.0
2017-12-31,95.5
2018-01-31,26.703125
2018-02-28,0.296875
2018-03-31,6.6015625
2018-04-30,0.796875
2018-05-31,23.703125
2018-06-30,18.5
2018-07-31,12.5
2018-08-31,8.8984375
2018-09-30,4.3984375
2018-10-31,26.5
2018-11-30,25.296875
2018-12-31,38.203125
2019-01-31,5.0
2019-02-28,20.5
2019-03-31,11.203125
2019-04-30,5.3984375
2019-05-31,57.296875
2019-06-30,22.703125
2019-07-31,42.296875
2019-08-31,10.203125
2019-09-30,9.203125
2019-10-31,10.796875
2019-11-30,19.0
2019-12-31,8.6015625
2020-01-31,36.796875
2020-02-29,37.3984375
2020-03-31,65.296875
2020-04-30,78.8984375
2020-05-31,13.203125
2020-06-30,25.203125
2020-07-31,29.3984375
2020-08-31,48.8984375
2020-09-30,24.296875
2020-10-31,29.8984375
2020-11-30,10.703125
2020-12-31,7.6015625
2021-01-31,46.296875
2021-02-28,24.6015625
2021-03-31,76.6015625
2021-04-30,0.8984375
2021-05-31,22.6015625
2021-06-30,61.296875
2021-07-31,34.296875
2021-08-31,16.5
2021-09-30,40.6015625
2021-10-31,24.0
2021-11-30,91.796875
2021-12-31,14.5
2022-01-31,98.296875
2022-02-28,2.6015625
2022-03-31,49.8984375
