,Rainfall
2000-01-31,11.8984375
2000-02-29,23.8984375
2000-03-31,47.796875
2000-04-30,38.3984375
2000-05-31,43.796875
2000-06-30,34.203125
2000-07-31,20.8984375
2000-08-31,62.203125
2000-09-30,21.203125
2000-10-31,55.6015625
2000-11-30,87.703125
2000-12-31,23.6015625
2001-01-31,2.1015625
2001-02-28,70.796875
2001-03-31,28.5
2001-04-30,41.796875
2001-05-31,14.1015625
2001-06-30,73.8984375
2001-07-31,61.3984375
2001-08-31,17.6015625
2001-09-30,31.3984375
2001-10-31,27.0
2001-11-30,39.296875
2001-12-31,7.296875
2002-01-31,9.3984375
2002-02-28,138.1015625
2002-03-31,11.796875
2002-04-30,33.703125
2002-05-31,25.0
2002-06-30,11.796875
2002-07-31,11.5
2002-08-31,5.0
2002-09-30,45.0
2002-10-31,0.0
2002-11-30,1.6015625
2002-12-31,23.203125
2003-01-31,18.8984375
2003-02-28,82.5
2003-03-31,8.796875
2003-04-30,12.5
2003-05-31,8.0
2003-06-30,27.0
2003-07-31,48.3984375
2003-08-31,48.796875
2003-09-30,12.296875
2003-10-31,23.3984375
2003-11-30,18.203125
2003-12-31,28.5
2004-01-31,48.796875
2004-02-29,74.703125
2004-03-31,14.203125
2004-04-30,15.0
2004-05-31,23.1015625
2004-06-30,58.0
2004-07-31,22.8984375
2004-08-31,25.203125
2004-09-30,35.8984375
2004-10-31,38.0
2004-11-30,38.296875
2004-12-31,110.6015625
2005-01-31,26.3984375
2005-02-28,34.296875
2005-03-31,4.703125
2005-04-30,1.6015625
2005-05-31,1.296875
2005-06-30,86.203125
2005-07-31,40.8984375
2005-08-31,29.8984375
2005-09-30,102.3984375
2005-10-31,36.1015625
2005-11-30,78.703125
2005-12-31,27.5
2006-01-31,22.203125
2006-02-28,8.796875
2006-03-31,14.3984375
2006-04-30,5.0
2006-05-31,3.0
2006-06-30,49.0
2006-07-31,52.1015625
2006-08-31,4.8984375
2006-09-30,7.796875
2006-10-31,0.0
2006-11-30,4.296875
2006-12-31,9.203125
2007-01-31,27.5
