,Rainfall
2000-01-31,37.203125
2000-02-29,19.203125
2000-03-31,109.1015625
2000-04-30,120.3984375
2000-05-31,74.5
2000-06-30,29.1015625
2000-07-31,32.5
2000-08-31,39.296875
2000-09-30,10.0
2000-10-31,77.6015625
2000-11-30,189.0
2000-12-31,20.6015625
2001-01-31,69.296875
2001-02-28,20.8984375
2001-03-31,95.1015625
2001-04-30,36.296875
2001-05-31,22.703125
2001-06-30,57.5
2001-07-31,101.5
2001-08-31,14.3984375
2001-09-30,19.0
2001-10-31,50.1015625
2001-11-30,17.296875
2001-12-31,28.6015625
2002-01-31,8.796875
2002-02-28,119.3984375
2002-03-31,27.5
2002-04-30,31.703125
2002-05-31,5.296875
2002-06-30,23.203125
2002-07-31,1.296875
2002-08-31,2.1015625
2002-09-30,36.6015625
2002-10-31,15.296875
2002-11-30,6.8984375
2002-12-31,18.796875
2003-01-31,15.3984375
2003-02-28,43.703125
2003-03-31,19.796875
2003-04-30,104.796875
2003-05-31,3.796875
2003-06-30,43.296875
2003-07-31,36.703125
2003-08-31,79.296875
2003-09-30,11.703125
2003-10-31,46.0
2003-11-30,30.703125
2003-12-31,22.703125
2004-01-31,41.703125
2004-02-29,35.203125
2004-03-31,48.8984375
2004-04-30,32.6015625
2004-05-31,43.8984375
2004-06-30,39.796875
2004-07-31,48.203125
2004-08-31,29.1015625
2004-09-30,27.296875
2004-10-31,33.8984375
2004-11-30,62.6015625
2004-12-31,83.703125
2005-01-31,12.8984375
2005-02-28,9.703125
2005-03-31,21.1015625
2005-04-30,0.203125
2005-05-31,2.5
2005-06-30,141.0
2005-07-31,31.3984375
2005-08-31,20.6015625
2005-09-30,77.203125
2005-10-31,70.8984375
2005-11-30,91.8984375
2005-12-31,22.703125
2006-01-31,30.203125
2006-02-28,24.796875
2006-03-31,24.3984375
2006-04-30,36.8984375
2006-05-31,0.1015625
2006-06-30,28.203125
2006-07-31,62.0
2006-08-31,9.796875
2006-09-30,2.0
2006-10-31,0.5
2006-11-30,27.0
2006-12-31,21.796875
2007-01-31,47.296875
2007-02-28,69.8984375
2007-03-31,20.703125
2007-04-30,11.296875
2007-05-31,55.796875
2007-06-30,110.1015625
2007-07-31,5.6015625
2007-08-31,11.6015625
2007-09-30,0.0
2007-10-31,12.0
2007-11-30,72.3984375
2007-12-31,175.6015625
2008-01-31,66.296875
2008-02-29,76.796875
2008-03-31,39.6015625
2008-04-30,0.703125
2008-05-31,9.3984375
2008-06-30,35.1015625
2008-07-31,19.5
2008-08-31,46.5
2008-09-30,58.1015625
2008-10-31,39.296875
2008-11-30,85.796875
2008-12-31,86.1015625
2009-01-31,9.6015625
2009-02-28,67.703125
2009-03-31,7.3984375
2009-04-30,49.703125
2009-05-31,14.0
2009-06-30,55.296875
2009-07-31,15.5
2009-08-31,0.796875
2009-09-30,21.296875
2009-10-31,21.6015625
2009-11-30,9.6015625
2009-12-31,220.203125
2010-01-31,71.8984375
2010-02-28,137.203125
2010-03-31,66.203125
2010-04-30,35.1015625
2010-05-31,41.5
2010-06-30,32.6015625
2010-07-31,89.5
2010-08-31,60.0
2010-09-30,63.203125
2010-10-31,38.8984375
2010-11-30,132.796875
2010-12-31,230.203125
2011-01-31,14.8984375
2011-02-28,32.3984375
2011-03-31,45.8984375
2011-04-30,16.296875
2011-05-31,41.8984375
2011-06-30,6.6015625
2011-07-31,4.6015625
2011-08-31,39.1015625
2011-09-30,69.6015625
2011-10-31,38.5
2011-11-30,86.703125
2011-12-31,114.1015625
2012-01-31,104.8984375
2012-02-29,74.6015625
2012-03-31,109.3984375
2012-04-30,4.296875
2012-05-31,36.5
2012-06-30,38.796875
2012-07-31,57.6015625
2012-08-31,12.6015625
2012-09-30,28.703125
2012-10-31,8.203125
2012-11-30,25.203125
2012-12-31,18.0
2013-01-31,33.0
2013-02-28,18.203125
2013-03-31,65.6015625
2013-04-30,2.8984375
2013-05-31,18.796875
2013-06-30,103.3984375
2013-07-31,23.6015625
2013-08-31,5.296875
2013-09-30,50.3984375
2013-10-31,4.3984375
2013-11-30,9.203125
2013-12-31,19.1015625
2014-01-31,12.8984375
2014-02-28,92.6015625
2014-03-31,76.6015625
2014-04-30,29.796875
2014-05-31,14.796875
2014-06-30,51.6015625
2014-07-31,24.796875
2014-08-31,33.6015625
2014-09-30,13.0
2014-10-31,4.5
2014-11-30,18.3984375
2014-12-31,139.0
2015-01-31,87.5
2015-02-28,18.703125
2015-03-31,3.796875
2015-04-30,87.1015625
2015-05-31,63.796875
2015-06-30,89.6015625
2015-07-31,58.203125
2015-08-31,23.703125
2015-09-30,2.1015625
2015-10-31,32.703125
2015-11-30,72.5
2015-12-31,26.703125
2016-01-31,95.796875
2016-02-29,2.203125
2016-03-31,4.6015625
2016-04-30,39.796875
2016-05-31,57.8984375
2016-06-30,111.1015625
2016-07-31,43.296875
2016-08-31,28.703125
2016-09-30,161.3984375
2016-10-31,57.8984375
2016-11-30,17.3984375
2016-12-31,43.5
2017-01-31,32.796875
2017-02-28,5.3984375
2017-03-31,80.8984375
2017-04-30,6.703125
2017-05-31,17.703125
2017-06-30,12.6015625
2017-07-31,1.203125
2017-08-31,13.796875
2017-09-30,3.0
2017-10-31,91.1015625
2017-11-30,28.6015625
2017-12-31,90.296875
2018-01-31,63.1015625
2018-02-28,19.8984375
2018-03-31,21.0
2018-04-30,5.703125
2018-05-31,10.5
2018-06-30,19.0
2018-07-31,3.5
2018-08-31,24.3984375
2018-09-30,25.5
2018-10-31,41.296875
2018-11-30,55.5
2018-12-31,37.703125
2019-01-31,34.8984375
2019-02-28,8.8984375
2019-03-31,54.0
2019-04-30,0.0
2019-05-31,20.296875
2019-06-30,6.1015625
2019-07-31,4.3984375
2019-08-31,4.8984375
2019-09-30,11.203125
2019-10-31,2.703125
2019-11-30,30.8984375
2019-12-31,3.703125
2020-01-31,35.8984375
2020-02-29,116.3984375
2020-03-31,102.0
2020-04-30,119.8984375
2020-05-31,19.0
2020-06-30,20.8984375
2020-07-31,81.296875
2020-08-31,30.3984375
2020-09-30,30.6015625
2020-10-31,74.8984375
2020-11-30,13.5
2020-12-31,94.8984375
