,Rainfall
2000-01-31,41.0
2000-02-29,31.3984375
2000-03-31,120.796875
2000-04-30,27.203125
2000-05-31,58.296875
2000-06-30,18.0
2000-07-31,37.0
2000-08-31,33.3984375
2000-09-30,17.6015625
2000-10-31,91.0
2000-11-30,202.796875
2000-12-31,95.296875
2001-01-31,115.1015625
2001-02-28,146.1015625
2001-03-31,248.5
2001-04-30,45.0
2001-05-31,39.0
2001-06-30,12.3984375
2001-07-31,52.5
2001-08-31,43.296875
2001-09-30,32.8984375
2001-10-31,63.1015625
2001-11-30,205.703125
2001-12-31,79.296875
2002-01-31,84.3984375
2002-02-28,100.8984375
2002-03-31,98.5
2002-04-30,4.5
2002-05-31,11.203125
2002-06-30,17.0
2002-07-31,3.8984375
2002-08-31,30.3984375
2002-09-30,40.703125
2002-10-31,31.203125
2002-11-30,68.3984375
2002-12-31,86.0
2003-01-31,57.0
2003-02-28,204.703125
2003-03-31,95.203125
2003-04-30,86.1015625
2003-05-31,15.8984375
2003-06-30,43.0
2003-07-31,31.3984375
2003-08-31,35.0
2003-09-30,5.3984375
2003-10-31,175.703125
2003-11-30,88.1015625
2003-12-31,71.1015625
2004-01-31,253.3984375
2004-02-29,117.3984375
2004-03-31,44.203125
2004-04-30,35.296875
2004-05-31,15.3984375
2004-06-30,27.203125
2004-07-31,36.0
2004-08-31,48.3984375
2004-09-30,74.796875
2004-10-31,60.1015625
2004-11-30,63.8984375
2004-12-31,159.0
2005-01-31,73.703125
2005-02-28,72.8984375
2005-03-31,16.796875
2005-04-30,2.796875
2005-05-31,15.3984375
2005-06-30,123.296875
2005-07-31,42.0
2005-08-31,18.3984375
2005-09-30,75.796875
2005-10-31,60.203125
2005-11-30,119.796875
2005-12-31,108.5
2006-01-31,171.3984375
2006-02-28,163.6015625
2006-03-31,49.6015625
2006-04-30,48.6015625
2006-05-31,12.0
2006-06-30,79.203125
2006-07-31,59.3984375
2006-08-31,36.0
2006-09-30,38.1015625
2006-10-31,20.796875
2006-11-30,158.296875
2006-12-31,81.0
2007-01-31,59.796875
2007-02-28,82.703125
2007-03-31,127.8984375
2007-04-30,93.0
2007-05-31,34.3984375
2007-06-30,102.1015625
2007-07-31,10.1015625
2007-08-31,100.296875
2007-09-30,9.6015625
2007-10-31,92.203125
2007-11-30,102.3984375
2007-12-31,112.1015625
2008-01-31,64.703125
2008-02-29,106.703125
2008-03-31,16.8984375
2008-04-30,27.5
2008-05-31,15.703125
2008-06-30,46.703125
2008-07-31,33.796875
2008-08-31,31.8984375
2008-09-30,62.796875
2008-10-31,41.3984375
2008-11-30,177.6015625
2008-12-31,127.8984375
2009-01-31,56.703125
2009-02-28,125.5
2009-03-31,50.8984375
2009-04-30,78.8984375
2009-05-31,146.203125
2009-06-30,48.6015625
2009-07-31,28.296875
2009-08-31,19.1015625
2009-09-30,48.1015625
2009-10-31,57.6015625
2009-11-30,53.296875
2009-12-31,165.6015625
2010-01-31,129.1015625
2010-02-28,51.796875
2010-03-31,92.796875
2010-04-30,25.703125
2010-05-31,84.6015625
