,Rainfall
2000-01-31,18.5
2000-02-29,25.3984375
2000-03-31,125.6015625
2000-04-30,50.3984375
2000-05-31,69.296875
2000-06-30,16.0
2000-07-31,12.203125
2000-08-31,20.3984375
2000-09-30,2.5
2000-10-31,50.296875
2000-11-30,126.1015625
2000-12-31,5.8984375
2001-01-31,31.5
2001-02-28,20.5
2001-03-31,18.8984375
2001-04-30,2.5
2001-05-31,14.203125
2001-06-30,44.8984375
2001-07-31,22.0
2001-08-31,2.296875
2001-09-30,8.203125
2001-10-31,22.796875
2001-11-30,36.0
2001-12-31,6.296875
2002-01-31,3.3984375
2002-02-28,49.5
2002-03-31,12.8984375
2002-04-30,21.3984375
2002-05-31,1.5
2002-06-30,7.296875
2002-07-31,0.203125
2002-08-31,11.203125
2002-09-30,19.296875
2002-10-31,3.0
2002-11-30,1.203125
2002-12-31,15.6015625
2003-01-31,13.703125
2003-02-28,60.0
2003-03-31,8.1015625
2003-04-30,68.203125
2003-05-31,18.0
2003-06-30,27.296875
2003-07-31,18.5
2003-08-31,41.1015625
2003-09-30,2.796875
2003-10-31,11.296875
2003-11-30,11.5
2003-12-31,45.703125
2004-01-31,35.1015625
2004-02-29,37.0
2004-03-31,22.1015625
2004-04-30,62.8984375
2004-05-31,16.0
2004-06-30,21.5
2004-07-31,25.1015625
2004-08-31,15.0
2004-09-30,8.703125
2004-10-31,11.296875
2004-11-30,39.1015625
2004-12-31,53.703125
2005-01-31,5.8984375
2005-02-28,2.0
2005-03-31,2.3984375
2005-04-30,0.296875
2005-05-31,9.203125
2005-06-30,111.1015625
2005-07-31,3.796875
2005-08-31,13.1015625
2005-09-30,41.5
2005-10-31,27.703125
2005-11-30,23.5
2005-12-31,11.3984375
2006-01-31,23.6015625
2006-02-28,24.6015625
2006-03-31,14.5
2006-04-30,4.5
2006-05-31,0.5
2006-06-30,35.0
2006-07-31,45.203125
2006-08-31,3.1015625
2006-09-30,6.1015625
2006-10-31,0.703125
2006-11-30,18.296875
2006-12-31,19.8984375
2007-01-31,59.8984375
2007-02-28,18.0
2007-03-31,20.203125
2007-04-30,12.1015625
2007-05-31,57.3984375
2007-06-30,13.3984375
2007-07-31,2.796875
2007-08-31,1.6015625
2007-09-30,0.203125
2007-10-31,28.703125
2007-11-30,51.8984375
2007-12-31,211.296875
2008-01-31,81.1015625
2008-02-29,118.8984375
2008-03-31,38.703125
2008-04-30,0.296875
2008-05-31,6.1015625
2008-06-30,43.3984375
2008-07-31,7.296875
2008-08-31,16.203125
2008-09-30,17.8984375
2008-10-31,31.796875
2008-11-30,62.3984375
2008-12-31,44.3984375
2009-01-31,15.8984375
2009-02-28,96.6015625
2009-03-31,0.5
2009-04-30,29.6015625
2009-05-31,57.0
2009-06-30,55.0
2009-07-31,10.1015625
2009-08-31,1.1015625
2009-09-30,27.5
2009-10-31,26.0
2009-11-30,6.203125
2009-12-31,207.5
2010-01-31,79.8984375
2010-02-28,78.8984375
2010-03-31,58.0
2010-04-30,51.8984375
2010-05-31,11.0
2010-06-30,15.5
2010-07-31,66.5
2010-08-31,27.1015625
2010-09-30,36.0
2010-10-31,63.796875
2010-11-30,102.8984375
2010-12-31,115.6015625
2011-01-31,28.5
2011-02-28,48.8984375
2011-03-31,20.203125
2011-04-30,16.8984375
2011-05-31,17.0
2011-06-30,17.8984375
2011-07-31,23.203125
2011-08-31,9.1015625
2011-09-30,40.296875
2011-10-31,16.296875
2011-11-30,79.203125
2011-12-31,113.296875
2012-01-31,129.296875
2012-02-29,96.703125
2012-03-31,95.296875
2012-04-30,2.296875
2012-05-31,20.6015625
2012-06-30,30.5
2012-07-31,34.5
2012-08-31,1.796875
2012-09-30,14.8984375
2012-10-31,3.0
2012-11-30,29.0
2012-12-31,16.203125
2013-01-31,17.5
2013-02-28,10.296875
2013-03-31,68.296875
2013-04-30,0.0
2013-05-31,17.1015625
2013-06-30,60.1015625
2013-07-31,23.296875
2013-08-31,0.8984375
2013-09-30,14.703125
2013-10-31,2.703125
2013-11-30,16.5
2013-12-31,8.6015625
2014-01-31,18.203125
2014-02-28,60.296875
2014-03-31,60.8984375
2014-04-30,14.296875
2014-05-31,6.1015625
2014-06-30,46.1015625
2014-07-31,14.703125
2014-08-31,40.8984375
2014-09-30,14.796875
2014-10-31,5.203125
2014-11-30,2.296875
2014-12-31,54.703125
2015-01-31,29.796875
2015-02-28,1.5
2015-03-31,1.6015625
2015-04-30,49.5
2015-05-31,38.8984375
2015-06-30,32.8984375
2015-07-31,33.703125
2015-08-31,15.296875
2015-09-30,0.0
2015-10-31,15.8984375
2015-11-30,81.5
2015-12-31,8.0
2016-01-31,34.703125
2016-02-29,1.5
2016-03-31,2.8984375
2016-04-30,2.5
2016-05-31,48.296875
2016-06-30,121.796875
2016-07-31,8.6015625
2016-08-31,33.1015625
2016-09-30,86.703125
2016-10-31,20.8984375
2016-11-30,8.0
2016-12-31,29.703125
2017-01-31,27.3984375
2017-02-28,6.796875
2017-03-31,52.703125
2017-04-30,20.703125
2017-05-31,6.796875
2017-06-30,8.6015625
2017-07-31,1.5
2017-08-31,10.6015625
2017-09-30,1.5
2017-10-31,54.296875
2017-11-30,36.6015625
2017-12-31,34.1015625
2018-01-31,18.0
2018-02-28,1.5
2018-03-31,25.1015625
2018-04-30,19.8984375
2018-05-31,4.1015625
2018-06-30,53.296875
2018-07-31,0.703125
2018-08-31,13.6015625
2018-09-30,0.3984375
2018-10-31,28.0
2018-11-30,35.8984375
2018-12-31,8.1015625
2019-01-31,8.703125
2019-02-28,3.1015625
2019-03-31,25.703125
2019-04-30,13.703125
2019-05-31,12.703125
2019-06-30,0.796875
2019-07-31,5.203125
2019-08-31,0.5
2019-09-30,2.0
2019-10-31,0.703125
2019-11-30,61.296875
2019-12-31,0.0
2020-01-31,14.5
2020-02-29,34.296875
2020-03-31,83.796875
2020-04-30,67.8984375
2020-05-31,9.796875
2020-06-30,12.296875
2020-07-31,26.703125
2020-08-31,22.1015625
2020-09-30,18.8984375
2020-10-31,32.3984375
2020-11-30,1.6015625
2020-12-31,53.1015625
2021-01-31,53.6015625
2021-02-28,105.5
2021-03-31,95.703125
2021-04-30,2.8984375
2021-05-31,7.8984375
2021-06-30,31.3984375
2021-07-31,25.5
2021-08-31,16.703125
2021-09-30,44.5
2021-10-31,4.8984375
2021-11-30,103.703125
2021-12-31,44.8984375
2022-01-31,62.3984375
2022-02-28,39.796875
2022-03-31,51.796875
