,Rainfall
2000-01-31,45.6015625
2000-02-29,73.796875
2000-03-31,99.3984375
2000-04-30,21.5
2000-05-31,30.296875
2000-06-30,16.6015625
2000-07-31,16.203125
2000-08-31,13.296875
2000-09-30,3.296875
2000-10-31,45.0
2000-11-30,121.203125
2000-12-31,26.5
2001-01-31,62.703125
2001-02-28,85.3984375
2001-03-31,64.6015625
2001-04-30,36.8984375
2001-05-31,36.796875
2001-06-30,27.6015625
2001-07-31,83.0
2001-08-31,11.3984375
2001-09-30,10.703125
2001-10-31,43.3984375
2001-11-30,79.796875
2001-12-31,43.6015625
2002-01-31,28.5
2002-02-28,36.703125
2002-03-31,86.5
2002-04-30,3.3984375
2002-05-31,4.1015625
2002-06-30,14.0
2002-07-31,22.6015625
2002-08-31,50.703125
2002-09-30,8.203125
2002-10-31,13.0
2002-11-30,35.203125
2002-12-31,85.203125
2003-01-31,6.3984375
2003-02-28,76.5
2003-03-31,63.3984375
2003-04-30,97.1015625
2003-05-31,0.3984375
2003-06-30,31.703125
2003-07-31,41.0
2003-08-31,17.296875
2003-09-30,0.5
2003-10-31,75.6015625
2003-11-30,35.296875
2003-12-31,114.5
2004-01-31,173.203125
2004-02-29,52.703125
2004-03-31,96.3984375
2004-04-30,54.796875
2004-05-31,19.3984375
2004-06-30,5.1015625
2004-07-31,14.6015625
2004-08-31,14.796875
2004-09-30,85.3984375
2004-10-31,28.1015625
2004-11-30,101.8984375
2004-12-31,118.796875
2005-01-31,21.6015625
2005-02-28,6.0
2005-03-31,30.0
2005-04-30,0.203125
2005-05-31,41.796875
2005-06-30,178.1015625
2005-07-31,6.296875
2005-08-31,8.8984375
2005-09-30,19.3984375
2005-10-31,63.8984375
2005-11-30,125.296875
2005-12-31,72.6015625
2006-01-31,75.296875
2006-02-28,80.3984375
2006-03-31,18.1015625
2006-04-30,27.0
2006-05-31,10.203125
2006-06-30,23.0
2006-07-31,58.296875
2006-08-31,3.3984375
2006-09-30,23.296875
2006-10-31,2.703125
2006-11-30,30.0
2006-12-31,13.6015625
2007-01-31,23.3984375
2007-02-28,49.203125
2007-03-31,33.203125
2007-04-30,34.203125
2007-05-31,15.796875
