,Rainfall
2000-01-31,15.3984375
2000-02-29,10.6015625
2000-03-31,75.0
2000-04-30,22.796875
2000-05-31,39.1015625
2000-06-30,37.5
2000-07-31,36.703125
2000-08-31,44.6015625
2000-09-30,57.703125
2000-10-31,47.203125
2000-11-30,95.1015625
2000-12-31,22.1015625
2001-01-31,70.8984375
2001-02-28,123.203125
2001-03-31,64.6015625
2001-04-30,11.796875
2001-05-31,3.203125
2001-06-30,28.8984375
2001-07-31,55.1015625
2001-08-31,87.296875
2001-09-30,41.296875
2001-10-31,42.1015625
2001-11-30,42.5
2001-12-31,8.203125
2002-01-31,15.8984375
2002-02-28,123.3984375
2002-03-31,26.3984375
2002-04-30,19.296875
2002-05-31,25.703125
2002-06-30,31.796875
2002-07-31,31.5
2002-08-31,34.296875
2002-09-30,32.703125
2002-10-31,3.703125
2002-11-30,4.203125
2002-12-31,47.6015625
2003-01-31,21.296875
2003-02-28,66.0
2003-03-31,63.703125
2003-04-30,20.6015625
2003-05-31,37.203125
2003-06-30,56.296875
2003-07-31,36.296875
2003-08-31,47.3984375
2003-09-30,45.0
2003-10-31,71.296875
2003-11-30,76.796875
2003-12-31,36.296875
2004-01-31,56.8984375
2004-02-29,50.1015625
2004-03-31,24.703125
2004-04-30,6.3984375
2004-05-31,4.6015625
2004-06-30,20.0
2004-07-31,29.0
2004-08-31,36.703125
2004-09-30,60.703125
2004-10-31,79.0
2004-11-30,62.6015625
2004-12-31,77.0
2005-01-31,49.5
2005-02-28,48.1015625
2005-03-31,42.8984375
2005-04-30,7.5
2005-05-31,4.203125
2005-06-30,56.3984375
2005-07-31,80.1015625
2005-08-31,41.203125
2005-09-30,89.296875
2005-10-31,45.6015625
2005-11-30,106.703125
2005-12-31,22.6015625
2006-01-31,145.0
2006-02-28,3.296875
2006-03-31,12.1015625
2006-04-30,8.1015625
2006-05-31,13.6015625
2006-06-30,64.0
2006-07-31,46.3984375
2006-08-31,23.8984375
2006-09-30,17.3984375
2006-10-31,0.0
2006-11-30,21.703125
2006-12-31,46.1015625
2007-01-31,11.1015625
2007-02-28,64.796875
2007-03-31,58.1015625
2007-04-30,36.796875
2007-05-31,33.5
2007-06-30,162.203125
2007-07-31,27.0
2007-08-31,10.703125
2007-09-30,15.8984375
2007-10-31,20.8984375
2007-11-30,97.203125
2007-12-31,92.703125
2008-01-31,54.5
2008-02-29,69.296875
2008-03-31,33.6015625
2008-04-30,28.1015625
2008-05-31,10.1015625
2008-06-30,39.8984375
2008-07-31,38.6015625
2008-08-31,46.3984375
2008-09-30,46.703125
2008-10-31,86.6015625
2008-11-30,59.8984375
2008-12-31,92.0
2009-01-31,42.0
2009-02-28,25.703125
2009-03-31,8.8984375
2009-04-30,77.703125
2009-05-31,15.6015625
2009-06-30,30.703125
2009-07-31,46.1015625
2009-08-31,33.796875
2009-09-30,51.5
2009-10-31,55.3984375
2009-11-30,18.3984375
2009-12-31,97.1015625
2010-01-31,35.796875
2010-02-28,148.0
2010-03-31,57.0
2010-04-30,26.3984375
2010-05-31,66.1015625
2010-06-30,20.5
2010-07-31,51.6015625
2010-08-31,77.703125
2010-09-30,44.6015625
2010-10-31,29.203125
2010-11-30,103.296875
2010-12-31,235.703125
2011-01-31,26.3984375
2011-02-28,107.1015625
2011-03-31,64.703125
2011-04-30,18.796875
2011-05-31,22.796875
2011-06-30,21.203125
2011-07-31,27.6015625
2011-08-31,63.5
2011-09-30,38.0
2011-10-31,32.8984375
2011-11-30,84.5
2011-12-31,63.0
2012-01-31,56.0
2012-02-29,181.1015625
2012-03-31,202.1015625
2012-04-30,36.703125
2012-05-31,19.8984375
2012-06-30,67.8984375
2012-07-31,34.3984375
2012-08-31,32.3984375
2012-09-30,55.5
2012-10-31,40.3984375
2012-11-30,27.203125
2012-12-31,49.8984375
2013-01-31,77.796875
2013-02-28,42.796875
2013-03-31,61.6015625
2013-04-30,13.1015625
2013-05-31,18.296875
2013-06-30,183.203125
2013-07-31,33.5
2013-08-31,25.8984375
2013-09-30,38.6015625
2013-10-31,27.203125
2013-11-30,57.5
2013-12-31,27.6015625
2014-01-31,10.8984375
2014-02-28,72.296875
2014-03-31,101.5
2014-04-30,69.0
2014-05-31,30.8984375
2014-06-30,49.6015625
2014-07-31,17.296875
2014-08-31,94.5
2014-09-30,40.3984375
2014-10-31,42.3984375
2014-11-30,21.3984375
2014-12-31,130.5
2015-01-31,109.703125
2015-02-28,19.6015625
2015-03-31,23.1015625
2015-04-30,85.296875
2015-05-31,25.5
2015-06-30,51.3984375
2015-07-31,60.1015625
2015-08-31,60.796875
2015-09-30,17.3984375
2015-10-31,14.796875
2015-11-30,41.796875
2015-12-31,8.0
2016-01-31,106.3984375
2016-02-29,15.3984375
2016-03-31,37.703125
2016-04-30,15.6015625
2016-05-31,46.8984375
2016-06-30,146.5
2016-07-31,71.5
2016-08-31,48.1015625
2016-09-30,113.3984375
2016-10-31,56.203125
2016-11-30,31.5
2016-12-31,69.6015625
2017-01-31,16.3984375
2017-02-28,43.1015625
2017-03-31,87.5
2017-04-30,34.6015625
2017-05-31,27.296875
2017-06-30,8.5
2017-07-31,19.296875
2017-08-31,56.796875
2017-09-30,27.8984375
2017-10-31,66.0
2017-11-30,68.296875
2017-12-31,82.5
2018-01-31,56.203125
2018-02-28,95.8984375
2018-03-31,5.8984375
2018-04-30,16.5
2018-05-31,21.3984375
2018-06-30,25.796875
2018-07-31,8.6015625
2018-08-31,36.3984375
2018-09-30,21.796875
2018-10-31,37.8984375
2018-11-30,76.6015625
2018-12-31,68.1015625
2019-01-31,67.0
2019-02-28,44.1015625
2019-03-31,100.0
2019-04-30,2.796875
2019-05-31,24.5
2019-06-30,58.296875
2019-07-31,17.0
2019-08-31,26.3984375
2019-09-30,40.703125
2019-10-31,15.703125
2019-11-30,15.796875
2019-12-31,1.296875
2020-01-31,20.296875
2020-02-29,158.703125
