,Rainfall
2000-01-31,59.203125
2000-02-29,37.1015625
2000-03-31,143.3984375
2000-04-30,54.3984375
2000-05-31,77.203125
2000-06-30,6.1015625
2000-07-31,1.703125
2000-08-31,19.5
2000-09-30,18.796875
2000-10-31,56.5
2000-11-30,134.5
2000-12-31,91.296875
2001-01-31,71.203125
2001-02-28,187.203125
2001-03-31,428.0
2001-04-30,54.703125
2001-05-31,56.5
2001-06-30,4.5
2001-07-31,46.1015625
2001-08-31,12.796875
2001-09-30,36.3984375
2001-10-31,22.1015625
2001-11-30,162.796875
2001-12-31,40.6015625
2002-01-31,62.296875
2002-02-28,87.6015625
2002-03-31,100.1015625
2002-04-30,30.796875
2002-05-31,20.8984375
2002-06-30,25.3984375
2002-07-31,1.203125
2002-08-31,51.3984375
2002-09-30,11.296875
2002-10-31,30.6015625
2002-11-30,42.1015625
2002-12-31,77.1015625
2003-01-31,16.6015625
2003-02-28,353.203125
2003-03-31,192.296875
2003-04-30,49.1015625
2003-05-31,60.3984375
2003-06-30,43.203125
2003-07-31,4.0
2003-08-31,4.8984375
2003-09-30,3.1015625
2003-10-31,164.1015625
2003-11-30,25.203125
2003-12-31,55.5
2004-01-31,199.5
2004-02-29,107.0
2004-03-31,186.203125
2004-04-30,36.5
2004-05-31,3.3984375
2004-06-30,13.203125
2004-07-31,14.5
2004-08-31,10.0
2004-09-30,23.203125
2004-10-31,123.703125
2004-11-30,72.5
2004-12-31,98.703125
2005-01-31,186.0
2005-02-28,57.8984375
2005-03-31,79.1015625
2005-04-30,19.203125
2005-05-31,22.203125
2005-06-30,184.5
2005-07-31,21.203125
2005-08-31,12.6015625
2005-09-30,35.1015625
2005-10-31,68.203125
2005-11-30,94.6015625
2005-12-31,131.5
2006-01-31,179.796875
2006-02-28,73.1015625
2006-03-31,297.3984375
2006-04-30,27.5
2006-05-31,18.796875
2006-06-30,54.8984375
2006-07-31,49.3984375
2006-08-31,135.703125
2006-09-30,46.796875
2006-10-31,42.296875
2006-11-30,132.296875
2006-12-31,81.296875
2007-01-31,155.3984375
2007-02-28,49.6015625
2007-03-31,131.3984375
2007-04-30,85.203125
2007-05-31,19.8984375
2007-06-30,75.5
2007-07-31,0.6015625
2007-08-31,182.6015625
2007-09-30,29.1015625
2007-10-31,115.296875
2007-11-30,135.796875
2007-12-31,74.5
2008-01-31,180.703125
2008-02-29,316.1015625
2008-03-31,13.1015625
2008-04-30,48.3984375
2008-05-31,24.0
2008-06-30,94.8984375
2008-07-31,31.3984375
2008-08-31,16.1015625
2008-09-30,93.5
2008-10-31,24.203125
2008-11-30,150.5
2008-12-31,122.0
2009-01-31,18.6015625
2009-02-28,192.8984375
2009-03-31,178.3984375
2009-04-30,150.703125
2009-05-31,314.5
2009-06-30,214.296875
2009-07-31,6.296875
2009-08-31,2.1015625
2009-09-30,38.6015625
2009-10-31,116.6015625
2009-11-30,101.6015625
2009-12-31,148.1015625
2010-01-31,52.796875
2010-02-28,138.8984375
2010-03-31,86.6015625
2010-04-30,85.0
2010-05-31,39.296875
2010-06-30,47.0
2010-07-31,61.1015625
2010-08-31,29.703125
2010-09-30,74.8984375
2010-10-31,276.296875
2010-11-30,99.3984375
2010-12-31,127.0
2011-01-31,195.796875
2011-02-28,78.796875
2011-03-31,131.203125
2011-04-30,125.796875
2011-05-31,64.1015625
2011-06-30,181.203125
2011-07-31,5.8984375
2011-08-31,74.703125
2011-09-30,37.796875
2011-10-31,84.5
2011-11-30,142.703125
2011-12-31,88.1015625
2012-01-31,316.3984375
2012-02-29,208.0
2012-03-31,62.1015625
2012-04-30,107.8984375
2012-05-31,29.1015625
2012-06-30,93.1015625
2012-07-31,25.1015625
2012-08-31,0.796875
2012-09-30,54.3984375
2012-10-31,29.796875
2012-11-30,37.203125
2012-12-31,89.0
2013-01-31,259.8984375
2013-02-28,337.296875
2013-03-31,135.6015625
2013-04-30,73.703125
2013-05-31,55.0
2013-06-30,62.8984375
2013-07-31,23.796875
2013-08-31,2.203125
2013-09-30,41.5
2013-10-31,11.8984375
2013-11-30,238.0
2013-12-31,51.6015625
2014-01-31,25.1015625
2014-02-28,15.1015625
2014-03-31,167.703125
2014-04-30,67.8984375
2014-05-31,29.5
2014-06-30,42.703125
2014-07-31,9.8984375
2014-08-31,151.1015625
2014-09-30,34.3984375
2014-10-31,8.796875
2014-11-30,45.3984375
2014-12-31,198.5
2015-01-31,164.6015625
2015-02-28,159.296875
2015-03-31,81.3984375
2015-04-30,90.703125
2015-05-31,189.6015625
2015-06-30,22.203125
2015-07-31,20.203125
2015-08-31,35.1015625
2015-09-30,51.796875
2015-10-31,20.203125
2015-11-30,112.5
2015-12-31,84.796875
2016-01-31,80.3984375
2016-02-29,9.0
2016-03-31,62.5
2016-04-30,45.6015625
2016-05-31,12.6015625
2016-06-30,261.203125
2016-07-31,20.0
2016-08-31,127.203125
2016-09-30,36.5
2016-10-31,23.1015625
2016-11-30,29.5
2016-12-31,38.6015625
2017-01-31,105.8984375
2017-02-28,65.203125
2017-03-31,470.796875
2017-04-30,21.6015625
2017-05-31,43.6015625
2017-06-30,182.8984375
2017-07-31,5.6015625
2017-08-31,0.203125
2017-09-30,0.3984375
2017-10-31,144.5
2017-11-30,63.796875
2017-12-31,164.796875
2018-01-31,54.1015625
2018-02-28,105.8984375
2018-03-31,115.0
2018-04-30,40.5
2018-05-31,5.796875
2018-06-30,82.3984375
2018-07-31,11.296875
2018-08-31,27.703125
2018-09-30,52.796875
2018-10-31,144.796875
2018-11-30,27.203125
2018-12-31,211.0
2019-01-31,7.796875
2019-02-28,23.203125
2019-03-31,63.203125
2019-04-30,51.1015625
2019-05-31,30.8984375
2019-06-30,56.203125
2019-07-31,17.8984375
2019-08-31,3.6015625
2019-09-30,18.3984375
2019-10-31,30.3984375
2019-11-30,11.3984375
2019-12-31,50.1015625
2020-01-31,251.796875
2020-02-29,464.703125
2020-03-31,91.796875
2020-04-30,44.1015625
2020-05-31,20.796875
2020-06-30,78.0
2020-07-31,57.3984375
2020-08-31,26.0
2020-09-30,18.8984375
2020-10-31,59.5
2020-11-30,10.1015625
2020-12-31,404.703125
2021-01-31,99.296875
2021-02-28,181.0
2021-03-31,328.5
2021-04-30,80.6015625
2021-05-31,63.1015625
2021-06-30,31.0
2021-07-31,37.796875
2021-08-31,16.796875
2021-09-30,24.1015625
2021-10-31,129.796875
2021-11-30,153.296875
2021-12-31,125.3984375
2022-01-31,91.296875
2022-02-28,513.6015625
2022-03-31,326.5
