,Rainfall
2000-01-31,25.5
2000-02-29,56.3984375
2000-03-31,45.5
2000-04-30,44.5
2000-05-31,68.296875
2000-06-30,38.1015625
2000-07-31,18.3984375
2000-08-31,49.6015625
2000-09-30,22.6015625
2000-10-31,48.5
2000-11-30,74.796875
2000-12-31,11.8984375
2001-01-31,40.203125
2001-02-28,39.8984375
2001-03-31,37.5
2001-04-30,31.296875
2001-05-31,9.6015625
2001-06-30,32.0
2001-07-31,31.296875
2001-08-31,30.0
2001-09-30,37.8984375
2001-10-31,43.703125
2001-11-30,18.703125
2001-12-31,2.1015625
2002-01-31,4.6015625
2002-02-28,74.5
2002-03-31,19.5
2002-04-30,7.296875
2002-05-31,26.8984375
2002-06-30,31.8984375
2002-07-31,8.5
2002-08-31,5.703125
2002-09-30,22.1015625
2002-10-31,0.1015625
2002-11-30,6.8984375
2002-12-31,6.203125
2003-01-31,14.703125
2003-02-28,96.0
2003-03-31,0.1015625
2003-04-30,13.3984375
2003-05-31,12.3984375
2003-06-30,29.296875
2003-07-31,52.203125
2003-08-31,67.5
2003-09-30,11.796875
2003-10-31,39.203125
2003-11-30,38.1015625
2003-12-31,58.0
2004-01-31,17.296875
2004-02-29,5.6015625
2004-03-31,0.203125
2004-04-30,16.796875
2004-05-31,21.296875
2004-06-30,38.0
2004-07-31,22.0
2004-08-31,35.1015625
2004-09-30,8.296875
2004-10-31,8.796875
2004-11-30,44.0
2004-12-31,32.203125
2005-01-31,11.0
2005-02-28,38.8984375
2005-03-31,3.0
2005-04-30,7.203125
2005-05-31,2.3984375
2005-06-30,87.6015625
2005-07-31,51.0
2005-08-31,51.6015625
2005-09-30,40.3984375
2005-10-31,58.3984375
2005-11-30,47.0
2005-12-31,32.796875
2006-01-31,14.1015625
2006-02-28,7.3984375
2006-03-31,10.5
2006-04-30,11.703125
2006-05-31,1.703125
2006-06-30,40.1015625
2006-07-31,47.296875
2006-08-31,3.703125
2006-09-30,11.296875
2006-10-31,0.0
2006-11-30,16.1015625
2006-12-31,3.796875
2007-01-31,11.796875
2007-02-28,13.0
2007-03-31,26.703125
2007-04-30,19.703125
2007-05-31,34.5
2007-06-30,20.296875
2007-07-31,35.1015625
2007-08-31,5.296875
2007-09-30,2.703125
2007-10-31,7.5
2007-11-30,87.6015625
2007-12-31,103.6015625
2008-01-31,44.703125
2008-02-29,12.796875
2008-03-31,6.703125
2008-04-30,20.296875
2008-05-31,7.3984375
2008-06-30,42.5
2008-07-31,36.5
2008-08-31,18.296875
2008-09-30,19.703125
2008-10-31,17.0
2008-11-30,60.1015625
2008-12-31,56.203125
2009-01-31,10.8984375
2009-02-28,19.203125
2009-03-31,10.1015625
2009-04-30,27.796875
2009-05-31,5.703125
2009-06-30,89.796875
2009-07-31,21.203125
2009-08-31,11.8984375
2009-09-30,15.296875
2009-10-31,14.5
2009-11-30,30.703125
2009-12-31,73.1015625
2010-01-31,4.8984375
2010-02-28,62.796875
2010-03-31,58.703125
2010-04-30,25.203125
2010-05-31,57.0
2010-06-30,21.1015625
