,Rainfall
2000-01-31,85.5
2000-02-29,5.796875
2000-03-31,219.5
2000-04-30,127.5
2000-05-31,83.3984375
2000-06-30,39.296875
2000-07-31,45.203125
2000-08-31,60.6015625
2000-09-30,25.1015625
2000-10-31,109.203125
2000-11-30,166.3984375
2000-12-31,35.5
2001-01-31,52.703125
2001-02-28,26.796875
2001-03-31,58.203125
2001-04-30,55.796875
2001-05-31,21.6015625
2001-06-30,28.5
2001-07-31,65.1015625
2001-08-31,29.1015625
2001-09-30,28.6015625
2001-10-31,69.6015625
2001-11-30,41.3984375
2001-12-31,44.703125
2002-01-31,36.3984375
2002-02-28,189.5
2002-03-31,68.6015625
2002-04-30,23.203125
2002-05-31,27.6015625
2002-06-30,32.796875
2002-07-31,10.0
2002-08-31,5.1015625
2002-09-30,28.6015625
2002-10-31,2.296875
2002-11-30,24.0
2002-12-31,37.296875
2003-01-31,13.0
2003-02-28,157.6015625
2003-03-31,48.3984375
2003-04-30,82.5
2003-05-31,5.203125
2003-06-30,68.0
2003-07-31,29.703125
2003-08-31,121.8984375
2003-09-30,13.0
2003-10-31,81.203125
2003-11-30,73.0
2003-12-31,44.6015625
2004-01-31,38.1015625
2004-02-29,91.0
2004-03-31,14.3984375
2004-04-30,8.1015625
2004-05-31,45.203125
2004-06-30,38.8984375
2004-07-31,67.1015625
2004-08-31,35.6015625
2004-09-30,28.0
2004-10-31,55.1015625
2004-11-30,71.0
2004-12-31,103.8984375
2005-01-31,53.203125
2005-02-28,93.1015625
2005-03-31,61.296875
2005-04-30,1.5
2005-05-31,2.5
2005-06-30,118.5
2005-07-31,58.8984375
2005-08-31,20.203125
2005-09-30,99.203125
2005-10-31,79.1015625
2005-11-30,147.3984375
2005-12-31,34.296875
2006-01-31,49.203125
2006-02-28,79.703125
2006-03-31,14.796875
2006-04-30,37.1015625
2006-05-31,1.296875
2006-06-30,32.703125
2006-07-31,80.203125
2006-08-31,9.703125
2006-09-30,12.1015625
2006-10-31,1.8984375
2006-11-30,38.296875
2006-12-31,39.5
2007-01-31,30.796875
2007-02-28,70.703125
2007-03-31,63.8984375
2007-04-30,32.0
2007-05-31,52.296875
2007-06-30,178.6015625
2007-07-31,16.6015625
2007-08-31,32.5
2007-09-30,1.0
2007-10-31,31.203125
2007-11-30,118.703125
2007-12-31,173.0
2008-01-31,97.8984375
2008-02-29,124.703125
2008-03-31,21.703125
2008-04-30,8.6015625
2008-05-31,12.8984375
2008-06-30,52.296875
2008-07-31,33.296875
2008-08-31,66.1015625
2008-09-30,60.0
2008-10-31,62.296875
2008-11-30,127.296875
2008-12-31,101.8984375
2009-01-31,8.1015625
2009-02-28,50.8984375
2009-03-31,24.1015625
2009-04-30,36.796875
2009-05-31,5.8984375
2009-06-30,54.203125
2009-07-31,47.6015625
