,Rainfall
2000-01-31,17.203125
2000-02-29,19.703125
2000-03-31,95.1015625
2000-04-30,27.203125
2000-05-31,39.5
2000-06-30,12.203125
2000-07-31,41.796875
2000-08-31,42.8984375
2000-09-30,8.0
2000-10-31,107.296875
2000-11-30,169.3984375
2000-12-31,37.796875
2001-01-31,40.5
2001-02-28,34.796875
2001-03-31,121.703125
2001-04-30,19.703125
2001-05-31,23.8984375
2001-06-30,21.703125
2001-07-31,91.3984375
2001-08-31,9.703125
2001-09-30,26.703125
2001-10-31,42.8984375
2001-11-30,87.0
2001-12-31,57.0
2002-01-31,18.0
2002-02-28,73.0
2002-03-31,43.8984375
2002-04-30,2.796875
2002-05-31,0.1015625
2002-06-30,21.1015625
2002-07-31,0.8984375
2002-08-31,8.5
2002-09-30,29.203125
2002-10-31,8.703125
2002-11-30,17.1015625
2002-12-31,54.203125
2003-01-31,16.796875
2003-02-28,65.5
2003-03-31,46.3984375
2003-04-30,86.3984375
2003-05-31,2.6015625
2003-06-30,42.6015625
2003-07-31,37.6015625
2003-08-31,61.203125
2003-09-30,4.8984375
2003-10-31,50.296875
2003-11-30,60.5
2003-12-31,29.703125
2004-01-31,166.1015625
2004-02-29,94.0
2004-03-31,27.796875
2004-04-30,18.296875
2004-05-31,17.296875
2004-06-30,17.703125
2004-07-31,47.6015625
2004-08-31,31.296875
2004-09-30,43.0
2004-10-31,31.203125
2004-11-30,78.703125
2004-12-31,174.5
2005-01-31,60.6015625
2005-02-28,32.5
2005-03-31,12.703125
2005-04-30,0.203125
2005-05-31,11.203125
2005-06-30,164.8984375
2005-07-31,51.3984375
2005-08-31,16.1015625
2005-09-30,72.703125
2005-10-31,57.296875
2005-11-30,98.296875
2005-12-31,47.296875
2006-01-31,54.8984375
2006-02-28,51.1015625
2006-03-31,16.5
2006-04-30,29.6015625
2006-05-31,1.203125
2006-06-30,38.296875
2006-07-31,60.203125
2006-08-31,6.6015625
2006-09-30,38.3984375
2006-10-31,9.8984375
2006-11-30,50.6015625
2006-12-31,15.296875
2007-01-31,25.5
2007-02-28,59.8984375
2007-03-31,88.703125
2007-04-30,20.203125
2007-05-31,44.1015625
2007-06-30,64.1015625
2007-07-31,9.8984375
2007-08-31,66.796875
2007-09-30,0.703125
2007-10-31,35.0
2007-11-30,40.203125
2007-12-31,154.3984375
2008-01-31,71.203125
2008-02-29,99.5
2008-03-31,4.296875
2008-04-30,19.703125
2008-05-31,20.0
2008-06-30,67.3984375
2008-07-31,19.8984375
2008-08-31,23.3984375
2008-09-30,69.1015625
2008-10-31,72.1015625
2008-11-30,135.1015625
2008-12-31,69.6015625
2009-01-31,26.5
2009-02-28,83.8984375
2009-03-31,5.296875
2009-04-30,27.296875
2009-05-31,24.5
2009-06-30,41.6015625
2009-07-31,24.296875
2009-08-31,5.0
2009-09-30,60.1015625
2009-10-31,48.0
2009-11-30,21.796875
2009-12-31,130.6015625
2010-01-31,97.203125
2010-02-28,78.0
2010-03-31,64.0
2010-04-30,26.6015625
2010-05-31,31.296875
2010-06-30,33.3984375
2010-07-31,89.796875
2010-08-31,57.1015625
2010-09-30,45.203125
2010-10-31,64.5
2010-11-30,115.796875
2010-12-31,182.3984375
2011-01-31,35.296875
2011-02-28,34.703125
2011-03-31,28.8984375
2011-04-30,27.203125
2011-05-31,48.6015625
2011-06-30,9.1015625
2011-07-31,3.5
2011-08-31,28.5
2011-09-30,82.703125
2011-10-31,64.203125
2011-11-30,179.203125
2011-12-31,73.796875
2012-01-31,93.6015625
2012-02-29,178.1015625
2012-03-31,19.703125
2012-04-30,22.703125
2012-05-31,38.3984375
2012-06-30,34.5
2012-07-31,79.796875
2012-08-31,9.203125
2012-09-30,28.703125
2012-10-31,4.296875
2012-11-30,14.6015625
2012-12-31,58.296875
2013-01-31,125.296875
2013-02-28,64.6015625
2013-03-31,57.5
2013-04-30,0.0
2013-05-31,19.296875
2013-06-30,92.796875
2013-07-31,24.8984375
2013-08-31,5.8984375
2013-09-30,23.203125
2013-10-31,10.796875
2013-11-30,49.296875
2013-12-31,20.8984375
2014-01-31,0.5
2014-02-28,38.1015625
2014-03-31,142.6015625
2014-04-30,14.296875
2014-05-31,21.703125
2014-06-30,63.5
2014-07-31,15.8984375
2014-08-31,55.203125
2014-09-30,14.6015625
2014-10-31,20.203125
2014-11-30,24.203125
2014-12-31,112.1015625
2015-01-31,78.5
2015-02-28,22.0
2015-03-31,36.796875
2015-04-30,96.796875
2015-05-31,29.1015625
2015-06-30,56.1015625
2015-07-31,21.3984375
2015-08-31,24.3984375
2015-09-30,19.0
2015-10-31,27.703125
2015-11-30,46.6015625
2015-12-31,59.0
2016-01-31,85.796875
2016-02-29,1.3984375
2016-03-31,10.3984375
2016-04-30,10.6015625
2016-05-31,39.703125
2016-06-30,78.3984375
2016-07-31,21.8984375
2016-08-31,70.6015625
2016-09-30,117.296875
2016-10-31,56.296875
2016-11-30,7.0
2016-12-31,65.6015625
2017-01-31,63.703125
2017-02-28,20.203125
2017-03-31,96.796875
2017-04-30,8.6015625
2017-05-31,47.3984375
2017-06-30,43.1015625
2017-07-31,13.5
2017-08-31,14.703125
2017-09-30,5.0
2017-10-31,71.8984375
2017-11-30,77.8984375
2017-12-31,54.3984375
2018-01-31,27.0
2018-02-28,40.296875
2018-03-31,21.5
2018-04-30,12.296875
2018-05-31,0.3984375
2018-06-30,4.1015625
2018-07-31,5.3984375
2018-08-31,31.796875
2018-09-30,44.6015625
2018-10-31,52.0
2018-11-30,75.1015625
2018-12-31,29.6015625
2019-01-31,14.0
2019-02-28,0.703125
2019-03-31,85.203125
2019-04-30,0.0
2019-05-31,40.703125
2019-06-30,7.703125
2019-07-31,15.703125
2019-08-31,2.703125
2019-09-30,2.1015625
2019-10-31,5.6015625
2019-11-30,31.203125
2019-12-31,0.8984375
2020-01-31,45.203125
2020-02-29,142.3984375
2020-03-31,82.703125
2020-04-30,59.296875
2020-05-31,22.3984375
2020-06-30,23.1015625
2020-07-31,31.5
2020-08-31,33.5
2020-09-30,20.796875
2020-10-31,88.0
2020-11-30,7.203125
2020-12-31,208.796875
2021-01-31,27.796875
2021-02-28,100.3984375
2021-03-31,107.5
2021-04-30,16.0
2021-05-31,37.0
