,Rainfall
2000-01-31,2.0
2000-02-29,57.8984375
2000-03-31,21.6015625
2000-04-30,36.703125
2000-05-31,47.796875
2000-06-30,26.296875
2000-07-31,34.5
2000-08-31,43.796875
2000-09-30,34.3984375
2000-10-31,30.8984375
2000-11-30,38.8984375
2000-12-31,2.0
2001-01-31,46.1015625
2001-02-28,15.6015625
2001-03-31,23.1015625
2001-04-30,8.3984375
2001-05-31,12.296875
2001-06-30,16.703125
2001-07-31,29.6015625
2001-08-31,27.296875
2001-09-30,29.203125
2001-10-31,53.8984375
2001-11-30,2.1015625
2001-12-31,1.8984375
2002-01-31,22.796875
2002-02-28,38.5
2002-03-31,17.0
2002-04-30,6.796875
2002-05-31,18.296875
2002-06-30,18.5
2002-07-31,5.796875
2002-08-31,14.1015625
2002-09-30,15.703125
2002-10-31,0.703125
2002-11-30,3.5
2002-12-31,2.1015625
2003-01-31,10.703125
2003-02-28,46.296875
2003-03-31,0.1015625
2003-04-30,25.203125
2003-05-31,26.296875
2003-06-30,13.203125
2003-07-31,49.296875
2003-08-31,57.796875
2003-09-30,7.5
2003-10-31,40.703125
2003-11-30,33.0
2003-12-31,33.0
2004-01-31,12.8984375
2004-02-29,0.6015625
2004-03-31,0.1015625
2004-04-30,0.1015625
2004-05-31,14.203125
2004-06-30,32.1015625
2004-07-31,24.796875
2004-08-31,34.5
2004-09-30,9.5
2004-10-31,3.1015625
2004-11-30,63.3984375
2004-12-31,66.8984375
2005-01-31,17.8984375
2005-02-28,47.0
2005-03-31,1.296875
2005-04-30,3.3984375
2005-05-31,2.1015625
2005-06-30,55.296875
2005-07-31,40.1015625
2005-08-31,53.5
2005-09-30,47.796875
2005-10-31,63.3984375
2005-11-30,25.796875
2005-12-31,13.203125
2006-01-31,5.796875
2006-02-28,10.5
2006-03-31,5.0
2006-04-30,9.0
2006-05-31,2.203125
2006-06-30,25.3984375
2006-07-31,46.3984375
2006-08-31,4.8984375
2006-09-30,13.796875
2006-10-31,0.0
2006-11-30,20.796875
2006-12-31,17.296875
2007-01-31,21.6015625
2007-02-28,7.703125
2007-03-31,18.6015625
2007-04-30,19.6015625
2007-05-31,36.203125
2007-06-30,17.6015625
2007-07-31,23.703125
2007-08-31,1.6015625
2007-09-30,1.1015625
2007-10-31,1.0
2007-11-30,68.1015625
2007-12-31,85.1015625
2008-01-31,33.796875
2008-02-29,9.203125
2008-03-31,5.203125
2008-04-30,21.1015625
2008-05-31,12.296875
2008-06-30,13.703125
2008-07-31,13.6015625
2008-08-31,17.8984375
2008-09-30,17.1015625
2008-10-31,5.796875
2008-11-30,34.203125
2008-12-31,43.1015625
2009-01-31,1.703125
2009-02-28,0.703125
2009-03-31,23.1015625
2009-04-30,29.796875
2009-05-31,10.0
2009-06-30,67.0
2009-07-31,11.5
2009-08-31,10.0
2009-09-30,16.796875
2009-10-31,6.5
2009-11-30,38.796875
2009-12-31,21.703125
2010-01-31,7.8984375
2010-02-28,125.3984375
2010-03-31,67.6015625
2010-04-30,23.0
2010-05-31,61.703125
2010-06-30,13.296875
2010-07-31,35.203125
2010-08-31,43.8984375
2010-09-30,55.796875
2010-10-31,107.0
2010-11-30,106.203125
2010-12-31,39.1015625
2011-01-31,101.703125
2011-02-28,174.1015625
2011-03-31,52.296875
2011-04-30,17.703125
2011-05-31,15.5
2011-06-30,8.1015625
2011-07-31,22.5
2011-08-31,43.796875
2011-09-30,28.0
2011-10-31,18.703125
2011-11-30,64.8984375
2011-12-31,33.796875
2012-01-31,26.296875
2012-02-29,55.8984375
2012-03-31,129.8984375
2012-04-30,9.703125
2012-05-31,7.296875
2012-06-30,6.703125
2012-07-31,47.8984375
2012-08-31,19.703125
2012-09-30,6.3984375
2012-10-31,4.703125
2012-11-30,24.5
2012-12-31,12.5
2013-01-31,2.796875
2013-02-28,36.8984375
2013-03-31,16.8984375
2013-04-30,6.0
2013-05-31,31.703125
2013-06-30,57.0
2013-07-31,27.703125
2013-08-31,15.3984375
2013-09-30,14.703125
2013-10-31,5.703125
2013-11-30,3.296875
2013-12-31,22.8984375
2014-01-31,9.203125
2014-02-28,33.703125
2014-03-31,17.203125
2014-04-30,23.703125
2014-05-31,20.296875
2014-06-30,39.796875
2014-07-31,9.1015625
2014-08-31,2.296875
2014-09-30,15.1015625
2014-10-31,5.796875
2014-11-30,21.796875
2014-12-31,8.0
2015-01-31,47.703125
2015-02-28,16.6015625
2015-03-31,0.296875
2015-04-30,50.796875
2015-05-31,3.703125
2015-06-30,41.3984375
2015-07-31,31.3984375
2015-08-31,38.0
2015-09-30,12.703125
2015-10-31,19.796875
2015-11-30,73.796875
2015-12-31,18.8984375
2016-01-31,31.296875
2016-02-29,4.203125
2016-03-31,7.296875
2016-04-30,12.6015625
2016-05-31,68.5
2016-06-30,46.6015625
2016-07-31,39.3984375
2016-08-31,65.3984375
2016-09-30,108.203125
2016-10-31,25.1015625
2016-11-30,29.0
2016-12-31,26.5
2017-01-31,12.6015625
2017-02-28,1.796875
2017-03-31,16.8984375
2017-04-30,43.796875
2017-05-31,53.203125
2017-06-30,1.203125
2017-07-31,12.1015625
2017-08-31,25.3984375
2017-09-30,0.796875
2017-10-31,45.3984375
2017-11-30,25.796875
2017-12-31,102.0
2018-01-31,16.5
2018-02-28,0.8984375
2018-03-31,1.8984375
2018-04-30,0.6015625
2018-05-31,16.8984375
2018-06-30,23.8984375
2018-07-31,6.6015625
2018-08-31,4.296875
2018-09-30,3.1015625
2018-10-31,18.8984375
2018-11-30,50.8984375
2018-12-31,14.796875
2019-01-31,9.703125
2019-02-28,27.5
2019-03-31,8.296875
2019-04-30,14.5
2019-05-31,55.296875
2019-06-30,16.1015625
2019-07-31,24.8984375
2019-08-31,7.3984375
2019-09-30,8.203125
2019-10-31,3.6015625
2019-11-30,17.1015625
2019-12-31,5.1015625
2020-01-31,11.296875
2020-02-29,17.296875
2020-03-31,39.6015625
2020-04-30,94.8984375
2020-05-31,10.8984375
2020-06-30,13.8984375
2020-07-31,20.6015625
2020-08-31,46.296875
2020-09-30,22.6015625
2020-10-31,71.1015625
2020-11-30,13.8984375
2020-12-31,12.296875
2021-01-31,41.8984375
2021-02-28,8.3984375
2021-03-31,14.203125
2021-04-30,2.296875
2021-05-31,9.703125
2021-06-30,42.3984375
2021-07-31,29.8984375
2021-08-31,15.296875
2021-09-30,55.6015625
2021-10-31,17.5
2021-11-30,82.5
2021-12-31,22.1015625
2022-01-31,68.1015625
2022-02-28,15.8984375
2022-03-31,27.8984375
