,Rainfall
2000-01-31,50.5
2000-02-29,36.5
2000-03-31,78.8984375
2000-04-30,8.796875
2000-05-31,31.8984375
2000-06-30,7.8984375
2000-07-31,18.8984375
2000-08-31,5.296875
2000-09-30,4.0
2000-10-31,61.0
2000-11-30,68.0
2000-12-31,71.703125
2001-01-31,43.6015625
2001-02-28,96.6015625
2001-03-31,50.296875
2001-04-30,36.6015625
2001-05-31,43.203125
2001-06-30,17.703125
2001-07-31,52.6015625
2001-08-31,24.796875
2001-09-30,10.3984375
2001-10-31,58.296875
2001-11-30,85.703125
2001-12-31,53.8984375
2002-01-31,19.3984375
2002-02-28,51.6015625
2002-03-31,124.5
2002-04-30,0.0
2002-05-31,4.8984375
2002-06-30,20.3984375
2002-07-31,2.3984375
2002-08-31,24.8984375
2002-09-30,8.703125
2002-10-31,34.8984375
2002-11-30,49.5
2002-12-31,102.703125
2003-01-31,1.796875
2003-02-28,128.1015625
2003-03-31,54.296875
2003-04-30,33.296875
2003-05-31,19.203125
2003-06-30,21.0
2003-07-31,24.296875
2003-08-31,9.796875
2003-09-30,0.0
2003-10-31,111.3984375
2003-11-30,36.5
2003-12-31,127.703125
2004-01-31,188.796875
2004-02-29,56.296875
2004-03-31,15.5
2004-04-30,44.296875
2004-05-31,25.3984375
2004-06-30,4.796875
2004-07-31,11.796875
2004-08-31,9.296875
2004-09-30,51.3984375
2004-10-31,57.3984375
2004-11-30,123.0
2004-12-31,140.1015625
2005-01-31,32.296875
2005-02-28,22.0
2005-03-31,21.0
2005-04-30,0.1015625
2005-05-31,19.796875
2005-06-30,100.5
2005-07-31,10.8984375
2005-08-31,7.0
2005-09-30,22.703125
2005-10-31,71.0
2005-11-30,110.703125
2005-12-31,75.1015625
2006-01-31,140.703125
2006-02-28,65.203125
2006-03-31,15.703125
2006-04-30,21.203125
2006-05-31,11.6015625
2006-06-30,16.203125
2006-07-31,42.5
2006-08-31,6.8984375
2006-09-30,54.6015625
2006-10-31,1.0
2006-11-30,68.0
2006-12-31,20.0
2007-01-31,18.203125
2007-02-28,39.796875
2007-03-31,24.3984375
2007-04-30,12.1015625
2007-05-31,8.1015625
2007-06-30,80.296875
2007-07-31,0.8984375
2007-08-31,60.6015625
2007-09-30,8.703125
2007-10-31,57.203125
2007-11-30,120.703125
2007-12-31,68.203125
2008-01-31,47.5
2008-02-29,140.703125
2008-03-31,6.796875
2008-04-30,10.0
2008-05-31,10.1015625
2008-06-30,42.8984375
2008-07-31,29.3984375
2008-08-31,6.5
2008-09-30,51.703125
2008-10-31,11.1015625
2008-11-30,154.3984375
2008-12-31,63.1015625
2009-01-31,16.203125
2009-02-28,51.296875
2009-03-31,3.203125
2009-04-30,52.3984375
2009-05-31,71.1015625
2009-06-30,23.6015625
2009-07-31,9.796875
2009-08-31,1.796875
2009-09-30,17.796875
2009-10-31,25.3984375
2009-11-30,63.296875
2009-12-31,103.3984375
2010-01-31,46.296875
2010-02-28,67.3984375
2010-03-31,134.0
2010-04-30,16.703125
2010-05-31,34.703125
2010-06-30,7.703125
2010-07-31,74.8984375
2010-08-31,86.1015625
2010-09-30,130.3984375
2010-10-31,54.8984375
2010-11-30,89.796875
2010-12-31,176.1015625
2011-01-31,131.703125
2011-02-28,38.296875
2011-03-31,83.6015625
2011-04-30,40.796875
2011-05-31,48.296875
2011-06-30,5.5
2011-07-31,19.5
2011-08-31,56.3984375
2011-09-30,55.203125
2011-10-31,92.703125
2011-11-30,65.0
2011-12-31,68.8984375
2012-01-31,170.1015625
2012-02-29,22.5
2012-03-31,31.1015625
2012-04-30,53.5
2012-05-31,20.5
2012-06-30,46.8984375
2012-07-31,55.703125
2012-08-31,1.1015625
2012-09-30,13.203125
2012-10-31,39.5
2012-11-30,56.1015625
2012-12-31,131.1015625
2013-01-31,176.296875
2013-02-28,48.796875
2013-03-31,87.8984375
2013-04-30,15.203125
2013-05-31,16.703125
2013-06-30,60.8984375
2013-07-31,27.8984375
2013-08-31,0.703125
2013-09-30,19.1015625
2013-10-31,40.1015625
2013-11-30,111.296875
2013-12-31,50.8984375
2014-01-31,29.1015625
2014-02-28,30.5
2014-03-31,105.3984375
2014-04-30,1.203125
2014-05-31,40.296875
2014-06-30,35.1015625
2014-07-31,9.0
2014-08-31,54.8984375
2014-09-30,13.703125
2014-10-31,18.1015625
2014-11-30,7.703125
2014-12-31,113.1015625
2015-01-31,120.5
2015-02-28,57.6015625
2015-03-31,28.5
2015-04-30,62.203125
2015-05-31,97.296875
2015-06-30,21.703125
2015-07-31,35.0
2015-08-31,20.5
2015-09-30,16.1015625
2015-10-31,37.0
2015-11-30,54.703125
2015-12-31,81.5
2016-01-31,74.5
2016-02-29,58.0
2016-03-31,25.296875
2016-04-30,16.8984375
2016-05-31,31.0
2016-06-30,40.796875
2016-07-31,18.3984375
2016-08-31,84.296875
2016-09-30,83.6015625
2016-10-31,41.5
2016-11-30,11.1015625
2016-12-31,51.6015625
2017-01-31,34.0
2017-02-28,27.703125
2017-03-31,194.3984375
2017-04-30,23.0
2017-05-31,11.1015625
2017-06-30,24.8984375
2017-07-31,21.296875
2017-08-31,2.6015625
2017-09-30,1.296875
2017-10-31,92.5
2017-11-30,22.8984375
2017-12-31,56.796875
2018-01-31,26.5
2018-02-28,53.203125
2018-03-31,41.296875
2018-04-30,15.796875
2018-05-31,3.3984375
2018-06-30,7.296875
2018-07-31,43.8984375
2018-08-31,20.6015625
2018-09-30,7.1015625
2018-10-31,78.0
2018-11-30,38.703125
2018-12-31,103.703125
2019-01-31,8.796875
2019-02-28,2.3984375
2019-03-31,49.796875
2019-04-30,0.1015625
2019-05-31,2.1015625
2019-06-30,10.703125
2019-07-31,0.3984375
2019-08-31,8.1015625
2019-09-30,1.5
2019-10-31,16.703125
2019-11-30,9.703125
2019-12-31,21.3984375
2020-01-31,61.0
2020-02-29,139.1015625
2020-03-31,29.3984375
2020-04-30,16.1015625
2020-05-31,17.8984375
2020-06-30,25.296875
2020-07-31,16.1015625
2020-08-31,40.3984375
2020-09-30,0.6015625
2020-10-31,57.5
2020-11-30,13.203125
2020-12-31,84.8984375
2021-01-31,37.6015625
2021-02-28,28.1015625
2021-03-31,185.6015625
2021-04-30,52.8984375
2021-05-31,31.796875
2021-06-30,59.1015625
2021-07-31,78.0
2021-08-31,12.3984375
2021-09-30,8.296875
2021-10-31,52.5
2021-11-30,197.0
2021-12-31,141.8984375
2022-01-31,69.703125
2022-02-28,113.5
2022-03-31,131.0
