,Rainfall
2000-01-31,2.203125
2000-02-29,176.3984375
2000-03-31,0.8984375
2000-04-30,60.5
2000-05-31,14.1015625
2000-06-30,6.703125
2000-07-31,9.1015625
2000-08-31,20.8984375
2000-09-30,17.5
2000-10-31,28.8984375
2000-11-30,33.3984375
2000-12-31,19.203125
2001-01-31,6.5
2001-02-28,33.296875
2001-03-31,0.203125
2001-04-30,0.8984375
2001-05-31,6.3984375
2001-06-30,33.3984375
2001-07-31,14.3984375
2001-08-31,3.8984375
2001-09-30,29.6015625
2001-10-31,37.5
2001-11-30,0.0
2001-12-31,7.3984375
2002-01-31,15.796875
2002-02-28,17.5
2002-03-31,10.203125
2002-04-30,16.3984375
2002-05-31,7.703125
2002-06-30,3.0
2002-07-31,3.203125
2002-08-31,9.296875
2002-09-30,3.203125
2002-10-31,0.0
2002-11-30,5.6015625
2002-12-31,14.703125
2003-01-31,1.703125
2003-02-28,67.8984375
2003-03-31,0.0
2003-04-30,9.8984375
2003-05-31,40.796875
2003-06-30,22.296875
2003-07-31,31.5
2003-08-31,49.8984375
2003-09-30,0.6015625
2003-10-31,24.3984375
2003-11-30,21.0
2003-12-31,42.296875
2004-01-31,0.1015625
2004-02-29,13.703125
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,3.6015625
2004-06-30,43.5
2004-07-31,5.703125
2004-08-31,57.703125
2004-09-30,7.203125
2004-10-31,13.796875
2004-11-30,24.296875
2004-12-31,29.3984375
2005-01-31,13.203125
2005-02-28,10.5
2005-03-31,2.296875
2005-04-30,0.203125
2005-05-31,0.703125
2005-06-30,70.203125
2005-07-31,49.8984375
2005-08-31,17.0
2005-09-30,40.703125
2005-10-31,25.6015625
2005-11-30,45.5
2005-12-31,7.6015625
2006-01-31,34.6015625
2006-02-28,0.3984375
2006-03-31,1.796875
2006-04-30,11.8984375
2006-05-31,0.5
2006-06-30,57.0
2006-07-31,27.0
2006-08-31,1.1015625
2006-09-30,9.703125
2006-10-31,0.0
2006-11-30,4.296875
2006-12-31,32.3984375
2007-01-31,71.5
2007-02-28,20.703125
2007-03-31,3.1015625
2007-04-30,33.703125
2007-05-31,91.296875
2007-06-30,5.6015625
2007-07-31,7.1015625
2007-08-31,0.296875
2007-09-30,0.6015625
2007-10-31,16.3984375
2007-11-30,33.796875
2007-12-31,3.296875
2008-01-31,30.703125
2008-02-29,1.0
2008-03-31,4.0
2008-04-30,4.5
2008-05-31,1.0
2008-06-30,26.296875
2008-07-31,8.8984375
2008-08-31,9.1015625
2008-09-30,20.203125
2008-10-31,1.5
2008-11-30,40.0
2008-12-31,24.5
2009-01-31,1.0
2009-02-28,0.6015625
2009-03-31,25.296875
2009-04-30,11.796875
2009-05-31,9.5
2009-06-30,32.296875
2009-07-31,16.3984375
2009-08-31,8.203125
2009-09-30,3.3984375
2009-10-31,1.296875
2009-11-30,39.8984375
2009-12-31,6.703125
2010-01-31,7.3984375
2010-02-28,107.0
2010-03-31,39.8984375
2010-04-30,21.203125
2010-05-31,19.1015625
2010-06-30,12.203125
2010-07-31,23.0
2010-08-31,15.3984375
2010-09-30,29.203125
2010-10-31,57.6015625
2010-11-30,67.6015625
2010-12-31,35.1015625
2011-01-31,138.796875
2011-02-28,143.6015625
2011-03-31,90.6015625
2011-04-30,13.296875
2011-05-31,14.3984375
2011-06-30,1.3984375
2011-07-31,14.1015625
2011-08-31,11.296875
2011-09-30,10.0
2011-10-31,17.296875
2011-11-30,28.8984375
2011-12-31,7.203125
2012-01-31,27.5
2012-02-29,54.703125
2012-03-31,57.6015625
2012-04-30,1.1015625
2012-05-31,0.0
2012-06-30,5.5
2012-07-31,32.6015625
2012-08-31,4.796875
2012-09-30,0.3984375
2012-10-31,10.5
2012-11-30,41.3984375
2012-12-31,8.296875
2013-01-31,0.0
2013-02-28,44.8984375
2013-03-31,4.5
2013-04-30,2.0
2013-05-31,21.296875
2013-06-30,77.796875
2013-07-31,8.3984375
2013-08-31,4.1015625
2013-09-30,4.8984375
2013-10-31,4.0
2013-11-30,3.8984375
2013-12-31,10.0
2014-01-31,2.203125
2014-02-28,25.203125
2014-03-31,13.0
2014-04-30,65.796875
2014-05-31,18.6015625
2014-06-30,6.796875
2014-07-31,4.703125
2014-08-31,41.203125
2014-09-30,13.1015625
2014-10-31,0.1015625
2014-11-30,9.6015625
2014-12-31,4.3984375
2015-01-31,54.296875
2015-02-28,10.296875
2015-03-31,0.3984375
2015-04-30,35.203125
2015-05-31,6.5
2015-06-30,26.0
2015-07-31,10.8984375
2015-08-31,27.296875
2015-09-30,6.8984375
2015-10-31,5.796875
2015-11-30,34.796875
2015-12-31,17.6015625
2016-01-31,20.1015625
2016-02-29,0.703125
2016-03-31,24.0
2016-04-30,29.703125
2016-05-31,46.8984375
2016-06-30,33.5
2016-07-31,18.296875
2016-08-31,48.296875
2016-09-30,138.203125
2016-10-31,14.0
2016-11-30,12.703125
2016-12-31,37.0
2017-01-31,11.5
2017-02-28,0.0
2017-03-31,1.703125
2017-04-30,24.203125
2017-05-31,3.296875
2017-06-30,1.1015625
2017-07-31,2.796875
2017-08-31,11.5
2017-09-30,0.0
2017-10-31,15.5
2017-11-30,22.296875
2017-12-31,33.1015625
2018-01-31,10.0
2018-02-28,0.0
2018-03-31,0.0
2018-04-30,0.3984375
2018-05-31,6.1015625
2018-06-30,8.0
2018-07-31,3.796875
2018-08-31,5.296875
2018-09-30,0.203125
2018-10-31,49.8984375
2018-11-30,24.8984375
2018-12-31,15.296875
2019-01-31,5.0
2019-02-28,8.0
2019-03-31,16.0
2019-04-30,18.296875
2019-05-31,31.296875
2019-06-30,3.3984375
2019-07-31,9.5
2019-08-31,0.203125
2019-09-30,2.203125
2019-10-31,0.796875
2019-11-30,2.8984375
2019-12-31,0.3984375
2020-01-31,11.8984375
2020-02-29,11.796875
2020-03-31,23.796875
2020-04-30,37.3984375
2020-05-31,4.0
2020-06-30,2.0
2020-07-31,3.5
2020-08-31,30.703125
2020-09-30,36.703125
2020-10-31,46.796875
2020-11-30,2.8984375
2020-12-31,15.0
2021-01-31,44.6015625
2021-02-28,0.1015625
2021-03-31,29.3984375
2021-04-30,0.0
2021-05-31,9.203125
2021-06-30,34.796875
2021-07-31,18.1015625
2021-08-31,6.3984375
2021-09-30,15.796875
2021-10-31,16.3984375
2021-11-30,65.8984375
2021-12-31,8.8984375
2022-01-31,20.3984375
2022-02-28,6.296875
2022-03-31,29.6015625
