,Rainfall
2000-01-31,33.8984375
2000-02-29,22.3984375
2000-03-31,198.8984375
2000-04-30,55.8984375
2000-05-31,39.296875
2000-06-30,70.8984375
2000-07-31,31.296875
2000-08-31,22.1015625
2000-09-30,46.203125
2000-10-31,49.6015625
2000-11-30,173.296875
2000-12-31,49.796875
2001-01-31,76.8984375
2001-02-28,142.8984375
2001-03-31,75.3984375
2001-04-30,74.8984375
2001-05-31,50.0
2001-06-30,10.296875
2001-07-31,106.1015625
2001-08-31,94.5
2001-09-30,36.6015625
2001-10-31,73.6015625
2001-11-30,78.703125
2001-12-31,17.3984375
2002-01-31,60.1015625
2002-02-28,195.796875
2002-03-31,75.703125
2002-04-30,53.796875
2002-05-31,31.5
2002-06-30,30.296875
2002-07-31,17.3984375
2002-08-31,12.1015625
2002-09-30,23.3984375
2002-10-31,4.3984375
2002-11-30,18.296875
2002-12-31,54.796875
2003-01-31,41.5
2003-02-28,129.796875
2003-03-31,86.3984375
2003-04-30,111.0
2003-05-31,154.796875
2003-06-30,43.703125
2003-07-31,24.203125
2003-08-31,34.703125
2003-09-30,14.3984375
2003-10-31,74.5
2003-11-30,91.1015625
2003-12-31,48.296875
2004-01-31,86.296875
2004-02-29,86.1015625
2004-03-31,54.5
2004-04-30,49.6015625
2004-05-31,5.703125
2004-06-30,12.796875
2004-07-31,47.5
2004-08-31,20.203125
2004-09-30,48.5
2004-10-31,137.296875
2004-11-30,70.203125
2004-12-31,99.296875
2005-01-31,65.3984375
2005-02-28,150.796875
2005-03-31,64.6015625
2005-04-30,15.5
2005-05-31,16.1015625
2005-06-30,85.1015625
2005-07-31,115.0
2005-08-31,7.5
2005-09-30,96.703125
2005-10-31,66.6015625
2005-11-30,175.796875
2005-12-31,51.203125
2006-01-31,126.6015625
2006-02-28,40.203125
2006-03-31,29.703125
2006-04-30,5.1015625
2006-05-31,34.796875
2006-06-30,90.296875
2006-07-31,86.3984375
2006-08-31,22.703125
2006-09-30,73.1015625
2006-10-31,3.6015625
2006-11-30,39.3984375
2006-12-31,64.796875
2007-01-31,36.0
2007-02-28,229.0
2007-03-31,98.203125
2007-04-30,44.0
2007-05-31,34.703125
2007-06-30,316.296875
2007-07-31,37.0
2007-08-31,34.6015625
2007-09-30,34.1015625
2007-10-31,34.1015625
2007-11-30,118.6015625
2007-12-31,83.1015625
2008-01-31,73.703125
2008-02-29,185.8984375
2008-03-31,42.1015625
2008-04-30,43.796875
2008-05-31,8.3984375
2008-06-30,78.6015625
2008-07-31,49.203125
2008-08-31,39.0
2008-09-30,63.5
2008-10-31,84.8984375
2008-11-30,60.5
2008-12-31,95.0
2009-01-31,15.5
2009-02-28,68.5
2009-03-31,36.703125
2009-04-30,95.703125
2009-05-31,116.6015625
2009-06-30,37.703125
2009-07-31,25.6015625
2009-08-31,9.796875
2009-09-30,28.5
2009-10-31,59.6015625
2009-11-30,37.296875
2009-12-31,96.703125
2010-01-31,88.703125
2010-02-28,192.796875
2010-03-31,59.5
2010-04-30,14.796875
2010-05-31,90.203125
2010-06-30,43.3984375
2010-07-31,52.6015625
2010-08-31,49.703125
2010-09-30,51.296875
2010-10-31,81.1015625
2010-11-30,190.796875
2010-12-31,168.3984375
2011-01-31,71.3984375
2011-02-28,71.296875
2011-03-31,118.296875
2011-04-30,38.703125
2011-05-31,55.3984375
2011-06-30,72.3984375
2011-07-31,83.6015625
2011-08-31,53.203125
2011-09-30,36.0
2011-10-31,80.296875
2011-11-30,122.5
2011-12-31,76.0
2012-01-31,61.796875
2012-02-29,261.296875
2012-03-31,238.796875
2012-04-30,80.6015625
2012-05-31,22.3984375
2012-06-30,92.203125
2012-07-31,31.1015625
2012-08-31,8.6015625
2012-09-30,28.0
2012-10-31,58.6015625
2012-11-30,59.203125
2012-12-31,43.5
2013-01-31,164.6015625
2013-02-28,174.1015625
2013-03-31,72.203125
2013-04-30,69.5
2013-05-31,48.203125
2013-06-30,206.0
2013-07-31,18.6015625
2013-08-31,5.296875
2013-09-30,67.3984375
2013-10-31,11.796875
2013-11-30,90.203125
2013-12-31,49.8984375
2014-01-31,22.796875
2014-02-28,44.0
2014-03-31,217.6015625
2014-04-30,55.296875
2014-05-31,22.796875
2014-06-30,40.296875
2014-07-31,4.703125
2014-08-31,228.6015625
2014-09-30,37.703125
2014-10-31,61.5
2014-11-30,23.203125
2014-12-31,256.1015625
2015-01-31,115.203125
2015-02-28,51.703125
2015-03-31,52.8984375
2015-04-30,223.1015625
2015-05-31,44.1015625
2015-06-30,54.5
2015-07-31,60.1015625
2015-08-31,164.6015625
2015-09-30,44.1015625
2015-10-31,26.1015625
2015-11-30,52.703125
2015-12-31,44.0
2016-01-31,158.3984375
2016-02-29,33.1015625
2016-03-31,48.0
2016-04-30,30.296875
2016-05-31,20.0
2016-06-30,331.203125
2016-07-31,89.8984375
2016-08-31,48.3984375
2016-09-30,73.296875
2016-10-31,29.703125
2016-11-30,37.703125
2016-12-31,45.3984375
2017-01-31,43.296875
2017-02-28,99.3984375
2017-03-31,301.1015625
2017-04-30,35.796875
2017-05-31,27.1015625
2017-06-30,69.703125
2017-07-31,3.796875
2017-08-31,29.0
2017-09-30,1.203125
2017-10-31,51.3984375
2017-11-30,77.5
2017-12-31,35.5
2018-01-31,61.796875
2018-02-28,107.5
2018-03-31,30.703125
2018-04-30,19.703125
2018-05-31,18.3984375
2018-06-30,65.203125
2018-07-31,4.296875
2018-08-31,21.296875
2018-09-30,24.5
2018-10-31,83.796875
2018-11-30,116.1015625
2018-12-31,86.3984375
2019-01-31,85.5
2019-02-28,16.296875
2019-03-31,135.203125
2019-04-30,13.796875
2019-05-31,7.1015625
2019-06-30,67.5
2019-07-31,13.296875
2019-08-31,23.703125
2019-09-30,48.1015625
2019-10-31,23.6015625
2019-11-30,12.6015625
2019-12-31,2.703125
2020-01-31,47.796875
2020-02-29,343.5
2020-03-31,78.8984375
2020-04-30,39.796875
2020-05-31,79.5
2020-06-30,24.1015625
2020-07-31,143.296875
2020-08-31,131.203125
2020-09-30,26.5
2020-10-31,111.3984375
2020-11-30,82.3984375
2020-12-31,135.796875
2021-01-31,100.703125
2021-02-28,109.203125
2021-03-31,305.703125
2021-04-30,3.5
2021-05-31,181.796875
2021-06-30,49.796875
2021-07-31,22.703125
2021-08-31,87.703125
2021-09-30,27.5
2021-10-31,79.6015625
2021-11-30,168.5
2021-12-31,110.5
2022-01-31,159.6015625
2022-02-28,132.296875
2022-03-31,528.296875
