,Rainfall
2000-01-31,42.703125
2000-02-29,40.1015625
2000-03-31,107.703125
2000-04-30,7.6015625
2000-05-31,27.1015625
2000-06-30,15.203125
2000-07-31,11.8984375
2000-08-31,13.796875
2000-09-30,3.1015625
2000-10-31,65.703125
2000-11-30,154.296875
2000-12-31,29.1015625
2001-01-31,167.796875
2001-02-28,126.6015625
2001-03-31,85.703125
2001-04-30,12.5
2001-05-31,25.296875
2001-06-30,17.3984375
2001-07-31,120.296875
2001-08-31,5.796875
2001-09-30,19.203125
2001-10-31,40.5
2001-11-30,90.3984375
2001-12-31,46.796875
2002-01-31,9.5
2002-02-28,57.0
2002-03-31,64.6015625
2002-04-30,6.8984375
2002-05-31,3.203125
2002-06-30,14.5
2002-07-31,2.1015625
2002-08-31,18.703125
2002-09-30,19.3984375
2002-10-31,29.6015625
2002-11-30,13.5
2002-12-31,50.703125
2003-01-31,13.703125
2003-02-28,90.203125
2003-03-31,55.8984375
2003-04-30,95.1015625
2003-05-31,0.8984375
2003-06-30,28.296875
2003-07-31,41.5
2003-08-31,36.0
2003-09-30,0.796875
2003-10-31,50.8984375
2003-11-30,24.6015625
2003-12-31,71.3984375
2004-01-31,174.703125
2004-02-29,65.5
2004-03-31,84.796875
2004-04-30,31.5
2004-05-31,26.3984375
2004-06-30,7.1015625
2004-07-31,22.1015625
2004-08-31,23.203125
2004-09-30,57.5
2004-10-31,29.296875
2004-11-30,114.8984375
2004-12-31,200.0
2005-01-31,41.3984375
2005-02-28,25.3984375
2005-03-31,4.296875
2005-04-30,1.0
2005-05-31,18.796875
2005-06-30,185.5
2005-07-31,15.796875
2005-08-31,13.703125
2005-09-30,27.0
2005-10-31,44.8984375
2005-11-30,78.3984375
2005-12-31,63.203125
2006-01-31,77.0
2006-02-28,116.8984375
2006-03-31,21.1015625
2006-04-30,21.8984375
2006-05-31,0.6015625
2006-06-30,41.5
2006-07-31,56.203125
2006-08-31,7.3984375
2006-09-30,43.1015625
2006-10-31,10.796875
2006-11-30,45.5
2006-12-31,13.3984375
2007-01-31,27.3984375
2007-02-28,78.796875
2007-03-31,30.1015625
2007-04-30,51.296875
2007-05-31,32.796875
2007-06-30,53.3984375
2007-07-31,4.203125
2007-08-31,32.1015625
2007-09-30,1.1015625
2007-10-31,28.8984375
2007-11-30,51.203125
2007-12-31,106.703125
2008-01-31,92.296875
2008-02-29,140.3984375
2008-03-31,1.1015625
2008-04-30,9.6015625
2008-05-31,16.203125
2008-06-30,36.5
2008-07-31,40.703125
2008-08-31,7.1015625
2008-09-30,59.5
2008-10-31,24.8984375
2008-11-30,125.1015625
2008-12-31,59.703125
2009-01-31,68.3984375
2009-02-28,144.0
2009-03-31,2.5
2009-04-30,49.0
2009-05-31,53.3984375
2009-06-30,18.796875
2009-07-31,13.203125
2009-08-31,3.296875
2009-09-30,27.703125
2009-10-31,24.0
2009-11-30,17.1015625
2009-12-31,89.1015625
2010-01-31,62.796875
2010-02-28,72.6015625
2010-03-31,57.796875
2010-04-30,12.3984375
2010-05-31,34.8984375
2010-06-30,17.5
2010-07-31,79.0
2010-08-31,38.5
2010-09-30,75.5
2010-10-31,61.203125
2010-11-30,80.703125
2010-12-31,63.296875
2011-01-31,37.796875
2011-02-28,47.1015625
2011-03-31,33.203125
2011-04-30,44.8984375
2011-05-31,25.8984375
2011-06-30,42.703125
2011-07-31,9.0
2011-08-31,33.796875
2011-09-30,66.796875
2011-10-31,63.8984375
2011-11-30,190.296875
2011-12-31,128.5
2012-01-31,132.296875
2012-02-29,180.796875
2012-03-31,13.703125
2012-04-30,29.1015625
2012-05-31,38.203125
2012-06-30,29.296875
2012-07-31,81.6015625
2012-08-31,3.703125
2012-09-30,9.0
2012-10-31,12.3984375
2012-11-30,11.8984375
2012-12-31,60.6015625
2013-01-31,149.703125
2013-02-28,51.6015625
2013-03-31,78.5
2013-04-30,10.3984375
2013-05-31,30.8984375
2013-06-30,41.296875
2013-07-31,24.296875
2013-08-31,5.296875
2013-09-30,22.0
2013-10-31,10.203125
2013-11-30,49.3984375
2013-12-31,12.203125
2014-01-31,18.703125
2014-02-28,41.296875
2014-03-31,99.8984375
2014-04-30,7.8984375
2014-05-31,13.1015625
2014-06-30,38.1015625
2014-07-31,5.703125
2014-08-31,36.796875
2014-09-30,20.6015625
2014-10-31,5.703125
2014-11-30,12.796875
2014-12-31,73.0
2015-01-31,110.796875
2015-02-28,18.0
2015-03-31,47.1015625
2015-04-30,80.6015625
2015-05-31,33.0
2015-06-30,58.6015625
2015-07-31,48.203125
2015-08-31,21.796875
2015-09-30,3.8984375
2015-10-31,21.8984375
2015-11-30,49.5
2015-12-31,48.296875
2016-01-31,96.3984375
2016-02-29,26.796875
2016-03-31,9.296875
2016-04-30,14.296875
2016-05-31,36.703125
2016-06-30,77.703125
2016-07-31,22.1015625
2016-08-31,51.703125
2016-09-30,134.8984375
2016-10-31,54.296875
2016-11-30,17.8984375
2016-12-31,42.6015625
2017-01-31,50.5
2017-02-28,31.1015625
2017-03-31,87.703125
2017-04-30,28.203125
2017-05-31,43.0
2017-06-30,24.296875
2017-07-31,6.5
2017-08-31,10.296875
2017-09-30,1.296875
2017-10-31,87.5
2017-11-30,59.3984375
2017-12-31,40.5
2018-01-31,23.296875
2018-02-28,89.203125
2018-03-31,34.203125
2018-04-30,13.1015625
2018-05-31,0.203125
2018-06-30,3.6015625
2018-07-31,15.296875
2018-08-31,23.796875
2018-09-30,8.703125
2018-10-31,58.0
2018-11-30,56.0
2018-12-31,21.296875
2019-01-31,10.3984375
2019-02-28,2.796875
2019-03-31,37.796875
2019-04-30,3.0
2019-05-31,20.703125
2019-06-30,12.0
2019-07-31,8.8984375
2019-08-31,0.296875
2019-09-30,0.1015625
2019-10-31,9.5
2019-11-30,23.8984375
2019-12-31,5.8984375
2020-01-31,99.6015625
2020-02-29,132.1015625
2020-03-31,76.3984375
2020-04-30,34.1015625
2020-05-31,33.1015625
2020-06-30,17.796875
2020-07-31,16.3984375
2020-08-31,29.703125
2020-09-30,22.6015625
2020-10-31,56.5
2020-11-30,2.296875
2020-12-31,115.1015625
2021-01-31,68.6015625
2021-02-28,92.1015625
2021-03-31,199.1015625
2021-04-30,15.203125
2021-05-31,20.703125
2021-06-30,69.1015625
2021-07-31,50.203125
2021-08-31,33.296875
2021-09-30,70.796875
2021-10-31,36.0
2021-11-30,135.5
2021-12-31,51.3984375
2022-01-31,63.203125
2022-02-28,92.296875
2022-03-31,59.3984375
