,Rainfall
2000-01-31,37.5
2000-02-29,24.6015625
2000-03-31,222.3984375
2000-04-30,54.796875
2000-05-31,36.3984375
2000-06-30,74.796875
2000-07-31,34.8984375
2000-08-31,23.703125
2000-09-30,45.703125
2000-10-31,45.5
2000-11-30,177.3984375
2000-12-31,50.5
2001-01-31,80.8984375
2001-02-28,159.3984375
2001-03-31,79.8984375
2001-04-30,73.1015625
2001-05-31,59.5
2001-06-30,13.5
2001-07-31,118.203125
2001-08-31,113.6015625
2001-09-30,37.796875
2001-10-31,71.6015625
2001-11-30,92.1015625
2001-12-31,22.5
2002-01-31,64.6015625
2002-02-28,206.703125
2002-03-31,73.5
2002-04-30,69.6015625
2002-05-31,33.296875
2002-06-30,41.296875
2002-07-31,17.296875
2002-08-31,16.1015625
2002-09-30,27.0
2002-10-31,6.3984375
2002-11-30,15.296875
2002-12-31,61.1015625
2003-01-31,43.5
2003-02-28,122.203125
2003-03-31,88.296875
2003-04-30,111.6015625
2003-05-31,149.8984375
2003-06-30,43.296875
2003-07-31,30.5
2003-08-31,36.703125
2003-09-30,18.8984375
2003-10-31,75.1015625
2003-11-30,109.203125
2003-12-31,42.3984375
2004-01-31,85.796875
2004-02-29,84.6015625
2004-03-31,54.8984375
2004-04-30,37.703125
2004-05-31,4.796875
2004-06-30,15.703125
2004-07-31,43.796875
2004-08-31,22.296875
2004-09-30,48.3984375
2004-10-31,129.3984375
2004-11-30,64.296875
2004-12-31,86.1015625
2005-01-31,60.296875
2005-02-28,156.6015625
2005-03-31,70.3984375
2005-04-30,14.703125
2005-05-31,23.1015625
2005-06-30,96.1015625
2005-07-31,100.3984375
2005-08-31,9.6015625
2005-09-30,105.0
2005-10-31,56.703125
2005-11-30,164.296875
2005-12-31,48.8984375
2006-01-31,109.796875
2006-02-28,48.5
2006-03-31,35.3984375
2006-04-30,6.5
2006-05-31,36.6015625
2006-06-30,105.6015625
2006-07-31,102.203125
2006-08-31,31.796875
2006-09-30,78.203125
2006-10-31,2.6015625
2006-11-30,49.5
2006-12-31,62.6015625
2007-01-31,30.6015625
2007-02-28,235.0
2007-03-31,100.0
2007-04-30,48.296875
2007-05-31,30.6015625
2007-06-30,348.203125
2007-07-31,49.1015625
2007-08-31,39.8984375
2007-09-30,35.0
2007-10-31,35.1015625
2007-11-30,141.296875
2007-12-31,86.703125
2008-01-31,69.203125
2008-02-29,184.1015625
2008-03-31,43.203125
2008-04-30,54.1015625
2008-05-31,8.3984375
2008-06-30,89.203125
2008-07-31,53.296875
2008-08-31,49.8984375
2008-09-30,70.6015625
2008-10-31,90.1015625
2008-11-30,61.0
2008-12-31,89.796875
2009-01-31,16.5
2009-02-28,87.296875
2009-03-31,42.703125
2009-04-30,91.6015625
2009-05-31,102.796875
2009-06-30,30.3984375
2009-07-31,23.3984375
2009-08-31,11.8984375
2009-09-30,29.6015625
2009-10-31,66.203125
2009-11-30,34.703125
2009-12-31,103.796875
2010-01-31,81.203125
2010-02-28,216.703125
