,Rainfall
2000-01-31,99.5
2000-02-29,5.0
2000-03-31,200.296875
2000-04-30,107.296875
2000-05-31,79.0
2000-06-30,40.5
2000-07-31,43.296875
2000-08-31,58.6015625
2000-09-30,30.1015625
2000-10-31,118.1015625
2000-11-30,162.6015625
2000-12-31,28.296875
2001-01-31,46.1015625
2001-02-28,52.0
2001-03-31,66.3984375
2001-04-30,64.796875
2001-05-31,22.0
2001-06-30,31.1015625
2001-07-31,68.0
2001-08-31,26.5
2001-09-30,36.203125
2001-10-31,78.796875
2001-11-30,46.796875
2001-12-31,44.0
2002-01-31,52.703125
2002-02-28,178.1015625
2002-03-31,60.8984375
2002-04-30,14.5
2002-05-31,38.703125
2002-06-30,33.1015625
2002-07-31,8.5
2002-08-31,3.6015625
2002-09-30,28.8984375
2002-10-31,0.6015625
2002-11-30,25.8984375
2002-12-31,33.3984375
2003-01-31,11.296875
2003-02-28,272.203125
2003-03-31,41.5
2003-04-30,73.296875
2003-05-31,11.1015625
2003-06-30,64.703125
2003-07-31,31.796875
2003-08-31,99.296875
2003-09-30,13.296875
2003-10-31,67.203125
2003-11-30,77.6015625
2003-12-31,50.296875
2004-01-31,35.6015625
2004-02-29,90.6015625
2004-03-31,8.6015625
2004-04-30,5.1015625
2004-05-31,41.5
2004-06-30,38.0
2004-07-31,65.796875
2004-08-31,31.6015625
2004-09-30,30.8984375
2004-10-31,63.296875
2004-11-30,74.703125
2004-12-31,76.0
2005-01-31,72.296875
2005-02-28,95.796875
2005-03-31,61.296875
2005-04-30,6.1015625
2005-05-31,2.3984375
2005-06-30,110.0
2005-07-31,58.796875
2005-08-31,16.796875
2005-09-30,110.703125
2005-10-31,67.6015625
2005-11-30,148.203125
2005-12-31,36.8984375
2006-01-31,52.8984375
2006-02-28,48.203125
2006-03-31,18.8984375
2006-04-30,42.203125
2006-05-31,0.8984375
2006-06-30,27.3984375
2006-07-31,79.3984375
2006-08-31,10.3984375
2006-09-30,12.5
2006-10-31,3.203125
2006-11-30,18.8984375
2006-12-31,27.8984375
2007-01-31,26.0
2007-02-28,86.796875
2007-03-31,55.203125
2007-04-30,36.1015625
2007-05-31,54.203125
2007-06-30,137.6015625
2007-07-31,19.6015625
2007-08-31,30.1015625
2007-09-30,1.296875
2007-10-31,25.5
2007-11-30,116.796875
2007-12-31,153.3984375
2008-01-31,106.703125
2008-02-29,135.796875
2008-03-31,24.3984375
2008-04-30,7.8984375
2008-05-31,10.296875
2008-06-30,44.1015625
2008-07-31,35.703125
2008-08-31,50.1015625
2008-09-30,59.296875
2008-10-31,59.296875
2008-11-30,158.296875
2008-12-31,97.1015625
2009-01-31,9.0
2009-02-28,59.6015625
2009-03-31,22.296875
2009-04-30,42.8984375
2009-05-31,4.0
2009-06-30,52.3984375
2009-07-31,49.6015625
2009-08-31,11.703125
2009-09-30,36.0
2009-10-31,34.3984375
2009-11-30,15.6015625
2009-12-31,138.703125
2010-01-31,49.1015625
2010-02-28,121.8984375
2010-03-31,86.0
2010-04-30,79.8984375
2010-05-31,62.5
2010-06-30,42.796875
2010-07-31,114.703125
2010-08-31,103.203125
2010-09-30,85.203125
2010-10-31,79.796875
2010-11-30,142.296875
2010-12-31,216.8984375
2011-01-31,27.703125
2011-02-28,29.0
2011-03-31,35.5
2011-04-30,25.0
2011-05-31,47.0
2011-06-30,13.0
2011-07-31,11.3984375
2011-08-31,64.6015625
2011-09-30,88.703125
2011-10-31,53.1015625
2011-11-30,126.0
2011-12-31,65.5
2012-01-31,62.0
2012-02-29,159.6015625
2012-03-31,142.703125
2012-04-30,22.5
2012-05-31,48.203125
2012-06-30,43.6015625
2012-07-31,71.0
2012-08-31,10.1015625
2012-09-30,52.203125
2012-10-31,12.3984375
2012-11-30,34.296875
2012-12-31,61.8984375
2013-01-31,83.796875
2013-02-28,44.3984375
2013-03-31,76.5
2013-04-30,4.296875
2013-05-31,24.203125
2013-06-30,101.703125
2013-07-31,31.3984375
2013-08-31,10.703125
2013-09-30,68.3984375
2013-10-31,6.8984375
2013-11-30,20.6015625
2013-12-31,39.1015625
2014-01-31,28.6015625
2014-02-28,77.1015625
2014-03-31,105.296875
2014-04-30,75.8984375
2014-05-31,29.203125
2014-06-30,49.296875
2014-07-31,46.203125
2014-08-31,21.203125
2014-09-30,26.5
2014-10-31,20.3984375
2014-11-30,26.703125
2014-12-31,98.703125
2015-01-31,89.5
2015-02-28,26.5
2015-03-31,23.0
2015-04-30,97.8984375
2015-05-31,48.6015625
2015-06-30,61.8984375
2015-07-31,59.8984375
2015-08-31,30.0
2015-09-30,7.6015625
2015-10-31,37.703125
2015-11-30,86.796875
2015-12-31,86.0
2016-01-31,126.0
2016-02-29,19.0
2016-03-31,28.296875
2016-04-30,17.1015625
2016-05-31,73.1015625
2016-06-30,133.0
2016-07-31,118.1015625
2016-08-31,30.1015625
2016-09-30,200.1015625
2016-10-31,78.3984375
2016-11-30,55.296875
2016-12-31,37.3984375
2017-01-31,46.203125
2017-02-28,8.6015625
2017-03-31,160.6015625
2017-04-30,21.796875
2017-05-31,25.3984375
2017-06-30,13.296875
2017-07-31,3.6015625
2017-08-31,25.5
2017-09-30,5.0
2017-10-31,43.6015625
2017-11-30,77.6015625
2017-12-31,66.3984375
2018-01-31,26.1015625
2018-02-28,74.796875
2018-03-31,58.1015625
2018-04-30,19.3984375
2018-05-31,20.3984375
2018-06-30,45.796875
2018-07-31,11.8984375
2018-08-31,41.796875
2018-09-30,36.6015625
2018-10-31,56.8984375
2018-11-30,59.796875
2018-12-31,66.3984375
2019-01-31,80.3984375
2019-02-28,17.5
2019-03-31,112.6015625
2019-04-30,0.203125
2019-05-31,27.5
2019-06-30,9.0
2019-07-31,4.6015625
2019-08-31,15.0
2019-09-30,42.0
2019-10-31,4.8984375
2019-11-30,18.703125
2019-12-31,4.3984375
2020-01-31,35.703125
2020-02-29,102.296875
2020-03-31,142.3984375
2020-04-30,119.296875
2020-05-31,29.703125
2020-06-30,32.203125
2020-07-31,85.8984375
2020-08-31,43.5
2020-09-30,61.296875
2020-10-31,83.0
2020-11-30,46.0
2020-12-31,110.796875
2021-01-31,23.296875
2021-02-28,113.203125
2021-03-31,149.6015625
2021-04-30,3.296875
2021-05-31,31.3984375
2021-06-30,127.796875
2021-07-31,85.6015625
2021-08-31,37.296875
2021-09-30,44.203125
2021-10-31,50.1015625
2021-11-30,180.1015625
2021-12-31,58.296875
2022-01-31,109.8984375
2022-02-28,42.296875
2022-03-31,137.5
