,Rainfall
2000-01-31,32.6015625
2000-02-29,61.296875
2000-03-31,62.5
2000-04-30,4.296875
2000-05-31,22.8984375
2000-06-30,19.3984375
2000-07-31,9.1015625
2000-08-31,6.5
2000-09-30,4.8984375
2000-10-31,67.8984375
2000-11-30,203.296875
2000-12-31,13.796875
2001-01-31,140.0
2001-02-28,59.703125
2001-03-31,37.203125
2001-04-30,26.8984375
2001-05-31,32.8984375
2001-06-30,28.1015625
2001-07-31,98.6015625
2001-08-31,4.3984375
2001-09-30,9.703125
2001-10-31,49.0
2001-11-30,61.296875
2001-12-31,29.3984375
2002-01-31,3.1015625
2002-02-28,29.296875
2002-03-31,46.1015625
2002-04-30,7.296875
2002-05-31,2.296875
2002-06-30,14.296875
2002-07-31,3.703125
2002-08-31,33.6015625
2002-09-30,8.8984375
2002-10-31,21.8984375
2002-11-30,16.1015625
2002-12-31,35.6015625
2003-01-31,10.0
2003-02-28,36.3984375
2003-03-31,23.796875
2003-04-30,49.1015625
2003-05-31,2.296875
2003-06-30,23.203125
2003-07-31,28.0
2003-08-31,34.703125
2003-09-30,0.296875
2003-10-31,43.0
2003-11-30,20.6015625
2003-12-31,60.296875
2004-01-31,151.6015625
2004-02-29,60.8984375
2004-03-31,133.6015625
2004-04-30,30.3984375
2004-05-31,35.1015625
2004-06-30,4.6015625
2004-07-31,20.1015625
2004-08-31,24.6015625
2004-09-30,50.6015625
2004-10-31,18.0
2004-11-30,68.203125
2004-12-31,175.5
2005-01-31,61.3984375
2005-02-28,19.203125
2005-03-31,10.3984375
2005-04-30,0.0
2005-05-31,40.6015625
2005-06-30,108.203125
2005-07-31,8.5
2005-08-31,13.5
2005-09-30,12.796875
2005-10-31,58.296875
2005-11-30,89.703125
2005-12-31,36.6015625
2006-01-31,64.1015625
2006-02-28,65.5
2006-03-31,39.6015625
2006-04-30,14.3984375
2006-05-31,0.296875
2006-06-30,32.0
2006-07-31,43.296875
2006-08-31,3.5
2006-09-30,19.203125
2006-10-31,3.8984375
2006-11-30,27.1015625
2006-12-31,19.1015625
2007-01-31,48.703125
2007-02-28,34.5
2007-03-31,23.1015625
2007-04-30,26.6015625
2007-05-31,38.1015625
2007-06-30,44.6015625
2007-07-31,0.703125
2007-08-31,21.5
2007-09-30,2.703125
2007-10-31,27.203125
2007-11-30,49.0
2007-12-31,146.703125
2008-01-31,89.1015625
2008-02-29,137.703125
2008-03-31,0.296875
2008-04-30,3.296875
2008-05-31,7.296875
2008-06-30,44.796875
2008-07-31,38.796875
2008-08-31,6.5
2008-09-30,63.1015625
2008-10-31,20.1015625
2008-11-30,78.203125
2008-12-31,38.8984375
2009-01-31,66.796875
2009-02-28,69.703125
2009-03-31,0.203125
2009-04-30,20.1015625
2009-05-31,87.703125
2009-06-30,10.203125
2009-07-31,7.0
2009-08-31,2.0
2009-09-30,33.8984375
2009-10-31,27.703125
2009-11-30,5.203125
2009-12-31,73.0
2010-01-31,44.703125
2010-02-28,131.296875
2010-03-31,101.5
2010-04-30,10.1015625
2010-05-31,20.296875
2010-06-30,13.0
2010-07-31,66.203125
2010-08-31,35.203125
2010-09-30,55.703125
2010-10-31,68.203125
2010-11-30,112.8984375
2010-12-31,66.703125
2011-01-31,26.8984375
2011-02-28,48.3984375
2011-03-31,26.5
2011-04-30,31.296875
2011-05-31,25.703125
2011-06-30,22.703125
2011-07-31,14.796875
2011-08-31,33.703125
2011-09-30,76.6015625
2011-10-31,46.5
2011-11-30,175.203125
2011-12-31,130.8984375
2012-01-31,102.8984375
2012-02-29,177.1015625
2012-03-31,9.0
2012-04-30,35.703125
2012-05-31,35.0
2012-06-30,24.0
2012-07-31,56.0
2012-08-31,2.1015625
2012-09-30,5.6015625
2012-10-31,4.8984375
2012-11-30,6.296875
2012-12-31,43.0
2013-01-31,57.796875
2013-02-28,30.3984375
2013-03-31,104.203125
2013-04-30,4.203125
2013-05-31,29.203125
2013-06-30,18.703125
2013-07-31,12.1015625
2013-08-31,6.0
2013-09-30,19.296875
2013-10-31,7.8984375
2013-11-30,29.3984375
2013-12-31,8.703125
2014-01-31,12.796875
2014-02-28,30.3984375
2014-03-31,152.6015625
2014-04-30,3.8984375
2014-05-31,5.203125
2014-06-30,25.203125
2014-07-31,5.8984375
2014-08-31,24.5
2014-09-30,24.5
2014-10-31,1.1015625
2014-11-30,14.0
2014-12-31,59.703125
2015-01-31,84.0
2015-02-28,6.3984375
2015-03-31,35.5
2015-04-30,61.5
2015-05-31,19.0
2015-06-30,66.703125
2015-07-31,47.0
2015-08-31,9.6015625
2015-09-30,2.703125
2015-10-31,21.6015625
2015-11-30,16.8984375
2015-12-31,34.296875
2016-01-31,133.3984375
2016-02-29,17.796875
2016-03-31,4.796875
2016-04-30,3.796875
2016-05-31,29.1015625
2016-06-30,81.3984375
2016-07-31,19.1015625
2016-08-31,57.5
2016-09-30,133.203125
2016-10-31,56.8984375
2016-11-30,6.5
2016-12-31,44.1015625
2017-01-31,32.8984375
2017-02-28,25.296875
2017-03-31,44.6015625
2017-04-30,31.1015625
2017-05-31,11.703125
2017-06-30,5.703125
2017-07-31,4.703125
2017-08-31,9.296875
2017-09-30,0.8984375
2017-10-31,66.1015625
2017-11-30,45.0
2017-12-31,30.3984375
2018-01-31,5.5
2018-02-28,70.0
2018-03-31,12.1015625
2018-04-30,14.3984375
2018-05-31,0.0
2018-06-30,5.3984375
2018-07-31,5.203125
2018-08-31,15.296875
2018-09-30,1.796875
2018-10-31,60.703125
2018-11-30,47.3984375
2018-12-31,5.1015625
2019-01-31,1.703125
2019-02-28,4.8984375
2019-03-31,44.6015625
2019-04-30,4.703125
2019-05-31,14.203125
2019-06-30,5.0
2019-07-31,8.8984375
2019-08-31,0.1015625
2019-09-30,0.0
2019-10-31,1.296875
2019-11-30,24.0
2019-12-31,8.796875
2020-01-31,81.296875
2020-02-29,143.1015625
2020-03-31,67.5
2020-04-30,26.6015625
2020-05-31,21.796875
2020-06-30,8.703125
2020-07-31,13.8984375
2020-08-31,29.203125
2020-09-30,28.1015625
2020-10-31,32.8984375
2020-11-30,3.0
2020-12-31,86.8984375
2021-01-31,99.203125
2021-02-28,84.3984375
2021-03-31,158.203125
2021-04-30,6.5
2021-05-31,11.703125
2021-06-30,33.8984375
2021-07-31,36.8984375
2021-08-31,26.5
2021-09-30,62.203125
2021-10-31,21.1015625
2021-11-30,143.8984375
2021-12-31,15.8984375
2022-01-31,40.5
2022-02-28,79.8984375
2022-03-31,59.6015625
