,Rainfall
2000-01-31,47.703125
2000-02-29,21.203125
2000-03-31,130.5
2000-04-30,63.296875
2000-05-31,73.5
2000-06-30,31.796875
2000-07-31,67.3984375
2000-08-31,98.703125
2000-09-30,18.203125
2000-10-31,122.203125
2000-11-30,308.3984375
2000-12-31,77.3984375
2001-01-31,29.3984375
2001-02-28,38.1015625
2001-03-31,145.6015625
2001-04-30,24.203125
2001-05-31,69.8984375
2001-06-30,25.296875
2001-07-31,79.8984375
2001-08-31,62.796875
2001-09-30,30.3984375
2001-10-31,74.203125
2001-11-30,105.796875
2001-12-31,60.8984375
2002-01-31,40.796875
2002-02-28,84.6015625
2002-03-31,31.6015625
2002-04-30,3.8984375
2002-05-31,23.0
2002-06-30,33.3984375
2002-07-31,3.296875
2002-08-31,15.296875
2002-09-30,59.6015625
2002-10-31,1.6015625
2002-11-30,37.6015625
2002-12-31,162.0
2003-01-31,14.203125
2003-02-28,81.5
2003-03-31,22.796875
2003-04-30,69.5
2003-05-31,19.8984375
2003-06-30,56.8984375
2003-07-31,29.1015625
2003-08-31,81.1015625
2003-09-30,22.5
2003-10-31,86.5
2003-11-30,60.8984375
2003-12-31,86.296875
2004-01-31,147.8984375
2004-02-29,112.796875
2004-03-31,88.3984375
2004-04-30,17.203125
2004-05-31,26.1015625
2004-06-30,25.1015625
2004-07-31,80.5
2004-08-31,55.296875
2004-09-30,51.703125
2004-10-31,68.203125
2004-11-30,70.3984375
2004-12-31,164.0
2005-01-31,80.1015625
2005-02-28,63.1015625
2005-03-31,65.796875
2005-04-30,2.796875
2005-05-31,15.796875
2005-06-30,112.6015625
2005-07-31,70.0
2005-08-31,35.296875
2005-09-30,96.703125
2005-10-31,79.1015625
2005-11-30,105.6015625
2005-12-31,36.203125
2006-01-31,41.5
2006-02-28,48.6015625
2006-03-31,21.8984375
2006-04-30,79.796875
2006-05-31,0.8984375
2006-06-30,35.796875
2006-07-31,63.0
2006-08-31,7.796875
2006-09-30,45.0
2006-10-31,14.5
2006-11-30,58.0
2006-12-31,61.703125
2007-01-31,45.6015625
2007-02-28,54.703125
2007-03-31,82.296875
2007-04-30,37.296875
2007-05-31,50.296875
2007-06-30,194.5
2007-07-31,18.5
2007-08-31,80.203125
2007-09-30,8.703125
2007-10-31,43.203125
2007-11-30,126.6015625
2007-12-31,162.796875
2008-01-31,64.3984375
2008-02-29,148.1015625
2008-03-31,9.1015625
2008-04-30,35.6015625
2008-05-31,24.703125
2008-06-30,116.0
2008-07-31,49.5
2008-08-31,57.6015625
2008-09-30,75.3984375
2008-10-31,58.0
2008-11-30,131.203125
2008-12-31,95.5
2009-01-31,25.203125
2009-02-28,132.1015625
2009-03-31,40.703125
2009-04-30,53.1015625
2009-05-31,14.8984375
2009-06-30,56.796875
2009-07-31,51.3984375
2009-08-31,8.3984375
2009-09-30,54.5
2009-10-31,45.703125
2009-11-30,32.203125
2009-12-31,103.6015625
2010-01-31,92.296875
2010-02-28,83.1015625
2010-03-31,85.3984375
2010-04-30,30.6015625
2010-05-31,55.6015625
2010-06-30,42.6015625
2010-07-31,140.3984375
2010-08-31,87.6015625
2010-09-30,44.5
2010-10-31,79.6015625
2010-11-30,141.203125
2010-12-31,155.1015625
2011-01-31,49.203125
2011-02-28,41.5
2011-03-31,69.703125
2011-04-30,43.0
2011-05-31,69.203125
2011-06-30,54.3984375
2011-07-31,20.203125
2011-08-31,50.296875
2011-09-30,75.703125
2011-10-31,46.8984375
2011-11-30,163.796875
2011-12-31,65.8984375
2012-01-31,52.5
2012-02-29,157.6015625
2012-03-31,109.296875
2012-04-30,29.0
2012-05-31,31.5
2012-06-30,56.296875
2012-07-31,81.6015625
2012-08-31,15.1015625
2012-09-30,22.5
2012-10-31,14.203125
2012-11-30,60.0
2012-12-31,89.1015625
2013-01-31,164.296875
