,Rainfall
2000-01-31,18.296875
2000-02-29,35.1015625
2000-03-31,132.0
2000-04-30,22.1015625
2000-05-31,36.3984375
2000-06-30,14.796875
2000-07-31,51.3984375
2000-08-31,34.296875
2000-09-30,5.1015625
2000-10-31,80.3984375
2000-11-30,167.8984375
2000-12-31,22.296875
2001-01-31,109.296875
2001-02-28,78.0
2001-03-31,58.0
2001-04-30,20.5
2001-05-31,33.3984375
2001-06-30,27.203125
2001-07-31,114.203125
2001-08-31,7.703125
2001-09-30,14.6015625
2001-10-31,44.203125
2001-11-30,143.5
2001-12-31,38.8984375
2002-01-31,55.6015625
2002-02-28,69.703125
2002-03-31,43.703125
2002-04-30,1.796875
2002-05-31,1.1015625
2002-06-30,39.296875
2002-07-31,0.703125
2002-08-31,2.296875
2002-09-30,24.796875
2002-10-31,2.796875
2002-11-30,23.3984375
2002-12-31,72.0
2003-01-31,13.6015625
2003-02-28,86.1015625
2003-03-31,39.796875
2003-04-30,119.703125
2003-05-31,0.6015625
2003-06-30,70.5
2003-07-31,57.296875
2003-08-31,54.703125
2003-09-30,0.6015625
2003-10-31,37.5
2003-11-30,60.796875
2003-12-31,39.796875
2004-01-31,173.1015625
2004-02-29,79.3984375
2004-03-31,67.6015625
2004-04-30,29.1015625
2004-05-31,20.296875
2004-06-30,17.5
2004-07-31,44.6015625
2004-08-31,32.8984375
2004-09-30,48.0
2004-10-31,39.3984375
2004-11-30,133.6015625
2004-12-31,283.203125
2005-01-31,37.5
2005-02-28,41.203125
2005-03-31,1.6015625
2005-04-30,1.6015625
2005-05-31,20.6015625
2005-06-30,234.203125
2005-07-31,31.1015625
2005-08-31,23.203125
2005-09-30,82.203125
2005-10-31,48.296875
2005-11-30,105.5
2005-12-31,123.3984375
2006-01-31,40.296875
2006-02-28,124.1015625
2006-03-31,5.3984375
2006-04-30,51.1015625
2006-05-31,0.0
2006-06-30,34.1015625
2006-07-31,80.8984375
2006-08-31,7.5
2006-09-30,19.3984375
2006-10-31,8.203125
2006-11-30,38.6015625
2006-12-31,29.296875
2007-01-31,27.1015625
2007-02-28,54.203125
2007-03-31,43.0
2007-04-30,17.296875
2007-05-31,51.703125
2007-06-30,100.703125
2007-07-31,5.6015625
2007-08-31,36.5
2007-09-30,1.296875
2007-10-31,52.5
2007-11-30,52.0
2007-12-31,111.8984375
2008-01-31,95.0
2008-02-29,84.5
2008-03-31,5.703125
2008-04-30,10.8984375
2008-05-31,3.296875
2008-06-30,40.703125
2008-07-31,41.8984375
2008-08-31,28.296875
2008-09-30,57.703125
2008-10-31,40.796875
2008-11-30,124.703125
2008-12-31,119.203125
2009-01-31,17.203125
2009-02-28,93.796875
2009-03-31,10.1015625
2009-04-30,74.5
2009-05-31,34.796875
2009-06-30,18.0
2009-07-31,22.3984375
2009-08-31,3.703125
2009-09-30,25.296875
2009-10-31,37.203125
2009-11-30,17.6015625
2009-12-31,162.203125
2010-01-31,70.1015625
2010-02-28,98.6015625
2010-03-31,59.296875
2010-04-30,14.0
2010-05-31,35.5
2010-06-30,23.5
2010-07-31,71.0
2010-08-31,52.703125
2010-09-30,57.0
2010-10-31,54.296875
2010-11-30,113.8984375
2010-12-31,163.0
2011-01-31,47.6015625
2011-02-28,34.1015625
2011-03-31,33.8984375
2011-04-30,33.203125
2011-05-31,40.3984375
2011-06-30,25.0
2011-07-31,1.3984375
2011-08-31,41.703125
2011-09-30,87.296875
2011-10-31,46.8984375
2011-11-30,195.1015625
2011-12-31,116.6015625
2012-01-31,164.796875
2012-02-29,190.1015625
2012-03-31,6.703125
2012-04-30,33.1015625
2012-05-31,46.703125
2012-06-30,48.1015625
2012-07-31,93.8984375
2012-08-31,18.5
2012-09-30,11.703125
2012-10-31,7.203125
2012-11-30,18.5
2012-12-31,32.296875
2013-01-31,145.296875
2013-02-28,39.0
2013-03-31,118.3984375
2013-04-30,0.203125
2013-05-31,32.0
2013-06-30,67.203125
2013-07-31,20.1015625
2013-08-31,3.5
2013-09-30,17.703125
2013-10-31,7.0
2013-11-30,87.796875
2013-12-31,15.0
2014-01-31,7.0
2014-02-28,28.8984375
2014-03-31,173.703125
2014-04-30,4.203125
2014-05-31,17.1015625
2014-06-30,55.6015625
2014-07-31,6.8984375
2014-08-31,55.5
2014-09-30,11.296875
2014-10-31,7.1015625
2014-11-30,17.203125
2014-12-31,60.296875
2015-01-31,66.1015625
2015-02-28,22.796875
2015-03-31,77.6015625
2015-04-30,114.296875
2015-05-31,27.296875
2015-06-30,49.203125
2015-07-31,32.203125
2015-08-31,39.5
2015-09-30,9.703125
2015-10-31,16.796875
2015-11-30,105.296875
2015-12-31,44.203125
2016-01-31,119.296875
2016-02-29,28.0
2016-03-31,8.0
2016-04-30,23.5
2016-05-31,35.0
2016-06-30,109.1015625
2016-07-31,42.5
2016-08-31,112.5
2016-09-30,137.1015625
2016-10-31,59.296875
2016-11-30,17.296875
2016-12-31,26.203125
2017-01-31,80.3984375
2017-02-28,24.203125
2017-03-31,101.3984375
2017-04-30,14.3984375
2017-05-31,46.8984375
2017-06-30,37.5
2017-07-31,12.203125
2017-08-31,22.296875
2017-09-30,4.0
2017-10-31,60.796875
2017-11-30,63.703125
2017-12-31,38.5
2018-01-31,30.703125
2018-02-28,26.0
2018-03-31,37.1015625
2018-04-30,14.296875
2018-05-31,0.6015625
2018-06-30,9.0
2018-07-31,6.3984375
2018-08-31,34.203125
2018-09-30,7.296875
2018-10-31,75.1015625
2018-11-30,57.0
2018-12-31,48.296875
2019-01-31,13.5
2019-02-28,4.703125
2019-03-31,73.703125
2019-04-30,0.703125
2019-05-31,35.296875
2019-06-30,0.8984375
2019-07-31,15.3984375
2019-08-31,0.3984375
2019-09-30,0.703125
2019-10-31,4.796875
2019-11-30,42.296875
2019-12-31,6.203125
2020-01-31,87.203125
2020-02-29,181.296875
2020-03-31,65.8984375
2020-04-30,58.0
2020-05-31,23.8984375
2020-06-30,19.3984375
2020-07-31,26.8984375
2020-08-31,28.5
2020-09-30,30.6015625
2020-10-31,75.6015625
2020-11-30,6.6015625
2020-12-31,139.6015625
2021-01-31,36.796875
2021-02-28,126.5
2021-03-31,141.1015625
2021-04-30,11.8984375
2021-05-31,39.0
2021-06-30,97.703125
2021-07-31,59.796875
2021-08-31,32.1015625
2021-09-30,38.5
2021-10-31,60.5
2021-11-30,208.796875
2021-12-31,36.6015625
2022-01-31,96.203125
2022-02-28,59.703125
2022-03-31,63.6015625
