,Rainfall
2000-01-31,22.0
2000-02-29,12.296875
2000-03-31,144.703125
2000-04-30,70.0
2000-05-31,67.0
2000-06-30,27.0
2000-07-31,25.1015625
2000-08-31,29.5
2000-09-30,13.1015625
2000-10-31,67.5
2000-11-30,146.5
2000-12-31,22.796875
2001-01-31,32.5
2001-02-28,17.6015625
2001-03-31,76.796875
2001-04-30,48.796875
2001-05-31,39.5
2001-06-30,65.203125
2001-07-31,82.703125
2001-08-31,13.3984375
2001-09-30,24.796875
2001-10-31,43.3984375
2001-11-30,36.703125
2001-12-31,25.3984375
2002-01-31,33.8984375
2002-02-28,147.296875
2002-03-31,20.1015625
2002-04-30,21.0
2002-05-31,17.3984375
2002-06-30,12.1015625
2002-07-31,6.203125
2002-08-31,5.0
2002-09-30,34.703125
2002-10-31,2.5
2002-11-30,2.296875
2002-12-31,23.0
2003-01-31,52.296875
2003-02-28,65.3984375
2003-03-31,20.3984375
2003-04-30,77.1015625
2003-05-31,4.1015625
2003-06-30,67.0
2003-07-31,42.1015625
2003-08-31,93.703125
2003-09-30,3.703125
2003-10-31,36.296875
2003-11-30,36.796875
2003-12-31,31.796875
2004-01-31,28.6015625
2004-02-29,39.796875
2004-03-31,15.5
2004-04-30,42.0
2004-05-31,32.703125
2004-06-30,55.796875
2004-07-31,38.6015625
2004-08-31,27.0
2004-09-30,16.296875
2004-10-31,22.6015625
2004-11-30,63.203125
2004-12-31,74.1015625
2005-01-31,33.296875
2005-02-28,30.203125
2005-03-31,15.3984375
2005-04-30,4.0
2005-05-31,6.703125
2005-06-30,137.1015625
2005-07-31,29.296875
2005-08-31,18.8984375
2005-09-30,72.5
2005-10-31,61.6015625
2005-11-30,80.5
2005-12-31,22.703125
2006-01-31,30.796875
2006-02-28,25.796875
2006-03-31,17.8984375
2006-04-30,8.1015625
2006-05-31,0.8984375
2006-06-30,41.3984375
2006-07-31,58.1015625
2006-08-31,8.5
2006-09-30,6.3984375
2006-10-31,2.203125
2006-11-30,18.5
2006-12-31,24.796875
2007-01-31,56.203125
2007-02-28,45.3984375
2007-03-31,40.796875
2007-04-30,17.796875
2007-05-31,58.3984375
2007-06-30,137.6015625
2007-07-31,9.8984375
2007-08-31,16.3984375
2007-09-30,0.203125
2007-10-31,2.3984375
2007-11-30,66.5
2007-12-31,137.203125
2008-01-31,86.0
2008-02-29,54.203125
2008-03-31,36.203125
2008-04-30,1.8984375
2008-05-31,9.203125
2008-06-30,46.703125
2008-07-31,21.6015625
2008-08-31,31.5
2008-09-30,42.0
2008-10-31,48.5
2008-11-30,85.3984375
2008-12-31,33.296875
2009-01-31,12.296875
2009-02-28,64.0
2009-03-31,10.296875
2009-04-30,52.0
2009-05-31,11.703125
2009-06-30,97.0
2009-07-31,16.8984375
2009-08-31,4.1015625
2009-09-30,33.6015625
2009-10-31,31.8984375
2009-11-30,10.796875
2009-12-31,107.703125
2010-01-31,32.3984375
2010-02-28,125.0
2010-03-31,76.8984375
2010-04-30,76.8984375
2010-05-31,62.296875
2010-06-30,29.8984375
2010-07-31,73.203125
2010-08-31,55.296875
2010-09-30,58.703125
2010-10-31,67.203125
2010-11-30,123.203125
2010-12-31,137.703125
2011-01-31,10.6015625
2011-02-28,48.5
2011-03-31,33.796875
2011-04-30,32.703125
2011-05-31,58.203125
2011-06-30,9.5
2011-07-31,7.3984375
2011-08-31,40.296875
2011-09-30,61.796875
2011-10-31,73.296875
2011-11-30,98.296875
2011-12-31,58.0
2012-01-31,79.203125
2012-02-29,69.1015625
2012-03-31,136.8984375
2012-04-30,8.6015625
2012-05-31,55.6015625
2012-06-30,33.796875
2012-07-31,43.703125
2012-08-31,3.5
2012-09-30,31.0
2012-10-31,7.703125
2012-11-30,36.296875
2012-12-31,6.6015625
2013-01-31,30.0
2013-02-28,24.203125
2013-03-31,74.3984375
2013-04-30,2.703125
2013-05-31,20.296875
2013-06-30,117.703125
2013-07-31,34.296875
2013-08-31,8.296875
2013-09-30,55.8984375
2013-10-31,5.1015625
2013-11-30,7.296875
2013-12-31,36.5
2014-01-31,46.6015625
2014-02-28,50.3984375
2014-03-31,125.296875
2014-04-30,48.296875
2014-05-31,21.703125
2014-06-30,62.0
2014-07-31,30.796875
2014-08-31,18.796875
2014-09-30,14.296875
2014-10-31,9.8984375
2014-11-30,10.3984375
2014-12-31,79.296875
2015-01-31,89.8984375
2015-02-28,19.6015625
2015-03-31,7.703125
2015-04-30,91.203125
2015-05-31,42.703125
2015-06-30,51.5
2015-07-31,57.1015625
2015-08-31,29.1015625
2015-09-30,4.703125
2015-10-31,44.8984375
2015-11-30,80.796875
2015-12-31,52.0
2016-01-31,97.5
2016-02-29,3.203125
2016-03-31,12.203125
2016-04-30,33.1015625
2016-05-31,55.0
2016-06-30,153.3984375
2016-07-31,85.0
2016-08-31,59.1015625
2016-09-30,147.5
2016-10-31,51.5
2016-11-30,34.8984375
2016-12-31,100.0
2017-01-31,17.6015625
2017-02-28,0.796875
2017-03-31,112.3984375
2017-04-30,12.3984375
2017-05-31,18.203125
2017-06-30,7.296875
2017-07-31,2.8984375
2017-08-31,16.8984375
2017-09-30,5.703125
2017-10-31,68.796875
2017-11-30,30.0
2017-12-31,80.703125
2018-01-31,47.8984375
2018-02-28,6.6015625
2018-03-31,4.8984375
2018-04-30,8.296875
2018-05-31,10.5
2018-06-30,21.703125
2018-07-31,2.296875
2018-08-31,26.1015625
2018-09-30,12.0
2018-10-31,58.3984375
2018-11-30,69.6015625
2018-12-31,33.0
2019-01-31,67.203125
2019-02-28,27.0
2019-03-31,40.5
2019-04-30,0.0
2019-05-31,18.5
2019-06-30,9.0
2019-07-31,3.0
2019-08-31,6.296875
2019-09-30,10.1015625
2019-10-31,14.0
2019-11-30,23.8984375
2019-12-31,3.0
2020-01-31,26.296875
2020-02-29,78.6015625
2020-03-31,107.8984375
2020-04-30,107.5
2020-05-31,42.1015625
2020-06-30,34.203125
2020-07-31,71.796875
2020-08-31,35.796875
2020-09-30,41.8984375
2020-10-31,43.8984375
2020-11-30,16.5
2020-12-31,66.296875
2021-01-31,57.296875
2021-02-28,82.8984375
2021-03-31,182.796875
2021-04-30,3.0
2021-05-31,23.1015625
2021-06-30,94.203125
2021-07-31,66.8984375
2021-08-31,39.796875
2021-09-30,42.296875
2021-10-31,31.1015625
2021-11-30,137.296875
2021-12-31,64.0
2022-01-31,111.8984375
2022-02-28,21.6015625
2022-03-31,45.6015625
