,Rainfall
2000-01-31,55.1015625
2000-02-29,30.0
2000-03-31,182.1015625
2000-04-30,45.796875
2000-05-31,29.6015625
2000-06-30,75.703125
2000-07-31,61.296875
2000-08-31,9.1015625
2000-09-30,47.6015625
2000-10-31,26.6015625
2000-11-30,145.296875
2000-12-31,64.0
2001-01-31,74.1015625
2001-02-28,148.6015625
2001-03-31,72.296875
2001-04-30,46.5
2001-05-31,46.296875
2001-06-30,20.203125
2001-07-31,175.8984375
2001-08-31,63.796875
2001-09-30,45.6015625
2001-10-31,53.703125
2001-11-30,84.3984375
2001-12-31,30.0
2002-01-31,106.3984375
2002-02-28,277.703125
2002-03-31,111.1015625
2002-04-30,103.296875
2002-05-31,43.796875
2002-06-30,33.5
2002-07-31,10.296875
2002-08-31,7.8984375
2002-09-30,14.3984375
2002-10-31,8.703125
2002-11-30,13.203125
2002-12-31,66.3984375
2003-01-31,58.3984375
2003-02-28,88.5
2003-03-31,78.296875
2003-04-30,125.1015625
2003-05-31,237.6015625
2003-06-30,47.3984375
2003-07-31,54.296875
2003-08-31,22.796875
2003-09-30,15.0
2003-10-31,60.796875
2003-11-30,136.796875
2003-12-31,44.3984375
2004-01-31,61.3984375
2004-02-29,76.8984375
2004-03-31,55.8984375
2004-04-30,109.203125
2004-05-31,20.8984375
2004-06-30,8.296875
2004-07-31,65.1015625
2004-08-31,31.8984375
2004-09-30,49.796875
2004-10-31,155.703125
2004-11-30,59.8984375
2004-12-31,89.1015625
2005-01-31,103.1015625
2005-02-28,114.5
2005-03-31,73.3984375
2005-04-30,32.703125
2005-05-31,85.296875
2005-06-30,55.0
2005-07-31,195.6015625
2005-08-31,4.203125
2005-09-30,66.796875
2005-10-31,47.296875
2005-11-30,121.203125
2005-12-31,29.8984375
2006-01-31,109.703125
2006-02-28,45.6015625
2006-03-31,42.1015625
2006-04-30,12.6015625
2006-05-31,46.1015625
2006-06-30,138.296875
2006-07-31,138.1015625
2006-08-31,38.703125
2006-09-30,61.5
2006-10-31,2.796875
2006-11-30,42.796875
2006-12-31,81.703125
2007-01-31,13.8984375
2007-02-28,275.203125
2007-03-31,80.796875
2007-04-30,88.0
2007-05-31,20.6015625
2007-06-30,254.0
2007-07-31,52.0
2007-08-31,40.203125
2007-09-30,42.703125
2007-10-31,12.703125
2007-11-30,200.5
2007-12-31,106.796875
2008-01-31,61.296875
2008-02-29,316.796875
2008-03-31,34.6015625
2008-04-30,98.796875
2008-05-31,8.296875
2008-06-30,77.796875
2008-07-31,82.0
2008-08-31,43.5
2008-09-30,75.5
2008-10-31,77.8984375
2008-11-30,41.796875
2008-12-31,87.1015625
2009-01-31,22.5
2009-02-28,108.5
2009-03-31,37.0
2009-04-30,126.703125
2009-05-31,33.296875
2009-06-30,29.6015625
2009-07-31,34.6015625
2009-08-31,6.5
2009-09-30,21.5
2009-10-31,101.5
2009-11-30,36.796875
2009-12-31,106.203125
2010-01-31,57.796875
2010-02-28,266.296875
2010-03-31,75.703125
2010-04-30,29.8984375
2010-05-31,96.6015625
2010-06-30,64.796875
2010-07-31,59.703125
2010-08-31,25.3984375
2010-09-30,57.796875
2010-10-31,91.203125
2010-11-30,188.1015625
2010-12-31,108.296875
2011-01-31,71.0
2011-02-28,69.5
