,Rainfall
2000-01-31,21.296875
2000-02-29,31.5
2000-03-31,120.296875
2000-04-30,90.0
2000-05-31,81.796875
2000-06-30,15.203125
2000-07-31,22.3984375
2000-08-31,15.1015625
2000-09-30,6.1015625
2000-10-31,45.703125
2000-11-30,172.703125
2000-12-31,41.8984375
2001-01-31,12.1015625
2001-02-28,19.796875
2001-03-31,54.703125
2001-04-30,17.6015625
2001-05-31,11.0
2001-06-30,57.703125
2001-07-31,62.703125
2001-08-31,6.796875
2001-09-30,13.703125
2001-10-31,23.8984375
2001-11-30,30.1015625
2001-12-31,24.6015625
2002-01-31,21.296875
2002-02-28,101.5
2002-03-31,27.8984375
2002-04-30,10.796875
2002-05-31,15.1015625
2002-06-30,11.1015625
2002-07-31,0.796875
2002-08-31,0.8984375
2002-09-30,43.703125
2002-10-31,7.6015625
2002-11-30,6.203125
2002-12-31,10.6015625
2003-01-31,37.0
2003-02-28,61.0
2003-03-31,13.1015625
2003-04-30,60.1015625
2003-05-31,10.1015625
2003-06-30,48.296875
2003-07-31,31.0
2003-08-31,68.8984375
2003-09-30,5.5
2003-10-31,30.796875
2003-11-30,19.796875
2003-12-31,33.703125
2004-01-31,50.3984375
2004-02-29,15.296875
2004-03-31,7.5
2004-04-30,14.1015625
2004-05-31,30.3984375
2004-06-30,42.0
2004-07-31,30.296875
2004-08-31,20.0
2004-09-30,17.296875
2004-10-31,8.1015625
2004-11-30,32.796875
2004-12-31,89.1015625
2005-01-31,3.1015625
2005-02-28,0.703125
2005-03-31,3.5
2005-04-30,1.1015625
2005-05-31,3.1015625
2005-06-30,161.0
2005-07-31,10.0
2005-08-31,16.5
2005-09-30,51.1015625
2005-10-31,58.1015625
2005-11-30,65.296875
2005-12-31,10.703125
2006-01-31,20.6015625
2006-02-28,9.6015625
2006-03-31,6.6015625
2006-04-30,8.0
2006-05-31,0.0
2006-06-30,40.6015625
2006-07-31,41.703125
2006-08-31,3.0
2006-09-30,32.5
2006-10-31,0.203125
2006-11-30,21.1015625
2006-12-31,19.1015625
2007-01-31,83.296875
2007-02-28,38.296875
2007-03-31,28.703125
2007-04-30,11.8984375
2007-05-31,40.203125
2007-06-30,41.0
2007-07-31,5.296875
2007-08-31,6.5
2007-09-30,0.1015625
2007-10-31,12.296875
2007-11-30,44.796875
2007-12-31,210.703125
2008-01-31,70.203125
2008-02-29,67.3984375
2008-03-31,20.5
2008-04-30,0.1015625
2008-05-31,6.0
2008-06-30,109.6015625
2008-07-31,3.3984375
2008-08-31,20.703125
2008-09-30,15.703125
2008-10-31,18.5
2008-11-30,64.0
2008-12-31,41.703125
2009-01-31,15.296875
2009-02-28,87.0
2009-03-31,9.0
2009-04-30,33.6015625
2009-05-31,49.3984375
2009-06-30,113.5
2009-07-31,10.796875
2009-08-31,1.1015625
2009-09-30,16.703125
2009-10-31,44.203125
2009-11-30,11.3984375
2009-12-31,74.1015625
2010-01-31,78.0
2010-02-28,106.5
2010-03-31,53.6015625
2010-04-30,34.8984375
2010-05-31,33.8984375
2010-06-30,33.6015625
2010-07-31,72.5
2010-08-31,31.0
2010-09-30,36.296875
2010-10-31,69.3984375
2010-11-30,111.3984375
2010-12-31,84.203125
2011-01-31,11.6015625
2011-02-28,31.3984375
2011-03-31,47.1015625
2011-04-30,18.3984375
2011-05-31,34.1015625
2011-06-30,1.8984375
2011-07-31,8.1015625
2011-08-31,19.296875
2011-09-30,59.3984375
2011-10-31,58.796875
2011-11-30,71.1015625
2011-12-31,74.296875
2012-01-31,85.296875
2012-02-29,134.1015625
2012-03-31,85.6015625
2012-04-30,0.0
2012-05-31,27.5
2012-06-30,21.3984375
2012-07-31,31.6015625
2012-08-31,0.0
2012-09-30,14.296875
2012-10-31,4.1015625
2012-11-30,40.0
2012-12-31,6.703125
2013-01-31,7.703125
2013-02-28,13.703125
2013-03-31,57.3984375
2013-04-30,0.203125
2013-05-31,22.5
2013-06-30,114.1015625
2013-07-31,29.703125
2013-08-31,2.8984375
2013-09-30,32.796875
2013-10-31,2.0
2013-11-30,3.796875
2013-12-31,29.8984375
2014-01-31,19.296875
2014-02-28,37.5
2014-03-31,98.296875
2014-04-30,41.8984375
2014-05-31,10.3984375
2014-06-30,84.296875
2014-07-31,24.296875
2014-08-31,70.8984375
2014-09-30,10.8984375
2014-10-31,2.203125
2014-11-30,4.0
2014-12-31,66.8984375
2015-01-31,73.796875
2015-02-28,8.1015625
2015-03-31,5.5
2015-04-30,53.3984375
2015-05-31,48.0
2015-06-30,68.3984375
2015-07-31,40.1015625
2015-08-31,22.296875
2015-09-30,5.703125
2015-10-31,21.296875
2015-11-30,78.296875
2015-12-31,21.203125
2016-01-31,85.796875
2016-02-29,2.703125
2016-03-31,5.703125
2016-04-30,41.703125
2016-05-31,58.3984375
2016-06-30,166.1015625
2016-07-31,42.8984375
2016-08-31,59.796875
2016-09-30,98.796875
2016-10-31,24.5
2016-11-30,9.0
2016-12-31,27.703125
2017-01-31,33.8984375
2017-02-28,2.8984375
2017-03-31,83.296875
2017-04-30,7.203125
2017-05-31,21.5
2017-06-30,11.203125
2017-07-31,3.1015625
2017-08-31,14.1015625
2017-09-30,1.5
2017-10-31,62.5
2017-11-30,22.203125
2017-12-31,62.1015625
2018-01-31,50.5
2018-02-28,10.6015625
2018-03-31,2.5
2018-04-30,2.796875
2018-05-31,8.0
2018-06-30,38.703125
2018-07-31,1.0
2018-08-31,15.1015625
2018-09-30,3.6015625
2018-10-31,51.703125
2018-11-30,48.6015625
2018-12-31,19.0
2019-01-31,30.3984375
2019-02-28,19.5
2019-03-31,23.0
2019-04-30,0.203125
2019-05-31,1.8984375
2019-06-30,3.203125
2019-07-31,4.1015625
2019-08-31,1.6015625
2019-09-30,4.203125
2019-10-31,0.8984375
2019-11-30,31.796875
2019-12-31,0.703125
2020-01-31,11.203125
2020-02-29,69.3984375
2020-03-31,105.6015625
2020-04-30,100.8984375
2020-05-31,11.296875
2020-06-30,23.0
2020-07-31,36.703125
2020-08-31,29.3984375
2020-09-30,34.203125
2020-10-31,38.796875
2020-11-30,8.203125
2020-12-31,62.203125
2021-01-31,46.703125
2021-02-28,79.0
2021-03-31,131.0
2021-04-30,0.0
2021-05-31,14.5
2021-06-30,60.796875
2021-07-31,34.296875
2021-08-31,15.5
2021-09-30,51.1015625
2021-10-31,20.203125
2021-11-30,142.5
2021-12-31,36.203125
2022-01-31,41.3984375
2022-02-28,40.796875
2022-03-31,32.703125
