,Rainfall
2000-01-31,47.6015625
2000-02-29,24.0
2000-03-31,114.796875
2000-04-30,66.5
2000-05-31,106.8984375
2000-06-30,67.796875
2000-07-31,58.5
2000-08-31,109.0
2000-09-30,56.6015625
2000-10-31,116.3984375
2000-11-30,121.796875
2000-12-31,28.796875
2001-01-31,32.8984375
2001-02-28,78.8984375
2001-03-31,75.703125
2001-04-30,80.0
2001-05-31,36.203125
2001-06-30,60.0
2001-07-31,62.8984375
2001-08-31,67.1015625
2001-09-30,62.703125
2001-10-31,73.796875
2001-11-30,43.0
2001-12-31,25.0
2002-01-31,74.796875
2002-02-28,207.296875
2002-03-31,42.8984375
2002-04-30,39.1015625
2002-05-31,50.203125
2002-06-30,31.203125
2002-07-31,36.203125
2002-08-31,17.5
2002-09-30,57.296875
2002-10-31,0.703125
2002-11-30,25.203125
2002-12-31,32.8984375
2003-01-31,31.5
2003-02-28,135.6015625
2003-03-31,33.203125
2003-04-30,41.296875
2003-05-31,27.703125
2003-06-30,78.796875
2003-07-31,69.5
2003-08-31,118.1015625
2003-09-30,28.0
2003-10-31,62.703125
2003-11-30,58.796875
2003-12-31,75.6015625
2004-01-31,50.0
2004-02-29,72.8984375
2004-03-31,28.796875
2004-04-30,5.3984375
2004-05-31,58.796875
2004-06-30,102.796875
2004-07-31,66.3984375
2004-08-31,78.5
2004-09-30,50.703125
2004-10-31,52.203125
2004-11-30,94.1015625
2004-12-31,113.6015625
2005-01-31,76.1015625
2005-02-28,72.1015625
2005-03-31,23.1015625
2005-04-30,7.296875
2005-05-31,3.296875
2005-06-30,114.5
2005-07-31,98.0
2005-08-31,47.1015625
2005-09-30,118.5
2005-10-31,81.703125
2005-11-30,157.8984375
2005-12-31,54.296875
2006-01-31,139.296875
2006-02-28,63.1015625
2006-03-31,14.0
2006-04-30,7.5
2006-05-31,9.1015625
2006-06-30,33.6015625
2006-07-31,81.6015625
2006-08-31,7.5
2006-09-30,20.5
2006-10-31,4.296875
2006-11-30,24.5
2006-12-31,66.0
2007-01-31,76.8984375
2007-02-28,94.0
2007-03-31,49.5
2007-04-30,47.203125
2007-05-31,73.0
2007-06-30,78.0
2007-07-31,69.0
2007-08-31,25.5
2007-09-30,7.1015625
2007-10-31,10.8984375
2007-11-30,128.6015625
2007-12-31,108.3984375
2008-01-31,62.8984375
2008-02-29,110.703125
2008-03-31,48.296875
2008-04-30,23.0
2008-05-31,22.296875
2008-06-30,56.5
2008-07-31,66.1015625
2008-08-31,63.6015625
2008-09-30,105.703125
2008-10-31,50.703125
2008-11-30,113.203125
2008-12-31,101.703125
2009-01-31,48.8984375
2009-02-28,63.203125
2009-03-31,46.203125
2009-04-30,52.296875
2009-05-31,14.8984375
2009-06-30,90.703125
2009-07-31,72.5
2009-08-31,35.3984375
2009-09-30,47.796875
2009-10-31,47.5
2009-11-30,24.1015625
2009-12-31,114.296875
2010-01-31,53.203125
2010-02-28,130.0
2010-03-31,113.8984375
2010-04-30,70.796875
2010-05-31,68.796875
2010-06-30,42.703125
2010-07-31,125.296875
2010-08-31,168.8984375
2010-09-30,88.703125
2010-10-31,106.703125
2010-11-30,134.3984375
2010-12-31,310.1015625
2011-01-31,29.6015625
2011-02-28,65.296875
2011-03-31,117.0
2011-04-30,34.203125
2011-05-31,62.8984375
2011-06-30,24.296875
2011-07-31,31.6015625
2011-08-31,65.3984375
2011-09-30,69.203125
2011-10-31,51.296875
2011-11-30,147.0
2011-12-31,101.296875
2012-01-31,82.703125
2012-02-29,128.203125
2012-03-31,156.6015625
2012-04-30,12.0
2012-05-31,60.796875
2012-06-30,57.1015625
2012-07-31,74.203125
2012-08-31,34.0
2012-09-30,54.0
2012-10-31,7.703125
2012-11-30,29.203125
2012-12-31,21.5
2013-01-31,77.1015625
2013-02-28,82.796875
2013-03-31,109.1015625
2013-04-30,20.796875
2013-05-31,34.296875
2013-06-30,128.0
2013-07-31,42.5
2013-08-31,40.1015625
2013-09-30,41.296875
2013-10-31,21.0
2013-11-30,34.203125
2013-12-31,42.0
2014-01-31,31.8984375
2014-02-28,99.1015625
2014-03-31,136.296875
2014-04-30,39.8984375
2014-05-31,47.796875
2014-06-30,91.203125
2014-07-31,61.6015625
2014-08-31,28.203125
2014-09-30,32.5
2014-10-31,47.5
2014-11-30,21.1015625
2014-12-31,91.8984375
2015-01-31,117.296875
2015-02-28,64.703125
2015-03-31,14.203125
2015-04-30,139.703125
2015-05-31,49.8984375
2015-06-30,36.6015625
2015-07-31,101.296875
2015-08-31,57.0
2015-09-30,13.1015625
2015-10-31,28.5
2015-11-30,71.5
2015-12-31,70.203125
2016-01-31,113.8984375
2016-02-29,4.3984375
2016-03-31,36.5
2016-04-30,44.1015625
2016-05-31,102.203125
2016-06-30,190.5
2016-07-31,126.0
2016-08-31,70.796875
2016-09-30,195.796875
2016-10-31,73.703125
2016-11-30,51.796875
2016-12-31,72.8984375
2017-01-31,42.203125
2017-02-28,5.3984375
2017-03-31,130.1015625
2017-04-30,40.3984375
2017-05-31,15.5
2017-06-30,4.0
2017-07-31,9.0
2017-08-31,50.203125
2017-09-30,22.3984375
2017-10-31,52.1015625
2017-11-30,69.8984375
2017-12-31,87.703125
2018-01-31,66.1015625
2018-02-28,43.296875
2018-03-31,21.8984375
2018-04-30,15.0
2018-05-31,32.6015625
2018-06-30,40.703125
2018-07-31,12.6015625
2018-08-31,37.3984375
2018-09-30,50.703125
2018-10-31,39.8984375
2018-11-30,99.203125
2018-12-31,67.796875
2019-01-31,71.6015625
2019-02-28,58.3984375
2019-03-31,55.0
2019-04-30,0.1015625
2019-05-31,75.296875
2019-06-30,38.3984375
2019-07-31,21.5
2019-08-31,28.796875
2019-09-30,49.3984375
2019-10-31,15.796875
2019-11-30,23.703125
2019-12-31,13.5
2020-01-31,73.6015625
2020-02-29,60.3984375
2020-03-31,120.1015625
2020-04-30,128.5
2020-05-31,72.703125
2020-06-30,57.796875
2020-07-31,72.296875
2020-08-31,95.1015625
2020-09-30,56.3984375
2020-10-31,84.8984375
2020-11-30,45.703125
2020-12-31,86.796875
2021-01-31,70.796875
2021-02-28,143.296875
2021-03-31,180.203125
2021-04-30,5.5
2021-05-31,41.203125
2021-06-30,136.796875
2021-07-31,145.703125
2021-08-31,85.5
2021-09-30,59.203125
2021-10-31,59.703125
2021-11-30,265.703125
2021-12-31,57.6015625
2022-01-31,144.5
2022-02-28,38.296875
2022-03-31,69.8984375
