,Rainfall
2000-01-31,2.5
2000-02-29,113.203125
2000-03-31,15.0
2000-04-30,42.0
2000-05-31,33.1015625
2000-06-30,23.296875
2000-07-31,27.0
2000-08-31,39.703125
2000-09-30,23.3984375
2000-10-31,29.796875
2000-11-30,54.296875
2000-12-31,5.1015625
2001-01-31,23.0
2001-02-28,12.796875
2001-03-31,11.5
2001-04-30,1.296875
2001-05-31,12.796875
2001-06-30,12.203125
2001-07-31,28.203125
2001-08-31,25.296875
2001-09-30,23.203125
2001-10-31,31.296875
2001-11-30,1.0
2001-12-31,0.703125
2002-01-31,18.203125
2002-02-28,25.6015625
2002-03-31,15.703125
2002-04-30,3.203125
2002-05-31,16.1015625
2002-06-30,17.703125
2002-07-31,3.6015625
2002-08-31,11.0
2002-09-30,11.1015625
2002-10-31,1.1015625
2002-11-30,4.1015625
2002-12-31,12.8984375
2003-01-31,2.6015625
2003-02-28,72.5
2003-03-31,0.8984375
2003-04-30,11.296875
2003-05-31,23.5
2003-06-30,16.3984375
2003-07-31,41.5
2003-08-31,57.6015625
2003-09-30,4.3984375
2003-10-31,29.3984375
2003-11-30,29.6015625
2003-12-31,43.3984375
2004-01-31,9.3984375
2004-02-29,1.796875
2004-03-31,0.296875
2004-04-30,1.0
2004-05-31,15.296875
2004-06-30,39.5
2004-07-31,23.296875
2004-08-31,19.0
2004-09-30,9.8984375
2004-10-31,1.1015625
2004-11-30,51.0
2004-12-31,41.5
2005-01-31,14.5
2005-02-28,38.703125
2005-03-31,1.6015625
2005-04-30,3.6015625
2005-05-31,2.1015625
2005-06-30,48.203125
2005-07-31,35.296875
2005-08-31,34.5
2005-09-30,36.3984375
2005-10-31,43.6015625
2005-11-30,28.203125
2005-12-31,20.5
2006-01-31,9.3984375
2006-02-28,3.703125
2006-03-31,6.3984375
2006-04-30,13.296875
2006-05-31,3.5
2006-06-30,29.1015625
2006-07-31,41.3984375
2006-08-31,5.703125
2006-09-30,8.3984375
2006-10-31,0.0
2006-11-30,21.796875
2006-12-31,12.8984375
2007-01-31,47.203125
2007-02-28,16.296875
2007-03-31,13.296875
2007-04-30,27.1015625
2007-05-31,25.703125
2007-06-30,11.796875
2007-07-31,27.1015625
2007-08-31,1.5
2007-09-30,0.3984375
2007-10-31,1.703125
2007-11-30,36.5
2007-12-31,61.3984375
2008-01-31,41.703125
2008-02-29,11.796875
2008-03-31,1.796875
2008-04-30,11.203125
2008-05-31,15.203125
2008-06-30,15.703125
2008-07-31,12.6015625
2008-08-31,13.8984375
2008-09-30,11.703125
2008-10-31,6.5
2008-11-30,40.1015625
2008-12-31,47.3984375
2009-01-31,3.6015625
2009-02-28,0.3984375
2009-03-31,8.0
2009-04-30,24.0
2009-05-31,8.8984375
2009-06-30,78.203125
2009-07-31,12.8984375
2009-08-31,9.296875
2009-09-30,18.3984375
2009-10-31,5.796875
2009-11-30,46.3984375
2009-12-31,16.6015625
2010-01-31,27.796875
2010-02-28,100.796875
2010-03-31,73.6015625
2010-04-30,26.6015625
2010-05-31,48.1015625
2010-06-30,17.203125
2010-07-31,41.296875
2010-08-31,52.8984375
2010-09-30,29.1015625
2010-10-31,103.203125
2010-11-30,85.5
2010-12-31,37.3984375
2011-01-31,124.796875
2011-02-28,175.6015625
2011-03-31,31.1015625
2011-04-30,19.296875
2011-05-31,10.203125
2011-06-30,6.8984375
2011-07-31,17.296875
2011-08-31,44.8984375
2011-09-30,19.296875
