,Rainfall
2000-01-31,15.796875
2000-02-29,29.296875
2000-03-31,133.796875
2000-04-30,43.203125
2000-05-31,60.0
2000-06-30,35.203125
2000-07-31,34.8984375
2000-08-31,15.203125
2000-09-30,0.8984375
2000-10-31,96.3984375
2000-11-30,215.5
2000-12-31,7.5
2001-01-31,55.203125
2001-02-28,30.5
2001-03-31,60.5
2001-04-30,10.3984375
2001-05-31,28.203125
2001-06-30,36.703125
2001-07-31,79.8984375
2001-08-31,5.1015625
2001-09-30,16.203125
2001-10-31,38.0
2001-11-30,66.0
2001-12-31,5.8984375
2002-01-31,16.8984375
2002-02-28,72.796875
2002-03-31,26.3984375
2002-04-30,5.0
2002-05-31,1.3984375
2002-06-30,18.8984375
2002-07-31,0.1015625
2002-08-31,0.203125
2002-09-30,18.796875
2002-10-31,5.5
2002-11-30,19.1015625
2002-12-31,49.0
2003-01-31,20.8984375
2003-02-28,93.296875
2003-03-31,22.8984375
2003-04-30,94.203125
2003-05-31,0.5
2003-06-30,14.203125
2003-07-31,38.796875
2003-08-31,60.296875
2003-09-30,0.5
2003-10-31,56.6015625
2003-11-30,30.203125
2003-12-31,40.796875
2004-01-31,137.5
2004-02-29,91.1015625
2004-03-31,56.3984375
2004-04-30,23.296875
2004-05-31,27.0
2004-06-30,17.203125
2004-07-31,49.0
2004-08-31,30.0
2004-09-30,24.296875
2004-10-31,33.703125
2004-11-30,99.203125
2004-12-31,218.8984375
2005-01-31,68.1015625
2005-02-28,35.0
2005-03-31,2.1015625
2005-04-30,0.296875
2005-05-31,12.3984375
2005-06-30,196.703125
2005-07-31,12.6015625
2005-08-31,15.0
2005-09-30,64.3984375
2005-10-31,42.296875
2005-11-30,71.0
2005-12-31,48.796875
2006-01-31,13.5
2006-02-28,34.3984375
2006-03-31,37.796875
2006-04-30,51.703125
2006-05-31,0.0
2006-06-30,33.203125
2006-07-31,87.296875
2006-08-31,9.796875
2006-09-30,7.1015625
2006-10-31,1.6015625
2006-11-30,34.796875
2006-12-31,16.6015625
2007-01-31,29.203125
2007-02-28,31.1015625
2007-03-31,29.3984375
2007-04-30,15.796875
2007-05-31,51.8984375
2007-06-30,45.8984375
2007-07-31,2.0
2007-08-31,19.203125
2007-09-30,0.3984375
2007-10-31,47.8984375
2007-11-30,67.1015625
2007-12-31,201.0
2008-01-31,52.296875
2008-02-29,61.703125
2008-03-31,15.703125
2008-04-30,6.296875
2008-05-31,11.3984375
2008-06-30,39.5
2008-07-31,17.8984375
2008-08-31,29.203125
2008-09-30,48.703125
2008-10-31,70.703125
2008-11-30,182.1015625
2008-12-31,94.796875
2009-01-31,31.8984375
2009-02-28,84.703125
2009-03-31,4.703125
2009-04-30,51.203125
2009-05-31,30.703125
2009-06-30,33.1015625
2009-07-31,15.0
2009-08-31,4.3984375
2009-09-30,39.203125
2009-10-31,78.1015625
2009-11-30,3.1015625
2009-12-31,197.5
2010-01-31,104.1015625
2010-02-28,69.703125
2010-03-31,73.3984375
2010-04-30,32.796875
2010-05-31,23.0
2010-06-30,30.6015625
2010-07-31,101.1015625
2010-08-31,42.0
2010-09-30,35.203125
2010-10-31,79.796875
2010-11-30,123.5
2010-12-31,208.5
2011-01-31,24.5
2011-02-28,14.3984375
2011-03-31,57.5
2011-04-30,13.703125
2011-05-31,32.796875
2011-06-30,24.8984375
2011-07-31,5.1015625
2011-08-31,31.703125
2011-09-30,67.1015625
2011-10-31,50.703125
2011-11-30,78.3984375
2011-12-31,170.203125
2012-01-31,127.203125
2012-02-29,84.8984375
2012-03-31,31.203125
2012-04-30,20.6015625
2012-05-31,41.5
2012-06-30,31.5
2012-07-31,65.3984375
2012-08-31,10.0
2012-09-30,19.0
2012-10-31,2.3984375
2012-11-30,13.703125
2012-12-31,25.5
2013-01-31,23.796875
2013-02-28,19.3984375
2013-03-31,51.203125
2013-04-30,1.0
2013-05-31,32.296875
2013-06-30,40.3984375
2013-07-31,29.296875
2013-08-31,0.203125
2013-09-30,23.8984375
2013-10-31,1.8984375
2013-11-30,19.296875
2013-12-31,8.0
2014-01-31,3.203125
2014-02-28,19.1015625
2014-03-31,123.3984375
2014-04-30,8.703125
2014-05-31,12.5
2014-06-30,48.3984375
2014-07-31,7.203125
2014-08-31,41.0
2014-09-30,21.6015625
2014-10-31,15.703125
2014-11-30,8.6015625
2014-12-31,72.6015625
2015-01-31,20.1015625
2015-02-28,4.1015625
2015-03-31,21.703125
2015-04-30,51.3984375
2015-05-31,32.203125
2015-06-30,52.8984375
2015-07-31,46.296875
2015-08-31,20.703125
2015-09-30,6.5
2015-10-31,23.0
2015-11-30,88.8984375
2015-12-31,18.0
2016-01-31,97.703125
2016-02-29,21.0
2016-03-31,8.0
2016-04-30,8.6015625
2016-05-31,40.703125
2016-06-30,180.3984375
2016-07-31,21.296875
2016-08-31,43.796875
2016-09-30,113.5
2016-10-31,23.796875
2016-11-30,11.203125
2016-12-31,46.796875
2017-01-31,41.703125
2017-02-28,12.203125
2017-03-31,37.1015625
2017-04-30,0.8984375
2017-05-31,26.6015625
2017-06-30,10.296875
2017-07-31,19.796875
2017-08-31,11.296875
2017-09-30,1.296875
2017-10-31,38.1015625
2017-11-30,28.5
2017-12-31,47.6015625
2018-01-31,28.8984375
2018-02-28,35.6015625
2018-03-31,11.1015625
2018-04-30,24.703125
2018-05-31,0.203125
2018-06-30,12.5
2018-07-31,0.203125
2018-08-31,9.796875
2018-09-30,8.1015625
2018-10-31,68.3984375
2018-11-30,33.6015625
2018-12-31,19.6015625
2019-01-31,14.6015625
2019-02-28,0.0
2019-03-31,63.1015625
2019-04-30,0.0
2019-05-31,42.703125
2019-06-30,0.203125
2019-07-31,9.8984375
2019-08-31,0.1015625
2019-09-30,2.6015625
2019-10-31,4.5
2019-11-30,30.8984375
2019-12-31,0.0
2020-01-31,28.6015625
2020-02-29,128.296875
2020-03-31,109.1015625
2020-04-30,72.3984375
2020-05-31,23.1015625
2020-06-30,15.1015625
2020-07-31,25.3984375
2020-08-31,33.6015625
2020-09-30,24.6015625
2020-10-31,44.796875
2020-11-30,0.0
2020-12-31,76.796875
2021-01-31,72.3984375
2021-02-28,47.5
2021-03-31,194.6015625
2021-04-30,9.203125
2021-05-31,17.296875
2021-06-30,51.3984375
2021-07-31,48.3984375
2021-08-31,27.1015625
2021-09-30,68.296875
2021-10-31,47.0
2021-11-30,149.0
2021-12-31,44.0
2022-01-31,121.0
2022-02-28,69.796875
2022-03-31,41.796875
