,Rainfall
2000-01-31,129.3984375
2000-02-29,57.296875
2000-03-31,265.1015625
2000-04-30,99.203125
2000-05-31,64.8984375
2000-06-30,39.1015625
2000-07-31,73.3984375
2000-08-31,36.6015625
2000-09-30,5.5
2000-10-31,80.3984375
2000-11-30,133.3984375
2000-12-31,106.203125
2001-01-31,119.3984375
2001-02-28,285.6015625
2001-03-31,335.1015625
2001-04-30,82.0
2001-05-31,229.203125
2001-06-30,3.3984375
2001-07-31,36.6015625
2001-08-31,20.203125
2001-09-30,20.296875
2001-10-31,18.3984375
2001-11-30,90.3984375
2001-12-31,41.0
2002-01-31,27.203125
2002-02-28,332.296875
2002-03-31,192.1015625
2002-04-30,106.5
2002-05-31,80.6015625
2002-06-30,58.8984375
2002-07-31,2.6015625
2002-08-31,44.1015625
2002-09-30,16.796875
2002-10-31,42.0
2002-11-30,47.796875
2002-12-31,127.8984375
2003-01-31,32.1015625
2003-02-28,198.203125
2003-03-31,219.1015625
2003-04-30,117.1015625
2003-05-31,261.5
2003-06-30,54.5
2003-07-31,13.796875
2003-08-31,26.203125
2003-09-30,0.203125
2003-10-31,53.3984375
2003-11-30,87.796875
2003-12-31,102.796875
2004-01-31,97.203125
2004-02-29,227.3984375
2004-03-31,224.796875
2004-04-30,46.0
2004-05-31,5.1015625
2004-06-30,13.8984375
2004-07-31,55.8984375
2004-08-31,45.8984375
2004-09-30,39.203125
2004-10-31,307.3984375
2004-11-30,128.5
2004-12-31,71.1015625
2005-01-31,217.5
2005-02-28,59.8984375
2005-03-31,77.796875
2005-04-30,101.703125
2005-05-31,224.3984375
2005-06-30,185.0
2005-07-31,55.8984375
2005-08-31,5.5
2005-09-30,57.1015625
2005-10-31,145.3984375
2005-11-30,78.1015625
2005-12-31,67.6015625
2006-01-31,205.0
2006-02-28,112.796875
2006-03-31,79.796875
2006-04-30,11.6015625
2006-05-31,8.296875
2006-06-30,110.296875
2006-07-31,189.3984375
2006-08-31,149.3984375
2006-09-30,88.3984375
2006-10-31,47.6015625
2006-11-30,134.5
2006-12-31,62.1015625
2007-01-31,40.8984375
2007-02-28,179.6015625
2007-03-31,128.8984375
2007-04-30,79.296875
2007-05-31,19.5
2007-06-30,130.296875
2007-07-31,51.8984375
2007-08-31,209.703125
2007-09-30,55.1015625
2007-10-31,71.296875
2007-11-30,261.3984375
2007-12-31,169.3984375
2008-01-31,120.796875
2008-02-29,219.8984375
2008-03-31,54.1015625
2008-04-30,364.1015625
2008-05-31,21.703125
2008-06-30,125.1015625
2008-07-31,63.8984375
2008-08-31,12.296875
2008-09-30,150.6015625
2008-10-31,60.8984375
2008-11-30,106.8984375
2008-12-31,97.1015625
2009-01-31,26.203125
2009-02-28,534.796875
2009-03-31,169.5
2009-04-30,350.796875
2009-05-31,209.296875
2009-06-30,309.703125
2009-07-31,65.796875
2009-08-31,3.3984375
2009-09-30,9.703125
2009-10-31,67.8984375
2009-11-30,194.203125
2009-12-31,150.703125
2010-01-31,68.5
2010-02-28,143.3984375
2010-03-31,157.296875
2010-04-30,39.203125
2010-05-31,43.796875
2010-06-30,184.8984375
2010-07-31,52.203125
2010-08-31,30.296875
2010-09-30,38.1015625
2010-10-31,180.5
2010-11-30,167.0
2010-12-31,95.6015625
2011-01-31,110.5
2011-02-28,69.296875
2011-03-31,180.203125
2011-04-30,232.1015625
2011-05-31,68.796875
2011-06-30,377.6015625
2011-07-31,95.0
2011-08-31,119.0
2011-09-30,92.203125
2011-10-31,141.5
2011-11-30,238.6015625
2011-12-31,124.0
2012-01-31,191.703125
2012-02-29,313.296875
2012-03-31,116.703125
2012-04-30,186.5
2012-05-31,31.0
2012-06-30,240.1015625
2012-07-31,56.3984375
2012-08-31,34.5
2012-09-30,13.296875
2012-10-31,16.8984375
2012-11-30,70.1015625
2012-12-31,64.703125
2013-01-31,362.0
2013-02-28,424.296875
2013-03-31,207.703125
2013-04-30,120.8984375
2013-05-31,201.796875
2013-06-30,83.796875
2013-07-31,28.8984375
2013-08-31,11.3984375
2013-09-30,15.0
2013-10-31,52.0
2013-11-30,218.203125
2013-12-31,23.296875
2014-01-31,40.296875
2014-02-28,100.296875
2014-03-31,224.796875
2014-04-30,61.6015625
2014-05-31,26.6015625
2014-06-30,21.5
2014-07-31,25.5
2014-08-31,161.5
2014-09-30,35.0
2014-10-31,37.296875
2014-11-30,55.3984375
2014-12-31,173.5
2015-01-31,298.1015625
2015-02-28,176.1015625
2015-03-31,187.1015625
2015-04-30,77.5
2015-05-31,253.203125
2015-06-30,31.296875
2015-07-31,8.3984375
2015-08-31,28.5
2015-09-30,112.0
2015-10-31,89.796875
2015-11-30,176.8984375
2015-12-31,178.296875
2016-01-31,165.8984375
2016-02-29,155.1015625
2016-03-31,37.6015625
2016-04-30,105.5
2016-05-31,8.296875
2016-06-30,198.203125
2016-07-31,17.3984375
2016-08-31,171.5
2016-09-30,22.3984375
2016-10-31,75.6015625
2016-11-30,35.6015625
2016-12-31,32.6015625
2017-01-31,70.6015625
2017-02-28,104.203125
2017-03-31,527.0
2017-04-30,59.6015625
2017-05-31,65.203125
2017-06-30,191.8984375
2017-07-31,10.1015625
2017-08-31,8.703125
2017-09-30,3.796875
2017-10-31,105.703125
2017-11-30,78.3984375
2017-12-31,144.5
2018-01-31,56.0
2018-02-28,77.1015625
2018-03-31,325.703125
2018-04-30,92.796875
2018-05-31,15.8984375
2018-06-30,110.796875
2018-07-31,63.0
2018-08-31,6.8984375
2018-09-30,56.0
2018-10-31,138.796875
