,Rainfall
2000-01-31,76.8984375
2000-02-29,34.8984375
2000-03-31,333.6015625
2000-04-30,126.203125
2000-05-31,53.796875
2000-06-30,55.5
2000-07-31,43.203125
2000-08-31,32.0
2000-09-30,31.5
2000-10-31,40.203125
2000-11-30,76.203125
2000-12-31,43.0
2001-01-31,35.8984375
2001-02-28,120.1015625
2001-03-31,195.0
2001-04-30,114.296875
2001-05-31,320.296875
2001-06-30,7.6015625
2001-07-31,76.703125
2001-08-31,35.5
2001-09-30,38.6015625
2001-10-31,30.8984375
2001-11-30,105.3984375
2001-12-31,58.1015625
2002-01-31,26.0
2002-02-28,265.0
2002-03-31,125.703125
2002-04-30,75.0
2002-05-31,94.5
2002-06-30,72.5
2002-07-31,37.8984375
2002-08-31,32.703125
2002-09-30,45.296875
2002-10-31,6.8984375
2002-11-30,47.296875
2002-12-31,160.296875
2003-01-31,9.5
2003-02-28,71.1015625
2003-03-31,64.296875
2003-04-30,137.0
2003-05-31,168.5
2003-06-30,24.3984375
2003-07-31,68.203125
2003-08-31,37.203125
2003-09-30,0.5
2003-10-31,71.1015625
2003-11-30,136.3984375
2003-12-31,53.8984375
2004-01-31,114.796875
2004-02-29,166.8984375
2004-03-31,100.3984375
2004-04-30,39.5
2004-05-31,22.6015625
2004-06-30,14.8984375
2004-07-31,61.5
2004-08-31,68.203125
2004-09-30,88.796875
2004-10-31,185.796875
2004-11-30,73.0
2004-12-31,85.8984375
2005-01-31,67.3984375
2005-02-28,143.203125
2005-03-31,192.203125
2005-04-30,37.203125
2005-05-31,180.203125
2005-06-30,82.703125
2005-07-31,22.1015625
2005-08-31,1.1015625
2005-09-30,55.6015625
2005-10-31,66.203125
2005-11-30,92.3984375
2005-12-31,20.8984375
2006-01-31,48.5
2006-02-28,87.203125
2006-03-31,80.1015625
2006-04-30,60.796875
2006-05-31,37.0
2006-06-30,70.3984375
2006-07-31,89.6015625
2006-08-31,67.796875
2006-09-30,188.796875
2006-10-31,15.203125
2006-11-30,92.6015625
2006-12-31,69.8984375
2007-01-31,19.8984375
2007-02-28,58.5
2007-03-31,135.0
2007-04-30,141.296875
2007-05-31,55.296875
2007-06-30,449.703125
2007-07-31,31.0
2007-08-31,95.5
2007-09-30,41.8984375
2007-10-31,30.3984375
2007-11-30,117.0
2007-12-31,104.8984375
2008-01-31,179.1015625
2008-02-29,197.5
2008-03-31,58.5
2008-04-30,291.3984375
2008-05-31,25.296875
2008-06-30,128.3984375
2008-07-31,69.8984375
2008-08-31,27.8984375
2008-09-30,191.796875
2008-10-31,71.1015625
2008-11-30,79.0
2008-12-31,69.703125
2009-01-31,21.703125
2009-02-28,288.0
2009-03-31,65.6015625
2009-04-30,200.3984375
2009-05-31,122.5
2009-06-30,100.296875
2009-07-31,39.203125
2009-08-31,1.796875
2009-09-30,19.0
2009-10-31,76.0
2009-11-30,62.3984375
2009-12-31,63.1015625
2010-01-31,72.3984375
2010-02-28,51.8984375
2010-03-31,100.0
2010-04-30,29.703125
2010-05-31,97.203125
2010-06-30,142.0
2010-07-31,83.296875
2010-08-31,50.1015625
2010-09-30,22.796875
